Date,Open,High,Low,Close,Volume
20160104,10.429,10.664,10.223,10.606,5933962.045
20160105,10.439,10.444,9.969,10.008,7638150.285
20160106,9.704,9.723,9.223,9.351,9238205.208
20160107,9.067,9.429,8.851,9.126,9526545.260
20160108,9.410,9.478,8.812,8.920,5513031.286
20160111,8.753,8.851,8.184,8.518,7982240.872
20160112,8.724,8.763,7.900,8.312,10435453.126
20160113,8.508,8.586,7.675,7.871,16036697.774
20160114,7.959,8.469,7.753,8.204,8209172.754
20160115,7.822,7.881,7.557,7.645,7294743.843
20160119,7.744,7.841,6.979,7.224,10706900.420
20160120,6.940,7.224,6.597,7.106,12330049.648
20160121,6.989,8.037,6.920,7.587,7600763.842
20160122,7.939,8.086,7.126,7.155,13142405.385
20160125,6.979,7.096,6.675,6.773,9726918.031
20160126,7.038,7.518,6.803,7.342,7848679.327
20160127,7.195,7.538,7.013,7.283,8343936.460
20160128,7.665,7.822,7.371,7.489,6741318.352
20160129,7.449,7.645,7.302,7.626,5966716.092
20160201,7.273,7.400,7.096,7.342,7073203.402
20160202,7.175,7.195,6.930,7.126,8193959.318
20160203,7.234,7.469,6.567,7.420,12721302.170
20160204,7.400,8.240,7.110,8.160,14623600.000
20160205,7.980,9.170,7.950,8.530,15834862.000
20160208,8.400,8.400,7.745,7.850,8960182.000
20160209,7.510,7.895,7.050,7.240,8709609.000
20160210,7.270,7.660,7.030,7.070,5127313.000
20160211,6.940,7.180,6.660,6.970,6778090.000
20160212,7.300,7.940,7.220,7.360,15683647.000
20160216,7.490,7.635,7.100,7.600,8491954.000
20160217,7.730,8.130,7.720,7.780,8268477.000
20160218,8.000,8.142,7.700,7.980,8403442.000
20160219,7.900,7.900,7.350,7.570,6770329.000
20160222,7.780,8.160,7.680,7.950,5024637.000
20160223,7.870,8.200,7.605,7.670,5223612.000
20160224,7.370,7.660,7.300,7.620,5218123.000
20160225,7.560,7.690,7.270,7.510,6624641.000
20160226,7.690,8.600,7.660,8.210,7555805.000
20160229,8.250,8.740,8.050,8.320,9027875.000
20160301,8.230,8.480,8.000,8.230,11608610.000
20160302,8.270,9.320,8.120,9.300,8635450.000
20160303,9.320,10.900,9.210,10.760,15906157.000
20160304,10.970,13.450,10.740,13.220,32421388.000
20160307,12.660,13.900,12.560,13.570,24866491.000
20160308,13.040,13.240,11.730,11.940,16094151.000
20160309,12.190,12.290,11.200,11.330,13100482.000
20160310,11.050,11.340,10.600,11.010,12666063.000
20160311,10.840,11.580,10.820,11.150,10984117.000
20160314,10.600,11.340,10.480,10.940,8596619.000
20160315,10.610,11.140,10.195,10.940,11111671.000
20160316,11.140,11.710,10.590,11.270,11565282.000
20160317,11.390,12.320,11.195,11.880,12923406.000
20160318,12.230,12.250,11.110,11.250,12718989.000
20160321,11.170,11.820,10.960,11.760,7840356.000
20160322,11.120,11.810,11.010,11.560,7009453.000
20160323,11.380,11.650,10.450,10.560,10797088.000
20160324,10.160,10.700,10.100,10.430,9924345.000
