Date,Open,High,Low,Close,Volume
20160104,102.100,102.874,101.563,102.844,1679803.424
20160105,102.725,104.154,101.435,103.797,2085842.828
20160106,103.132,103.886,102.725,103.499,1633827.952
20160107,102.417,104.283,102.229,103.916,2966761.301
20160108,104.085,105.107,103.985,104.362,3271247.866
20160111,104.531,105.801,104.323,104.740,3186240.670
20160112,104.978,105.285,103.559,104.591,1960182.320
20160113,104.888,105.117,102.963,103.836,2440669.054
20160114,104.025,105.980,103.578,104.888,2225234.619
20160115,104.650,105.097,103.290,104.452,3354425.643
20160119,104.670,107.429,104.218,107.012,3300732.617
20160120,106.060,106.705,102.566,104.521,3055889.417
20160121,104.640,104.988,103.073,104.243,2017811.784
20160122,105.007,105.881,104.214,105.772,2133149.835
20160125,106.010,106.223,104.660,105.653,1964467.434
20160126,105.801,106.923,105.067,105.752,2841827.770
20160127,106.079,106.993,105.414,105.950,2627058.406
20160128,106.457,107.955,104.531,107.469,3551908.279
20160129,108.571,111.022,107.955,110.804,4291095.878
20160201,110.804,112.590,109.960,112.124,3612070.578
20160202,111.211,113.216,111.161,113.047,2531315.235
20160203,113.275,114.645,112.819,113.841,3138775.716
20160204,113.067,114.099,111.707,112.650,2720142.504
20160205,112.451,113.280,111.379,112.749,2542218.909
20160208,112.789,113.752,111.935,113.315,2377713.821
20160209,113.156,115.081,112.868,114.476,3249026.702
20160210,111.776,113.265,110.576,112.878,3295038.608
20160211,112.422,113.126,111.042,111.082,2694499.426
20160212,111.280,111.573,109.772,110.804,2441199.174
20160216,111.608,112.134,110.377,111.508,1983273.177
20160217,111.419,111.479,110.432,110.605,2376944.127
20160218,111.002,113.920,110.665,113.503,3029652.503
20160219,113.642,114.585,112.749,113.910,2741335.191
20160222,114.238,115.657,113.891,114.824,2468600.600
20160223,114.357,115.667,113.960,115.280,2014825.817
20160224,114.660,116.110,114.450,115.980,2913469.000
20160225,116.370,116.980,115.120,115.840,1967284.000
20160226,115.300,115.810,112.180,112.510,2233375.000
20160229,112.370,113.940,112.040,112.830,1842845.000
20160301,113.430,113.790,111.950,112.530,2218178.000
20160302,112.240,112.448,109.340,112.320,2616021.000
20160303,112.480,112.540,109.960,111.610,3002559.000
20160304,111.470,114.550,110.650,114.270,2724264.000
20160307,113.880,114.738,113.485,114.420,1934462.000
20160308,114.490,115.700,114.170,115.460,1781366.000
20160309,115.340,116.420,115.150,116.240,1408474.000
20160310,116.830,116.980,114.530,115.710,1430518.000
20160311,116.280,116.450,115.360,115.790,1452683.000
20160314,116.040,116.770,115.280,115.820,1343776.000
20160315,115.850,116.670,115.290,115.580,1938797.000
20160316,115.540,117.530,114.440,117.150,1750335.000
20160317,117.280,118.550,116.510,118.280,1597845.000
20160318,118.740,118.920,117.570,118.330,3161333.000
20160321,118.000,118.300,116.610,117.590,1259532.000
20160322,117.360,118.160,116.720,117.060,1158720.000
20160323,116.700,118.100,116.420,117.690,1445517.000
20160324,117.490,118.620,117.265,118.520,1922778.000
