Date,Open,High,Low,Close,Volume
20160104,109.000,110.000,105.210,109.950,20203487.000
20160105,110.440,110.616,105.850,107.650,17257547.000
20160106,105.120,117.920,104.960,117.720,32284967.000
20160107,116.360,122.190,112.290,114.560,32910198.000
20160108,116.390,117.720,111.090,111.390,17359331.000
20160111,112.500,116.790,111.200,114.960,21536865.000
20160112,116.060,117.780,115.080,116.540,14705873.000
20160113,114.190,114.480,104.530,106.570,24432642.000
20160114,105.650,109.260,101.210,107.060,23080639.000
20160115,102.430,105.500,101.710,104.050,18645883.000
20160119,106.690,110.140,105.550,107.800,28992208.000
20160120,109.000,109.990,97.050,107.766,51248940.000
20160121,108.420,108.520,102.100,102.340,30392539.000
20160122,104.790,105.000,99.220,100.680,26266344.000
20160125,99.810,102.680,99.000,99.120,19275256.000
20160126,99.740,100.550,94.850,97.830,21752401.000
20160127,96.610,97.870,90.590,91.150,24534219.000
20160128,93.800,95.250,90.110,94.420,23897657.000
20160129,92.100,94.390,90.630,91.820,19676231.000
20160201,91.840,97.180,91.300,94.090,19361298.000
20160202,95.540,96.650,90.722,91.490,21364856.000
20160203,92.410,92.690,86.140,90.730,26020279.000
20160204,89.490,91.260,86.540,89.710,18815099.000
20160205,88.230,88.950,81.860,82.790,25467376.000
20160208,80.700,84.700,79.930,83.310,24430344.000
20160209,81.750,88.405,81.550,86.130,25618801.000
20160210,89.000,92.210,87.420,88.440,21759294.000
20160211,87.420,88.390,82.910,86.350,20974278.000
20160212,86.760,89.720,85.260,87.410,18387014.000
20160216,89.000,90.140,87.540,89.050,15922848.000
20160217,90.130,94.770,89.630,94.760,17840074.000
20160218,94.800,94.900,90.310,90.490,17271198.000
20160219,89.970,91.400,88.030,89.230,13562354.000
20160222,90.750,93.110,88.290,91.920,16026043.000
20160223,91.400,92.490,89.050,89.110,12527189.000
20160224,88.510,91.760,86.700,91.602,15756882.000
20160225,91.180,94.810,90.210,94.510,17624933.000
20160226,95.300,97.499,94.250,94.800,16690980.000
20160229,94.810,97.200,93.334,93.420,11913844.000
20160301,94.580,99.160,93.610,98.300,16695478.000
20160302,98.010,99.480,95.900,97.610,18878139.000
20160303,97.830,98.350,95.390,97.930,15166439.000
20160304,98.810,102.220,98.300,101.580,23159818.000
20160307,101.000,101.790,95.250,95.490,23424069.000
20160308,94.960,98.280,94.500,96.230,14471203.000
20160309,96.780,98.370,94.990,98.000,12054800.000
20160310,98.180,99.740,95.450,97.360,16809677.000
20160311,99.550,99.600,96.050,97.660,14708558.000
20160314,97.430,99.420,97.165,98.130,11049071.000
20160315,97.870,98.510,96.430,97.850,9451126.000
20160316,97.530,99.730,97.500,99.350,12467693.000
20160317,99.000,101.390,99.000,99.730,13200833.000
20160318,100.500,102.410,100.005,101.115,14990604.000
20160321,101.110,102.110,99.500,101.060,9479536.000
20160322,100.480,101.550,99.200,99.840,8844514.000
20160323,99.750,100.390,98.810,99.590,8166902.000
20160324,98.640,98.850,97.070,98.360,10394972.000
