Date,Open,High,Low,Close,Volume
20160104,32.480,33.010,31.810,32.270,2859100.000
20160105,32.370,32.680,31.810,32.500,2103545.000
20160106,31.350,31.350,29.700,30.040,3976076.000
20160107,29.170,30.910,28.850,29.420,3617877.000
20160108,29.700,30.280,29.010,29.260,3068844.000
20160111,29.860,29.920,28.470,28.990,3156056.000
20160112,29.670,29.900,28.330,29.310,3170107.000
20160113,29.720,30.390,27.890,28.190,3062823.000
20160114,28.460,28.790,26.920,27.860,6212733.000
20160115,26.450,27.230,25.520,26.230,6681141.000
20160119,26.520,26.580,23.690,24.360,5727427.000
20160120,23.880,24.100,22.200,23.730,5064451.000
20160121,23.500,25.410,23.230,25.340,7405337.000
20160122,26.600,27.740,25.350,25.980,6985508.000
20160125,25.190,26.250,24.440,24.480,2981869.000
20160126,25.130,26.020,24.250,25.920,3482092.000
20160127,25.890,27.080,25.130,26.510,6548299.000
20160128,28.160,28.510,26.940,27.570,4504122.000
20160129,27.870,29.220,27.730,29.060,3274002.000
20160201,28.240,28.830,27.440,28.160,3345247.000
20160202,27.490,27.490,26.250,26.620,3315760.000
20160203,27.430,28.320,25.870,28.270,3011373.000
20160204,27.830,29.190,27.150,27.250,3178720.000
20160205,26.820,26.830,24.470,24.880,5699025.000
20160208,23.690,25.540,23.300,25.490,7151097.000
20160209,25.390,25.390,23.370,23.800,4047817.000
20160210,23.780,24.670,23.100,23.580,4070534.000
20160211,23.030,23.880,22.360,23.680,5868802.000
20160212,24.110,24.910,23.640,24.180,3156667.000
20160216,24.650,24.760,23.830,24.170,2451077.000
20160217,24.170,24.990,22.760,24.870,5442879.000
20160218,25.310,25.310,22.540,22.590,5896298.000
20160219,22.050,22.350,18.950,22.320,6142809.000
20160222,23.800,25.230,23.290,24.510,4872341.000
20160223,24.210,24.490,23.320,23.340,3928871.000
20160224,22.660,23.500,22.330,23.410,3958991.000
20160225,23.190,25.320,23.030,24.410,6182793.000
20160226,25.830,26.500,24.830,26.090,25511911.000
20160229,26.780,27.510,26.090,27.220,11229453.000
20160301,27.460,28.590,26.740,28.550,6793419.000
20160302,28.200,29.070,27.430,29.000,5899573.000
20160303,29.480,29.880,28.320,29.160,6942499.000
20160304,29.670,31.610,29.340,30.170,8295251.000
20160307,30.160,30.510,28.720,29.920,7519255.000
20160308,29.490,29.630,27.770,28.980,5433727.000
20160309,29.690,31.170,29.220,30.650,6031114.000
20160310,30.380,30.620,29.610,30.490,5865256.000
20160311,31.200,32.495,31.120,31.830,5908377.000
20160314,31.210,32.740,30.840,32.150,4437857.000
20160315,31.530,32.190,31.090,31.870,4143145.000
20160316,32.140,33.630,32.140,33.480,3819489.000
20160317,33.900,34.170,32.960,33.710,3689827.000
20160318,34.240,34.970,33.010,33.800,5604765.000
20160321,33.750,34.210,32.710,33.470,2782447.000
20160322,33.450,33.820,32.940,33.040,3101697.000
20160323,32.820,33.000,31.841,32.120,3484914.000
20160324,31.180,32.520,31.140,32.390,4253543.000
