Date,Open,High,Low,Close,Volume
20160104,19.270,19.518,19.205,19.369,2207394.873
20160105,19.359,19.791,19.141,19.697,2741812.011
20160106,19.558,19.856,19.449,19.796,2975571.278
20160107,19.578,19.692,19.260,19.359,2558235.371
20160108,19.339,19.642,19.280,19.320,2235540.666
20160111,19.359,19.707,19.310,19.637,1943861.345
20160112,19.677,19.736,19.320,19.409,2043599.735
20160113,19.379,19.518,19.200,19.339,2014946.799
20160114,19.339,20.005,19.339,19.856,2238861.107
20160115,19.538,19.766,19.389,19.588,1799083.662
20160119,19.746,19.965,19.637,19.885,2114748.203
20160120,19.756,19.870,18.913,19.310,3105256.991
20160121,19.359,19.657,19.190,19.379,2441546.438
20160122,19.588,20.188,19.459,20.134,2480328.355
20160125,20.153,20.282,19.985,20.223,3335852.224
20160126,20.253,20.531,20.143,20.173,2272073.124
20160127,20.163,20.253,19.841,20.005,3479138.061
20160128,20.153,20.700,20.049,20.590,3363141.078
20160129,20.858,20.987,20.704,20.848,3954780.762
20160201,20.868,21.166,20.700,21.136,4038214.812
20160202,21.077,21.375,20.908,21.116,4616327.990
20160203,21.226,21.504,21.156,21.315,3999859.439
20160204,21.450,21.530,21.060,21.170,3423785.000
20160205,21.060,21.170,20.675,20.970,3467468.000
20160208,21.070,21.240,20.715,20.910,1714118.000
20160209,20.800,21.380,20.750,21.230,2474861.000
20160210,21.200,21.650,21.055,21.490,4137810.000
20160211,21.370,21.420,20.940,21.110,3720236.000
20160212,21.380,21.390,21.020,21.270,2944457.000
20160216,21.440,21.457,20.960,21.100,2312426.000
20160217,21.170,21.490,20.880,21.310,3856620.000
20160218,21.250,22.100,21.150,21.870,3931838.000
20160219,21.730,22.140,21.520,21.860,3119124.000
20160222,21.820,22.070,21.680,21.900,2086546.000
20160223,21.880,22.020,21.750,21.800,3009122.000
20160224,21.700,21.910,21.620,21.770,2202577.000
20160225,21.860,22.060,21.740,22.020,1789759.000
20160226,21.920,21.960,21.440,21.500,2218277.000
20160229,21.520,21.730,21.470,21.480,1789323.000
20160301,21.570,21.720,21.440,21.500,2397817.000
20160302,21.410,22.100,20.940,22.070,2713915.000
20160303,22.080,22.360,21.865,22.330,2214628.000
20160304,22.230,22.510,22.090,22.390,1801923.000
20160307,22.240,22.550,22.150,22.370,2164308.000
20160308,22.650,22.660,22.290,22.490,1488584.000
20160309,22.530,22.790,22.510,22.630,1022881.000
20160310,22.500,22.820,22.410,22.770,1675539.000
20160311,22.840,22.990,22.670,22.745,1716912.000
20160314,22.660,22.900,22.660,22.790,1379971.000
20160315,22.740,22.960,22.570,22.670,2697387.000
20160316,22.650,23.150,22.490,23.100,1603322.000
20160317,23.200,23.420,23.100,23.340,1825013.000
20160318,23.310,23.350,22.790,22.810,2884703.000
20160321,22.830,22.940,22.600,22.900,1750263.000
20160322,22.920,23.000,22.750,22.805,1052519.000
20160323,22.840,23.140,22.730,23.030,1394568.000
20160324,22.980,23.150,22.855,23.025,1970402.000
