Date,Open,High,Low,Close,Volume
20160104,60.913,61.768,60.703,61.372,10516945.600
20160105,61.561,62.429,61.531,62.210,7924277.090
20160106,61.192,61.880,60.993,61.352,5880341.740
20160107,60.235,61.112,59.626,59.706,9772775.500
20160108,59.906,60.644,58.509,58.709,10276013.050
20160111,58.818,59.886,58.384,59.427,10723271.063
20160112,60.215,60.684,59.417,59.756,7814030.200
20160113,60.374,60.374,58.519,58.636,9152282.470
20160114,58.848,59.197,57.124,58.340,9042794.040
20160115,56.824,57.990,56.444,57.441,10665601.570
20160119,58.040,58.918,57.522,58.180,8680000.780
20160120,57.103,59.437,56.604,58.888,15209143.840
20160121,58.928,61.003,58.908,60.404,15200918.720
20160122,61.262,61.312,60.434,60.733,7552279.550
20160125,60.933,61.142,60.464,60.574,9225886.850
20160126,60.334,61.212,60.125,60.963,7530434.930
20160127,60.803,60.943,59.048,59.452,7991655.640
20160128,60.165,61.441,59.826,61.062,9547271.250
20160129,61.092,62.000,61.043,61.850,8854394.320
20160201,61.591,63.307,61.541,62.972,7642766.130
20160202,62.858,63.337,62.140,62.379,8559874.830
20160203,62.718,62.748,61.142,62.319,6819230.200
20160204,61.621,62.000,59.836,60.025,9590308.270
20160205,59.606,59.686,56.828,57.003,13596735.320
20160208,55.956,56.105,53.492,54.888,20489733.020
20160209,54.360,56.474,54.120,55.537,10373793.400
20160210,56.395,58.030,55.776,57.262,12607091.250
20160211,56.315,56.774,55.248,55.846,11548334.200
20160212,57.222,57.280,55.357,56.265,9299272.580
20160216,57.422,57.851,56.674,57.631,7197768.080
20160217,58.449,58.449,56.953,58.010,9619424.390
20160218,58.020,58.808,57.831,58.459,8441090.510
20160219,58.340,59.157,57.482,59.148,9485577.740
20160222,59.497,60.322,59.098,60.015,9593111.950
20160223,60.364,60.584,59.736,60.050,6996834.170
20160224,59.397,60.544,59.048,60.245,9557054.300
20160225,60.524,62.219,60.474,62.219,7704228.550
20160226,62.479,63.327,62.299,62.429,8345676.880
20160229,62.429,62.519,61.422,61.422,5836133.890
20160301,61.811,62.938,61.591,62.738,6870511.404
20160302,62.359,62.728,61.342,62.040,7641000.420
20160303,62.050,62.200,60.920,61.470,7386520.000
20160304,61.420,61.540,60.380,61.250,6602778.000
20160307,61.090,61.140,58.790,59.300,11579520.000
20160308,59.070,60.600,58.710,59.820,8543457.000
20160309,59.580,59.620,57.950,58.320,11951805.000
20160310,58.820,59.040,57.970,58.870,9000196.000
20160311,59.130,60.440,59.130,60.080,7708081.000
20160314,59.130,61.330,59.130,60.800,6543952.000
20160315,60.500,61.750,60.350,61.410,5733598.000
20160316,61.470,62.230,61.290,61.870,6547248.000
20160317,61.690,63.389,61.690,63.170,8639257.000
20160318,63.550,63.975,62.850,62.950,10495399.000
20160321,63.550,65.290,63.350,64.720,12647474.000
20160322,64.830,65.440,64.170,64.920,13902911.000
20160323,61.330,63.450,61.140,62.440,25075304.000
20160324,62.060,62.180,61.120,61.680,10918261.000
