Date,Open,High,Low,Close,Volume
20160104,33.020,34.080,32.873,34.065,4946841.373
20160105,33.513,33.720,32.607,33.139,4930813.010
20160106,32.311,32.311,30.685,30.882,5969475.846
20160107,30.232,31.020,29.808,30.301,6326699.766
20160108,30.399,30.478,29.251,29.503,7787890.244
20160111,29.572,29.710,29.118,29.503,7248975.730
20160112,29.572,30.158,29.315,29.976,6959708.310
20160113,30.370,30.557,28.586,28.655,8597009.410
20160114,28.921,30.212,28.093,30.064,7560974.060
20160115,28.764,29.542,28.616,29.503,7921445.158
20160119,29.739,29.788,28.488,29.089,5649401.640
20160120,28.379,29.798,28.123,29.292,7386024.190
20160121,29.108,30.749,28.931,30.222,5205476.770
20160122,31.119,31.493,29.995,30.774,6773625.200
20160125,30.390,30.468,29.227,29.256,5618344.370
20160126,29.680,30.409,29.444,29.985,5376138.770
20160127,29.916,31.513,29.522,30.636,7635401.320
20160128,31.572,32.153,30.399,30.606,8493235.590
20160129,30.803,32.173,30.685,32.065,5327479.460
20160201,31.464,31.680,30.616,31.513,4917734.810
20160202,30.843,30.843,29.956,30.222,6526508.820
20160203,27.591,27.778,25.719,27.581,28426830.840
20160204,27.650,28.429,27.345,28.163,13221755.587
20160205,27.877,28.497,27.552,28.054,9999957.490
20160208,27.424,28.103,26.812,27.985,6609359.000
20160209,27.828,27.887,26.625,27.167,7336456.830
20160210,27.108,27.759,26.261,26.300,5973681.550
20160211,25.798,26.310,25.364,25.955,8179611.180
20160212,26.300,27.335,26.167,27.138,5529653.560
20160216,27.640,27.788,26.941,27.640,4285435.794
20160217,27.995,28.734,27.916,28.685,6656427.860
20160218,28.990,29.059,28.251,28.931,4601535.060
20160219,28.537,28.872,28.291,28.862,3491318.077
20160222,29.581,29.690,28.941,28.961,5367408.565
20160223,28.655,29.365,28.202,28.241,4309942.010
20160224,27.532,27.887,26.872,27.828,4468276.758
20160225,27.936,28.005,26.655,27.246,5270723.329
20160226,27.956,28.882,27.877,28.379,5419730.551
20160229,28.675,29.177,28.448,28.833,5017018.470
20160301,29.207,29.562,28.714,29.069,7407720.090
20160302,28.941,30.153,28.448,30.064,6989421.940
20160303,30.173,31.524,30.025,31.286,9865757.310
20160304,31.513,32.203,31.198,32.025,10748995.070
20160307,31.808,34.686,31.739,34.430,17660962.870
20160308,34.104,34.252,31.020,31.030,7843203.585
20160309,31.370,32.150,30.600,31.380,5901908.000
20160310,31.200,31.580,30.660,31.500,4245852.000
20160311,32.010,33.540,32.000,33.390,5272064.000
20160314,32.880,33.835,32.700,33.440,5891300.000
20160315,32.950,33.170,32.050,33.130,3772235.000
20160316,33.330,33.610,32.830,33.060,6100768.000
20160317,33.420,34.540,33.080,33.990,6780986.000
20160318,34.320,34.340,32.210,32.540,8401212.000
20160321,32.220,32.610,31.650,32.570,4856890.000
20160322,32.380,32.770,31.870,32.030,5176798.000
20160323,31.890,32.320,31.215,31.360,4930201.000
20160324,30.650,31.150,30.010,31.140,4348167.000
