Date,Open,High,Low,Close,Volume
20160104,11.400,11.706,11.066,11.361,6065410.282
20160105,11.400,11.859,10.957,11.805,5494136.612
20160106,11.598,11.617,10.780,10.859,7782004.129
20160107,10.671,11.489,10.573,11.085,6220412.622
20160108,11.194,11.563,10.893,11.174,6243872.200
20160111,11.164,11.204,10.031,10.080,9780595.528
20160112,10.159,10.504,9.647,9.755,9267252.780
20160113,9.893,10.120,9.440,9.676,8107223.220
20160114,9.725,10.445,9.499,10.317,7997407.895
20160115,10.001,10.090,9.381,9.972,6163807.460
20160119,10.070,10.248,9.716,9.893,6265544.672
20160120,9.568,9.647,8.789,9.435,9245115.117
20160121,9.459,10.326,9.430,9.735,8843018.606
20160122,9.893,10.100,9.588,9.785,7708784.009
20160125,9.489,9.617,8.799,8.858,7015709.376
20160126,9.046,9.588,8.829,9.528,4802381.042
20160127,9.538,10.139,9.321,9.755,6612195.155
20160128,9.820,10.150,9.645,10.090,6026685.000
20160129,10.300,10.790,10.300,10.640,6253538.000
20160201,10.630,10.760,10.110,10.660,5443554.000
20160202,10.570,10.750,10.200,10.710,4614710.000
20160203,10.920,11.680,10.810,11.380,7748752.000
20160204,11.240,12.140,11.190,11.670,10952126.000
20160205,11.480,11.810,11.160,11.580,9053638.000
20160208,11.500,11.920,10.950,11.130,7831702.000
20160209,10.900,11.010,10.595,10.840,4130578.000
20160210,10.770,10.970,10.170,10.700,4738114.000
20160211,10.440,10.570,9.530,9.590,5487883.000
20160212,9.700,9.730,9.030,9.570,5837469.000
20160216,9.680,9.800,9.500,9.700,3351343.000
20160217,9.760,10.750,9.760,10.210,6106260.000
20160218,10.200,10.530,10.060,10.420,6570276.000
20160219,10.280,10.300,9.760,10.020,5334694.000
20160222,10.150,10.580,10.120,10.560,6114737.000
20160223,10.450,10.550,10.140,10.330,3857012.000
20160224,10.180,10.950,9.970,10.840,4950005.000
20160225,10.860,11.370,10.660,10.900,3597934.000
20160226,10.940,11.320,10.920,11.090,4887484.000
20160229,10.410,10.980,10.111,10.760,8893618.000
20160301,10.870,11.275,10.660,11.250,6257198.000
20160302,11.130,12.190,11.040,12.160,5661144.000
20160303,12.110,12.770,12.060,12.510,6696553.000
20160304,12.490,13.300,12.430,13.060,7740361.000
20160307,13.060,14.160,13.030,13.650,7782643.000
20160308,13.590,13.670,12.450,12.510,7779772.000
20160309,12.570,12.835,12.000,12.360,11126001.000
20160310,12.440,13.010,12.250,12.900,7180033.000
20160311,13.130,13.870,13.120,13.740,7440033.000
20160314,13.730,13.940,13.510,13.680,5984019.000
20160315,13.540,13.572,12.840,13.290,5065399.000
20160316,13.350,13.900,13.260,13.850,4640057.000
20160317,14.060,14.370,13.590,13.960,4732604.000
20160318,14.050,14.470,13.640,13.710,5704875.000
20160321,13.670,14.000,13.490,13.560,4244037.000
20160322,13.500,13.920,13.380,13.765,3400721.000
20160323,13.690,13.760,12.980,12.990,3808477.000
20160324,12.860,13.180,12.350,13.140,5413312.000
