Date,Open,High,Low,Close,Volume
20160104,82.899,82.919,80.173,81.095,2353814.984
20160105,81.036,81.829,80.629,81.551,976160.799
20160106,80.500,80.976,78.310,78.895,1253734.235
20160107,77.646,78.132,76.863,77.309,1806465.548
20160108,77.606,78.300,76.863,77.081,1241244.677
20160111,77.329,77.646,74.335,75.277,1428083.733
20160112,75.862,76.704,72.918,75.168,1683631.554
20160113,75.485,75.802,69.469,70.807,1827641.111
20160114,70.867,72.948,70.817,71.511,1784302.133
20160115,69.608,71.392,69.558,71.134,1608968.255
20160119,71.620,71.927,70.064,71.194,1393361.129
20160120,70.093,71.699,67.219,70.549,2015425.683
20160121,70.321,70.665,65.921,69.499,3551395.979
20160122,70.648,71.015,67.972,68.002,2062374.787
20160125,68.032,68.671,66.912,67.169,1505617.793
20160126,67.397,68.736,67.378,68.290,1491150.341
20160127,67.497,70.133,67.279,69.310,1723083.531
20160128,69.300,70.827,68.567,69.489,1313797.486
20160129,70.173,70.837,69.410,69.865,1689321.713
20160201,69.538,69.925,68.389,69.479,1292454.173
20160202,68.517,68.894,65.871,66.000,1278402.965
20160203,66.880,67.680,64.510,67.290,1777961.000
20160204,67.520,69.990,67.320,69.360,1982211.000
20160205,68.970,70.610,68.560,70.130,1380276.000
20160208,69.350,71.560,69.140,70.520,2607976.000
20160209,69.700,73.300,69.120,71.420,3480503.000
20160210,72.170,73.660,71.680,73.020,1524482.000
20160211,71.730,72.220,69.950,71.580,1540288.000
20160212,71.670,73.590,71.460,72.580,1352848.000
20160216,72.950,74.330,72.560,73.980,1238108.000
20160217,74.350,76.020,73.660,75.770,1933523.000
20160218,76.180,76.211,74.080,74.810,979410.000
20160219,74.500,75.500,74.050,74.990,1296835.000
20160222,75.660,77.160,75.360,76.020,1746204.000
20160223,76.120,76.940,73.720,73.840,867948.000
20160224,72.730,74.250,72.000,73.960,695826.000
20160225,74.230,75.000,72.640,73.690,790142.000
20160226,73.950,76.150,73.690,74.700,1216395.000
20160229,74.690,75.380,73.150,73.170,1162346.000
20160301,73.690,75.690,73.310,75.270,1777486.000
20160302,76.070,77.430,75.650,76.400,1658478.000
20160303,76.470,78.480,76.400,76.990,1488929.000
20160304,77.250,78.710,77.200,77.400,1029039.000
20160307,77.040,79.990,76.900,79.510,2913037.000
20160308,79.370,79.720,75.960,76.340,5734119.000
20160309,76.970,77.500,75.270,75.730,2384497.000
20160310,76.860,77.050,74.690,75.760,2106838.000
20160311,76.670,79.306,76.420,79.000,1679337.000
20160314,78.310,80.059,78.240,78.960,1432737.000
20160315,78.270,79.090,77.300,79.000,909940.000
20160316,78.600,81.410,78.580,81.030,1342922.000
20160317,80.970,82.990,80.750,82.800,1474189.000
20160318,83.110,84.580,83.080,84.110,1955397.000
20160321,83.740,85.250,83.230,84.090,970696.000
20160322,83.370,85.250,83.090,84.310,1644109.000
20160323,84.370,84.540,82.730,82.860,1019598.000
20160324,82.190,83.920,81.400,83.880,551418.000
