Date,Open,High,Low,Close,Volume
20160104,25.975,26.054,25.627,25.826,4144588.246
20160105,25.905,25.994,25.180,25.220,3943685.790
20160106,24.800,25.100,24.610,24.690,3533117.000
20160107,24.150,24.265,23.150,23.370,5993253.000
20160108,23.460,23.580,22.930,23.000,4117032.000
20160111,23.200,23.210,22.470,22.980,3794192.000
20160112,23.200,23.300,22.295,22.610,3685704.000
20160113,22.760,23.310,22.380,22.520,5847324.000
20160114,22.650,23.425,22.640,23.220,5133134.000
20160115,22.330,22.510,21.460,22.240,6703389.000
20160119,22.580,22.580,21.280,21.440,4876725.000
20160120,21.170,21.560,20.660,21.355,3551756.000
20160121,21.470,21.810,21.110,21.360,3292137.000
20160122,21.790,22.140,21.340,21.500,2793116.000
20160125,21.560,21.575,21.180,21.215,3108852.000
20160126,21.260,22.070,21.260,22.030,4771885.000
20160127,21.880,22.240,21.235,21.310,3571385.000
20160128,21.520,21.620,21.250,21.485,3383397.000
20160129,21.660,22.380,21.400,21.930,4416124.000
20160201,21.690,21.900,21.380,21.840,3377939.000
20160202,21.690,21.970,21.505,21.560,3518056.000
20160203,22.140,22.355,21.315,22.200,3714503.000
20160204,21.760,23.150,21.470,22.580,3389871.000
20160205,22.570,23.080,22.440,22.640,3829912.000
20160208,22.330,22.600,22.030,22.350,4103301.000
20160209,22.150,22.650,21.995,22.020,3097319.000
20160210,22.260,22.870,22.100,22.380,4075829.000
20160211,21.970,22.040,21.220,21.730,5081958.000
20160212,21.250,22.055,20.890,21.900,4741741.000
20160216,22.080,23.140,22.080,23.090,4939943.000
20160217,23.210,23.660,23.120,23.540,5207502.000
20160218,22.970,24.330,22.900,23.930,9421013.000
20160219,23.910,24.795,23.700,24.640,5858894.000
20160222,24.870,25.460,24.870,24.970,4158260.000
20160223,24.760,24.890,24.290,24.310,4143515.000
20160224,24.140,25.045,23.880,24.990,4276633.000
20160225,24.970,24.975,24.440,24.630,3686582.000
20160226,24.880,25.560,24.480,25.110,3433595.000
20160229,25.040,25.140,24.790,24.840,3826897.000
20160301,25.040,25.800,24.890,25.545,2815246.000
20160302,25.360,25.850,25.340,25.695,2555861.000
20160303,25.750,26.170,25.430,26.080,2851169.000
20160304,26.120,26.370,25.720,26.000,3693044.000
20160307,25.820,27.250,25.620,26.850,5171119.000
20160308,26.590,26.730,25.875,25.950,2918801.000
20160309,26.150,26.575,26.090,26.170,3784553.000
20160310,25.770,26.590,25.770,26.330,3147990.000
20160311,26.610,27.070,26.485,27.060,3648413.000
20160314,26.850,27.080,26.370,26.610,3093420.000
20160315,26.490,26.610,25.660,25.830,2930205.000
20160316,25.680,26.370,25.460,26.290,1979418.000
20160317,26.360,26.760,26.262,26.660,1972144.000
20160318,26.770,27.510,26.520,27.240,3839703.000
20160321,26.550,27.000,26.520,26.790,3217034.000
20160322,26.570,27.270,26.520,27.150,2077503.000
20160323,27.190,27.240,26.270,26.380,1930433.000
20160324,26.260,26.440,25.650,26.340,1667782.000
