Date,Open,High,Low,Close,Volume
20160104,39.580,40.090,39.220,39.550,3529927.000
20160105,39.900,40.030,39.460,39.980,2552996.000
20160106,39.220,39.710,39.100,39.360,1492279.000
20160107,38.590,38.610,36.980,37.340,5342916.000
20160108,37.460,37.750,36.360,36.430,3175468.000
20160111,36.740,36.860,35.800,36.130,3177028.000
20160112,36.450,36.850,35.440,36.270,4140677.000
20160113,36.610,37.070,35.550,35.620,3349462.000
20160114,35.900,36.590,35.500,36.230,3041150.000
20160115,35.280,35.550,34.710,35.150,3116164.000
20160119,35.790,35.900,34.740,35.280,2993403.000
20160120,34.610,35.400,33.900,34.980,3215945.000
20160121,34.950,35.580,34.700,35.000,2679503.000
20160122,35.620,35.860,35.020,35.360,2577284.000
20160125,35.270,35.590,34.820,34.880,2143875.000
20160126,35.330,36.880,35.250,36.550,3528563.000
20160127,35.950,36.630,35.570,35.710,3163666.000
20160128,37.000,37.000,34.900,36.630,3495631.000
20160129,36.710,39.110,36.640,39.070,4946235.000
20160201,38.710,39.230,38.000,39.170,3080380.000
20160202,38.670,38.770,38.180,38.490,2706702.000
20160203,38.980,40.020,38.470,39.920,2683111.000
20160204,40.330,41.160,40.100,40.460,2570661.000
20160205,40.100,41.240,39.670,39.910,2140560.000
20160208,39.870,39.970,39.110,39.400,2423098.000
20160209,38.920,39.380,38.290,38.900,1991719.000
20160210,38.990,39.950,38.750,38.970,1468323.000
20160211,38.510,38.690,37.710,38.320,1953654.000
20160212,39.290,40.070,38.643,40.020,2348371.000
20160216,40.230,40.500,39.650,40.180,2221130.000
20160217,40.550,41.075,40.450,40.750,2401134.000
20160218,40.930,40.930,39.812,40.030,2317244.000
20160219,39.860,39.890,39.110,39.400,2538581.000
20160222,39.870,40.100,39.560,39.740,2420015.000
20160223,39.370,39.560,38.880,38.900,1840318.000
20160224,38.110,39.060,37.770,39.020,2569013.000
20160225,38.940,39.750,38.790,39.750,1921755.000
20160226,39.920,40.420,39.670,39.950,1711805.000
20160229,39.310,39.900,39.050,39.330,2236918.000
20160301,39.960,41.200,39.620,40.960,2035414.000
20160302,41.350,42.310,41.210,42.240,2763184.000
20160303,42.290,43.205,42.140,42.740,3692281.000
20160304,42.950,43.840,42.200,42.940,3269109.000
20160307,42.720,44.770,42.720,44.760,3304067.000
20160308,44.140,44.950,44.040,44.310,3522515.000
20160309,44.470,44.780,43.280,43.530,2594168.000
20160310,43.600,45.070,43.455,44.990,2572940.000
20160311,45.360,45.440,44.280,45.390,2770943.000
20160314,45.040,45.650,44.690,45.130,2158673.000
20160315,44.730,45.490,44.390,45.040,1964727.000
20160316,44.720,45.610,44.490,45.540,3080647.000
20160317,45.860,46.760,45.248,46.660,2755300.000
20160318,46.760,47.360,46.340,46.700,2440062.000
20160321,46.570,46.690,45.860,46.410,1655855.000
20160322,45.930,46.860,45.920,46.610,1704539.000
20160323,46.090,46.670,45.870,46.050,2374853.000
20160324,45.760,46.540,45.510,46.500,1780996.000
