Date,Open,High,Low,Close,Volume
20160104,32.173,32.462,31.924,32.252,8064077.480
20160105,32.860,33.319,32.382,32.761,10246730.920
20160106,32.233,32.382,31.047,31.416,10300374.670
20160107,30.628,30.848,29.771,30.160,15035045.610
20160108,30.529,30.589,29.453,29.522,9414854.195
20160111,29.552,29.782,29.032,29.572,10105834.640
20160112,30.050,30.509,29.861,30.070,10833197.870
20160113,30.300,30.499,29.124,29.164,10573485.630
20160114,28.586,28.895,27.709,28.566,14598294.830
20160115,27.420,27.749,26.543,27.012,19944144.430
20160119,27.570,28.347,27.116,27.231,10684933.970
20160120,26.713,27.729,26.354,27.370,11264786.810
20160121,27.679,28.128,27.111,27.689,11325030.275
20160122,28.227,28.536,28.167,28.347,5985280.750
20160125,28.337,28.661,28.252,28.307,6443171.326
20160126,28.377,28.715,28.078,28.596,4825057.129
20160127,28.556,28.641,27.714,28.257,5204274.154
20160128,28.486,28.626,27.400,27.948,6663289.140
20160129,28.187,29.238,28.078,29.184,6530564.152
20160201,29.154,29.343,28.902,29.194,6540974.962
20160202,28.895,28.974,27.759,27.958,7880208.488
20160203,28.177,28.347,27.450,28.088,7405602.620
20160204,28.137,28.745,27.819,28.108,8179397.754
20160205,27.918,28.227,26.254,26.334,12481067.850
20160208,25.936,26.065,24.760,25.119,14659037.550
20160209,24.849,26.454,24.710,25.387,10088675.390
20160210,25.557,26.294,25.198,25.358,8104936.010
20160211,24.690,25.467,24.690,25.208,7889440.362
20160212,25.607,25.686,24.660,25.617,7738964.117
20160216,26.005,26.932,25.925,26.892,10955445.960
20160217,27.231,27.819,27.121,27.578,15982293.020
20160218,29.861,30.863,29.791,29.931,23271498.810
20160219,29.732,30.599,29.542,30.329,11613346.355
20160222,30.768,31.754,30.708,31.406,10785944.140
20160223,31.157,31.784,31.007,31.485,8788787.470
20160224,31.356,31.754,30.489,31.700,8010503.374
20160225,31.824,31.934,31.206,31.764,8499711.509
20160226,31.924,32.000,31.246,31.565,8264806.620
20160229,31.610,32.020,31.330,31.360,7280455.000
20160301,31.440,32.750,31.390,32.750,8223171.000
20160302,32.570,33.060,32.510,32.950,5545354.000
20160303,32.890,33.040,32.210,32.650,5778928.000
20160304,32.900,32.930,32.300,32.550,4184978.000
20160307,32.370,32.590,31.915,32.340,5677845.000
20160308,32.010,32.110,31.645,31.750,5150119.000
20160309,32.030,32.100,31.320,31.730,5330204.000
20160310,31.920,32.100,31.040,31.680,6861704.000
20160311,32.150,32.230,31.770,32.220,6519310.000
20160314,32.070,32.430,31.870,32.295,4266927.000
20160315,32.120,32.340,31.570,32.140,5235716.000
20160316,31.860,33.210,31.860,33.110,8769356.000
20160317,32.980,33.140,32.374,32.820,7974391.000
20160318,33.180,34.250,33.000,33.820,13110374.000
20160321,33.540,33.920,33.150,33.905,7170262.000
20160322,33.800,34.085,33.430,33.850,5511929.000
20160323,34.000,34.680,33.850,34.430,10450249.000
20160324,34.120,34.540,34.010,34.480,5392961.000
