Date,Open,High,Low,Close,Volume
20160104,13.208,13.228,12.899,12.979,745557.863
20160105,12.989,13.164,12.919,13.069,644395.545
20160106,12.820,13.049,12.810,12.969,826697.560
20160107,12.700,13.039,12.610,12.889,832244.874
20160108,12.979,13.069,12.700,12.710,643435.394
20160111,12.860,12.870,12.510,12.650,457195.000
20160112,12.740,12.840,12.480,12.650,477537.000
20160113,12.730,12.770,12.240,12.300,595624.000
20160114,12.300,12.910,12.240,12.790,715562.000
20160115,12.450,12.680,12.360,12.590,600556.000
20160119,12.730,12.810,12.360,12.480,430685.000
20160120,12.270,12.440,11.840,12.310,906555.000
20160121,12.300,12.525,12.060,12.360,500463.000
20160122,12.550,12.770,12.520,12.750,466484.000
20160125,12.700,12.810,12.500,12.530,328197.000
20160126,12.580,13.040,12.580,13.030,645931.000
20160127,12.970,13.050,12.770,12.800,445985.000
20160128,12.920,12.990,12.690,12.830,381337.000
20160129,12.900,13.230,12.890,13.220,1024568.000
20160201,13.090,13.160,12.900,12.970,525117.000
20160202,12.790,12.820,12.640,12.670,355228.000
20160203,12.790,12.890,12.480,12.770,550299.000
20160204,13.450,13.450,12.860,12.960,759384.000
20160205,12.790,12.820,12.300,12.480,982016.000
20160208,12.320,12.470,12.086,12.450,673415.000
20160209,12.240,12.480,12.140,12.250,370002.000
20160210,12.310,12.530,12.170,12.280,500706.000
20160211,12.080,12.350,11.995,12.260,789636.000
20160212,12.410,12.500,12.280,12.420,395416.000
20160216,12.620,12.800,12.510,12.780,355375.000
20160217,12.880,13.020,12.500,12.850,664229.000
20160218,12.850,13.020,12.770,12.820,523733.000
20160219,12.800,12.920,12.520,12.690,806418.000
20160222,12.790,13.020,12.770,12.790,533956.000
20160223,12.790,13.050,12.720,12.830,408575.000
20160224,12.480,12.600,12.000,12.460,794672.000
20160225,12.460,12.730,12.270,12.450,750844.000
20160226,12.510,12.700,12.440,12.550,397529.000
20160229,12.520,12.780,12.465,12.570,527206.000
20160301,12.760,12.890,12.600,12.720,753706.000
20160302,12.720,12.780,12.610,12.760,335342.000
20160303,12.760,12.950,12.760,12.900,538367.000
20160304,12.890,12.940,12.350,12.750,888050.000
20160307,12.690,12.820,12.630,12.780,510353.000
20160308,12.750,12.760,12.510,12.520,460231.000
20160309,12.580,12.740,12.510,12.580,603177.000
20160310,12.610,12.670,12.390,12.620,481493.000
20160311,12.740,12.900,12.600,12.890,514927.000
20160314,12.850,12.920,12.670,12.800,243322.000
20160315,12.720,12.720,12.530,12.550,346694.000
20160316,12.510,12.750,12.470,12.710,583616.000
20160317,12.650,12.815,12.590,12.780,508786.000
20160318,12.810,13.030,12.700,12.740,1041416.000
20160321,12.730,12.770,12.600,12.610,247154.000
20160322,12.540,12.620,12.490,12.550,357941.000
20160323,12.540,12.580,12.470,12.480,451712.000
20160324,12.390,12.560,12.300,12.530,565661.000
