Date,Open,High,Low,Close,Volume
20160104,50.788,51.066,50.122,50.857,1805678.318
20160105,51.036,52.069,50.837,51.920,1852149.034
20160106,51.502,52.237,51.502,52.237,1678816.892
20160107,51.642,52.128,51.312,51.344,2033382.436
20160108,51.403,51.781,50.748,50.817,1436205.516
20160111,51.036,52.178,51.018,51.910,2130123.988
20160112,52.158,52.227,51.403,52.088,2517009.019
20160113,52.088,52.803,51.344,51.493,2477902.942
20160114,51.622,52.416,51.294,51.890,2512025.468
20160115,51.324,51.929,50.738,51.820,3081727.800
20160119,52.118,52.913,51.940,52.645,1861948.234
20160120,52.347,52.479,50.609,51.522,2729033.239
20160121,51.929,52.933,51.354,52.138,1811311.507
20160122,52.625,53.826,52.516,53.677,1682416.728
20160125,53.747,54.353,53.242,53.528,1926607.937
20160126,53.677,54.978,53.588,54.809,2467516.898
20160127,54.611,55.366,54.055,54.700,2129372.102
20160128,54.669,55.337,54.430,54.669,2706729.124
20160129,55.117,55.696,54.828,55.566,2761790.241
20160201,55.377,57.011,54.988,56.453,3110961.070
20160202,56.543,57.234,56.114,57.041,2035607.009
20160203,57.221,57.988,56.941,57.164,2975761.713
20160204,57.021,57.709,56.672,57.280,2746014.464
20160205,56.872,57.060,55.327,55.706,2982539.646
20160208,55.526,56.124,54.639,55.965,2423703.700
20160209,55.815,56.563,55.446,56.204,2770754.647
20160210,56.313,57.310,56.284,56.583,2238277.315
20160211,56.523,60.021,56.502,59.902,5965461.336
20160212,59.702,61.058,59.453,60.290,5291873.580
20160216,60.131,60.211,58.566,59.593,3401495.463
20160217,59.802,60.370,59.164,59.593,2662980.282
20160218,59.603,60.520,59.324,60.250,2100434.896
20160219,60.061,61.138,59.842,60.021,2465518.433
20160222,60.360,60.539,59.265,59.513,2186316.488
20160223,59.583,59.882,58.915,59.503,2030250.271
20160224,59.334,60.061,59.074,59.334,1464788.278
20160225,59.563,60.430,59.463,59.922,1811246.786
20160226,59.860,59.860,58.500,58.630,2242419.000
20160229,58.610,59.220,58.150,58.540,1954201.000
20160301,58.920,59.330,58.250,58.830,1940132.000
20160302,58.650,59.100,58.160,59.060,1402071.000
20160303,59.140,59.340,58.290,59.000,1418329.000
20160304,59.000,59.000,57.810,58.150,1750973.000
20160307,58.140,58.180,57.480,57.750,2098954.000
20160308,57.750,59.045,57.590,58.650,1908970.000
20160309,58.510,59.580,58.365,58.920,1361678.000
20160310,59.260,59.530,58.800,59.250,1621388.000
20160311,59.780,59.890,59.060,59.620,1343945.000
20160314,59.360,59.820,59.260,59.750,1049753.000
20160315,59.700,60.285,59.500,59.840,1410898.000
20160316,59.670,61.000,58.900,60.900,2004270.000
20160317,60.910,61.850,60.500,61.550,1645732.000
20160318,61.460,61.540,60.760,61.240,1580381.000
20160321,60.950,60.990,60.170,60.780,1363087.000
20160322,60.750,61.500,60.610,60.900,945251.000
20160323,60.320,61.780,60.320,61.420,1224428.000
20160324,61.450,61.700,61.240,61.460,1104079.000
