Date,Open,High,Low,Close,Volume
20160104,17.130,17.130,16.630,17.060,1389466.000
20160105,17.020,17.030,16.210,16.270,1912429.000
20160106,16.090,16.140,15.760,15.850,1392205.000
20160107,15.470,15.710,15.290,15.340,2035894.000
20160108,15.350,15.520,14.980,15.010,1928548.000
20160111,15.000,15.040,14.370,14.610,1926077.000
20160112,14.770,14.890,13.860,14.100,3256668.000
20160113,14.240,14.460,13.610,13.650,2894533.000
20160114,13.730,13.930,13.400,13.800,2568530.000
20160115,13.400,13.420,12.890,13.090,2421215.000
20160119,13.340,13.350,12.320,12.600,3148666.000
20160120,12.340,12.540,11.920,12.420,2817089.000
20160121,12.470,12.890,12.390,12.690,2232423.000
20160122,12.940,13.200,12.620,12.870,1837367.000
20160125,12.720,12.860,12.430,12.440,1978505.000
20160126,12.650,13.000,12.600,12.990,3119825.000
20160127,12.880,13.470,12.770,13.220,3277448.000
20160128,13.370,13.510,12.520,12.580,2216963.000
20160129,12.600,12.950,12.350,12.940,2308098.000
20160201,12.730,12.770,12.360,12.650,1972914.000
20160202,12.350,12.430,11.990,12.060,1942403.000
20160203,12.060,12.340,11.580,12.330,2396055.000
20160204,12.450,13.340,12.420,12.940,2646643.000
20160205,13.080,13.340,12.810,12.910,1661838.000
20160208,12.700,12.720,12.085,12.310,2331399.000
20160209,12.110,13.770,12.000,13.550,5384631.000
20160210,13.380,13.860,12.940,13.400,3400458.000
20160211,13.170,13.415,12.370,12.570,2756745.000
20160212,12.680,13.305,12.360,13.030,2713694.000
20160216,13.280,13.720,12.650,13.630,2244312.000
20160217,13.760,14.520,13.510,14.210,3490731.000
20160218,14.240,14.980,14.090,14.850,3778002.000
20160219,14.700,14.770,13.890,14.050,2084551.000
20160222,14.440,15.000,14.340,14.940,2471208.000
20160223,15.020,15.190,14.690,14.740,2053310.000
20160224,14.410,15.370,14.152,15.340,2605791.000
20160225,15.240,15.490,14.615,15.080,2430631.000
20160226,15.270,15.450,15.000,15.180,1302538.000
20160229,15.170,15.270,14.870,14.950,2343543.000
20160301,15.260,15.380,14.020,14.550,4116851.000
20160302,14.580,14.690,13.740,14.670,5213867.000
20160303,14.700,15.240,14.550,15.210,2811237.000
20160304,15.300,15.690,14.910,15.130,2286319.000
20160307,15.070,15.440,14.745,15.050,1763966.000
20160308,14.580,14.780,13.850,14.020,2666245.000
20160309,14.080,14.340,13.760,14.120,1866928.000
20160310,14.110,14.235,13.790,14.160,1751452.000
20160311,14.370,14.810,14.230,14.740,2802883.000
20160314,14.690,15.250,14.610,15.110,3047718.000
20160315,14.900,14.980,14.180,14.370,2555554.000
20160316,14.350,15.090,14.270,14.990,2574930.000
20160317,15.070,16.440,15.030,16.250,3558362.000
20160318,16.540,16.640,15.870,16.140,2629344.000
20160321,16.070,16.350,15.930,16.200,1566536.000
20160322,15.940,16.440,15.860,16.290,1456141.000
20160323,16.090,16.170,15.790,15.795,1175297.000
20160324,15.560,15.795,15.070,15.760,1249472.000
