Date,Open,High,Low,Close,Volume
20160104,248.450,250.960,243.710,246.120,1092004.000
20160105,246.860,249.570,245.250,247.860,760075.000
20160106,243.630,244.540,238.520,241.120,890129.000
20160107,237.100,244.309,236.000,240.040,986019.000
20160108,239.750,241.500,234.000,234.720,802803.000
20160111,235.770,239.710,234.433,237.930,751510.000
20160112,237.940,243.870,236.530,243.010,747151.000
20160113,244.620,244.750,235.140,235.680,793271.000
20160114,235.490,238.340,233.280,236.020,711924.000
20160115,229.500,235.910,225.010,232.160,916658.000
20160119,235.910,236.900,232.270,235.750,839182.000
20160120,232.330,239.900,228.001,236.630,1302210.000
20160121,236.430,239.750,233.340,236.710,890827.000
20160122,239.550,240.540,236.850,239.440,542725.000
20160125,243.680,247.010,240.390,243.940,1344054.000
20160126,244.750,250.110,244.640,249.740,898865.000
20160127,250.330,251.910,244.440,246.490,772804.000
20160128,248.070,257.760,246.900,256.340,1607164.000
20160129,257.590,261.360,255.370,260.890,1162880.000
20160201,260.320,266.228,258.390,265.160,1035209.000
20160202,263.600,266.230,254.710,259.500,1054493.000
20160203,261.270,261.510,250.500,253.550,856293.000
20160204,253.240,254.160,247.050,250.870,958323.000
20160205,250.880,252.000,241.050,242.010,1314804.000
20160208,238.910,240.000,226.430,233.530,1850844.000
20160209,231.900,240.000,230.170,236.300,1519554.000
20160210,240.010,242.930,235.860,236.700,1699595.000
20160211,242.000,253.490,238.400,249.530,2538037.000
20160212,254.470,255.970,248.300,253.020,1278948.000
20160216,255.140,259.500,253.000,255.750,1160445.000
20160217,257.910,260.030,251.710,254.620,1078592.000
20160218,254.500,255.740,251.390,253.420,685937.000
20160219,252.760,259.570,249.040,257.840,872421.000
20160222,259.260,261.740,257.600,259.540,575598.000
20160223,258.760,260.750,255.810,258.780,837377.000
20160224,256.330,264.100,255.300,263.770,769773.000
20160225,264.770,267.800,262.905,267.270,751400.000
20160226,268.870,269.000,261.520,262.930,752832.000
20160229,262.060,264.780,259.790,260.320,682679.000
20160301,263.180,272.220,261.530,272.220,1218385.000
20160302,271.560,272.330,267.000,269.550,935600.000
20160303,266.510,270.901,265.110,267.940,1097268.000
20160304,268.410,269.000,263.010,265.310,1128795.000
20160307,263.980,265.810,260.930,262.010,810900.000
20160308,260.250,268.290,258.520,264.810,1238027.000
20160309,265.270,266.970,262.710,264.780,715749.000
20160310,264.770,268.700,263.870,268.130,661610.000
20160311,270.100,272.300,268.120,272.210,749765.000
20160314,271.870,273.530,270.383,271.620,517703.000
20160315,270.660,273.560,270.150,271.120,512942.000
20160316,269.480,270.990,267.930,270.000,429769.000
20160317,269.150,269.990,266.310,267.720,537069.000
20160318,268.440,269.698,265.000,268.520,873223.000
20160321,266.990,269.720,266.060,269.620,399080.000
20160322,270.350,273.500,269.520,272.740,528943.000
20160323,272.700,277.680,271.610,276.440,688787.000
20160324,276.350,277.210,273.220,274.940,541807.000
