Date,Open,High,Low,Close,Volume
20160104,66.346,67.127,65.624,66.682,4173419.300
20160105,66.277,67.948,66.029,67.780,3903575.548
20160106,66.010,66.366,64.042,64.714,6228160.650
20160107,63.359,64.952,62.984,63.538,5561207.210
20160108,64.042,64.230,62.242,62.460,5550946.750
20160111,62.193,62.717,59.305,60.531,8651775.650
20160112,61.065,61.965,58.158,60.264,7265163.330
20160113,61.065,62.104,59.359,59.770,6744980.590
20160114,60.076,64.091,59.523,63.261,8777137.450
20160115,60.640,62.351,60.284,62.074,6695398.780
20160119,62.796,62.944,59.671,60.778,7297895.972
20160120,59.681,60.224,57.594,58.969,9086520.850
20160121,58.652,60.491,58.100,60.175,6821015.390
20160122,62.549,63.676,60.759,63.073,7150478.710
20160125,62.420,63.587,61.045,61.115,5045418.120
20160126,62.390,62.905,61.451,62.529,4942040.320
20160127,62.104,65.159,61.589,63.458,5970701.450
20160128,65.416,66.010,63.355,65.120,7204506.610
20160129,65.199,68.067,65.149,67.988,8535543.460
20160201,66.791,67.038,65.100,65.832,5453907.020
20160202,63.627,65.565,63.300,64.764,5403549.040
20160203,65.852,67.434,64.022,67.374,6060451.930
20160204,68.136,69.708,66.039,66.198,8991145.780
20160205,65.436,65.911,64.032,64.744,5957119.930
20160208,63.290,65.960,62.539,65.496,5565472.710
20160209,64.408,65.436,63.340,64.516,4679534.150
20160210,64.408,66.257,63.572,64.942,7062320.050
20160211,63.676,65.782,63.409,65.456,5573549.180
20160212,66.257,67.036,65.703,66.306,4544063.189
20160216,67.493,67.641,66.379,67.276,5008420.260
20160217,68.571,70.519,67.948,69.847,6027540.280
20160218,70.549,70.668,69.036,69.530,4487512.940
20160219,69.066,69.590,68.087,69.520,4969195.991
20160222,71.103,71.399,70.311,70.865,4408525.353
20160223,70.579,70.885,67.820,68.235,3902000.360
20160224,66.959,68.858,66.653,68.670,3184099.659
20160225,68.808,69.184,67.735,68.907,2388143.654
20160226,70.471,70.510,69.006,69.036,3057563.956
20160229,69.560,69.778,67.789,68.086,3535016.929
20160301,68.502,69.847,67.839,69.659,4177496.063
20160302,69.333,70.896,68.828,70.817,4305192.735
20160303,70.441,70.847,68.640,69.728,5891987.767
20160304,69.946,70.243,68.413,68.967,5494719.690
20160307,69.155,69.986,67.572,69.590,6693500.830
20160308,69.060,69.260,66.200,66.440,6494985.000
20160309,67.230,69.260,66.300,68.430,5219762.000
20160310,68.270,68.730,67.528,68.440,3986559.000
20160311,69.550,70.220,69.110,69.940,3429984.000
20160314,69.130,69.670,68.650,69.030,2667145.000
20160315,68.060,68.360,67.480,68.330,3916354.000
20160316,68.740,69.750,68.070,69.430,3314678.000
20160317,70.330,71.180,69.433,70.660,3792364.000
20160318,71.240,71.570,70.100,71.280,4169723.000
20160321,70.890,71.365,70.070,70.660,1980648.000
20160322,70.030,70.570,69.370,69.620,2854603.000
20160323,68.890,69.400,68.030,68.300,4074201.000
20160324,67.270,68.740,67.250,68.520,4183607.000
