Date,Open,High,Low,Close,Volume
20160104,46.276,47.162,45.639,46.933,2654318.732
20160105,47.172,47.341,46.236,46.943,2068623.491
20160106,46.415,47.610,46.296,46.963,2746387.604
20160107,45.559,46.296,45.341,45.530,2615400.814
20160108,45.858,46.216,44.843,45.012,2169974.061
20160111,45.619,45.619,44.345,45.012,2175176.813
20160112,45.420,45.798,44.286,44.952,1502273.540
20160113,45.052,45.440,43.898,44.097,2487490.754
20160114,44.475,45.808,43.569,45.490,2784787.769
20160115,44.475,45.271,43.728,45.092,3079045.656
20160119,45.599,45.619,44.087,44.803,2205659.572
20160120,44.067,45.659,43.251,45.122,3876591.520
20160121,45.520,46.196,44.733,45.579,2867330.276
20160122,46.455,47.301,45.958,46.296,2568778.152
20160125,46.196,46.246,45.391,45.485,2088694.871
20160126,45.898,47.351,45.853,47.331,2221903.412
20160127,47.639,47.769,46.356,46.679,2264680.620
20160128,47.858,47.858,45.788,47.142,3015656.148
20160129,45.022,49.331,44.793,48.664,4967642.553
20160201,48.227,48.645,47.132,48.306,3320240.858
20160202,47.610,47.839,47.057,47.301,2291164.786
20160203,47.540,47.868,45.699,47.560,3192946.960
20160204,47.669,49.987,47.480,49.769,3363843.409
20160205,49.759,51.123,49.361,49.869,2601382.531
20160208,49.451,50.078,48.864,49.650,2766925.954
20160209,48.983,50.297,48.983,49.590,2518693.880
20160210,49.770,50.315,48.550,48.730,2410420.000
20160211,47.870,49.100,47.530,48.290,1684075.000
20160212,48.830,50.085,48.340,50.000,1962676.000
20160216,50.340,51.380,50.070,51.360,1677937.000
20160217,51.640,53.210,51.620,52.050,2475360.000
20160218,51.900,52.290,50.700,51.270,2175163.000
20160219,50.940,51.195,50.310,50.900,1773642.000
20160222,51.550,52.310,51.550,52.240,1557747.000
20160223,51.870,52.270,51.210,51.500,1271404.000
20160224,50.870,51.310,49.400,51.180,1986411.000
20160225,51.530,51.820,50.890,51.820,1833407.000
20160226,52.310,52.670,51.900,51.950,1606424.000
20160229,51.920,52.230,51.450,51.520,1518196.000
20160301,52.070,52.748,51.490,52.700,1834920.000
20160302,52.580,52.810,51.930,52.270,2018748.000
20160303,52.170,54.160,52.030,54.060,2664866.000
20160304,54.020,54.250,53.060,53.420,2598222.000
20160307,53.030,53.940,53.000,53.650,2033736.000
20160308,53.150,53.290,52.140,52.330,2368341.000
20160309,52.630,53.000,52.035,52.220,2003097.000
20160310,52.560,52.700,51.250,51.760,1959948.000
20160311,52.430,52.830,51.910,52.720,1796905.000
20160314,52.480,53.850,52.365,53.720,2694781.000
20160315,53.400,53.700,52.870,53.410,1489752.000
20160316,53.190,54.270,52.960,54.020,1629751.000
20160317,54.080,55.350,53.950,54.950,2117075.000
20160318,54.750,55.600,54.480,55.130,3440244.000
20160321,55.170,55.260,54.388,54.930,1602065.000
20160322,54.500,54.830,54.170,54.470,1097770.000
20160323,54.450,54.510,53.600,53.680,1361746.000
20160324,52.100,53.460,51.930,53.450,1251340.000
