Date,Open,High,Low,Close,Volume
20160104,1254.740,1260.000,1227.390,1245.000,735024.000
20160105,1247.800,1248.040,1201.050,1209.500,858894.000
20160106,1186.090,1212.990,1185.000,1197.160,536026.000
20160107,1171.970,1194.490,1154.280,1167.190,1032873.000
20160108,1172.510,1182.410,1135.000,1136.340,982293.000
20160111,1136.000,1149.500,1120.000,1136.870,613554.000
20160112,1142.210,1160.830,1132.320,1148.920,762335.000
20160113,1155.990,1156.980,1075.720,1098.750,1072175.000
20160114,1098.380,1137.010,1065.000,1121.620,1109924.000
20160115,1075.650,1110.830,1075.000,1086.430,1028656.000
20160119,1099.420,1118.000,1078.420,1093.880,656258.000
20160120,1075.000,1098.640,1039.170,1081.330,1037556.000
20160121,1084.360,1111.000,1066.660,1089.140,504298.000
20160122,1111.000,1126.860,1103.010,1119.030,703848.000
20160125,1117.410,1127.000,1097.830,1098.000,410121.000
20160126,1097.110,1124.760,1070.100,1110.710,726004.000
20160127,1079.580,1093.130,1038.000,1043.700,1126625.000
20160128,1058.780,1059.740,1015.150,1043.130,1099341.000
20160129,1045.400,1074.660,1030.270,1063.930,778153.000
20160201,1056.250,1094.800,1056.250,1084.870,572238.000
20160202,1070.050,1084.380,1056.120,1066.660,651258.000
20160203,1070.250,1073.320,1020.390,1048.340,767482.000
20160204,1044.790,1073.640,1023.250,1069.100,745242.000
20160205,1059.530,1066.520,1010.630,1015.860,1003567.000
20160208,996.490,1000.000,954.830,973.800,1153222.000
20160209,958.430,1004.700,954.020,991.670,1023352.000
20160210,1005.000,1048.440,1001.450,1032.770,917548.000
20160211,1054.000,1064.310,1027.790,1055.250,1006181.000
20160212,1066.880,1078.890,1050.240,1058.010,771601.000
20160216,1075.890,1116.020,1071.660,1112.900,1081110.000
20160217,1245.100,1246.610,1220.000,1235.560,2131064.000
20160218,1240.750,1257.230,1236.010,1251.950,1014201.000
20160219,1238.280,1284.990,1236.530,1283.960,1032504.000
20160222,1290.940,1291.890,1268.000,1288.410,770168.000
20160223,1278.300,1288.400,1258.450,1261.550,596122.000
20160224,1248.100,1264.850,1222.530,1264.210,745272.000
20160225,1263.250,1272.760,1246.990,1265.950,705212.000
20160226,1268.750,1272.920,1243.960,1254.270,587699.000
20160229,1250.300,1282.640,1248.490,1265.210,635814.000
20160301,1283.590,1296.570,1277.150,1295.920,548567.000
20160302,1298.050,1301.640,1281.100,1300.330,435597.000
20160303,1296.680,1305.840,1288.580,1303.260,412347.000
20160304,1306.270,1309.000,1285.840,1297.560,578017.000
20160307,1281.400,1296.420,1281.400,1291.320,494279.000
20160308,1284.000,1299.000,1280.580,1283.150,397747.000
20160309,1283.000,1291.960,1263.410,1291.900,425508.000
20160310,1295.210,1306.000,1274.500,1293.950,412421.000
20160311,1307.400,1328.180,1300.600,1326.860,629985.000
20160314,1320.220,1341.300,1317.260,1325.730,475504.000
20160315,1315.150,1339.050,1313.030,1332.130,355492.000
20160316,1328.380,1357.910,1324.120,1351.000,517645.000
20160317,1342.690,1356.950,1337.110,1346.860,358427.000
20160318,1352.280,1362.300,1337.750,1344.220,499305.000
20160321,1340.950,1351.000,1333.000,1350.520,233716.000
20160322,1310.000,1328.600,1305.550,1319.410,778713.000
20160323,1322.910,1323.850,1300.000,1306.620,432077.000
20160324,1300.000,1304.580,1291.010,1301.010,345508.000
