Date,Open,High,Low,Close,Volume
20160104,37.928,38.384,37.502,38.364,3322293.665
20160105,38.374,38.642,37.690,38.562,2066973.641
20160106,38.285,38.493,38.087,38.255,1660996.599
20160107,37.809,38.562,37.671,38.434,3164264.741
20160108,38.493,38.751,37.988,38.057,2492558.130
20160111,38.077,38.508,37.963,38.255,2090668.591
20160112,38.235,38.453,37.681,38.235,2684583.725
20160113,38.275,38.949,38.047,38.424,3349158.324
20160114,38.344,39.632,38.275,39.355,4538979.603
20160115,38.859,39.305,38.572,39.236,4492283.346
20160119,39.523,39.900,39.236,39.464,3720417.520
20160120,39.286,39.523,37.789,38.622,3384064.994
20160121,38.602,38.949,38.225,38.721,3152929.774
20160122,39.107,39.801,38.741,39.504,3916570.456
20160125,39.514,39.617,38.394,38.622,3307335.405
20160126,38.701,39.345,38.582,39.028,2134037.794
20160127,39.068,39.528,38.790,39.246,1628145.699
20160128,39.345,40.306,38.998,39.994,1950549.047
20160129,40.376,41.059,40.346,40.920,2635812.717
20160201,40.782,41.198,40.504,40.990,2683903.186
20160202,40.752,41.099,40.405,41.059,3138339.327
20160203,41.307,42.030,41.178,41.773,3566176.440
20160204,41.802,42.436,41.673,42.040,2934571.526
20160205,41.703,42.664,41.388,42.526,3525137.293
20160208,42.496,43.001,41.436,41.604,4477435.542
20160209,41.426,42.268,41.198,41.990,3198084.006
20160210,41.812,42.540,41.426,42.248,3005083.772
20160211,42.070,42.422,41.386,41.495,2878941.578
20160212,41.545,41.683,41.032,41.495,2064585.966
20160216,41.693,41.743,41.188,41.683,2003690.458
20160217,41.713,41.812,41.138,41.515,2924902.148
20160218,41.554,42.654,41.396,42.397,2953066.597
20160219,42.506,42.843,41.990,42.575,3382485.439
20160222,42.724,43.536,42.625,43.437,3928928.032
20160223,43.219,43.378,42.773,43.189,2668241.891
20160224,43.100,43.635,42.555,43.001,3152289.032
20160225,43.100,43.348,42.882,43.328,1781246.867
20160226,43.219,43.397,42.040,42.169,3415838.009
20160229,42.159,42.753,42.000,42.278,1710783.326
20160301,42.555,42.833,42.050,42.238,2577117.739
20160302,42.129,42.724,41.059,42.684,3085885.674
20160303,42.763,43.546,42.209,43.447,3764181.122
20160304,43.279,44.306,43.011,44.190,3474536.509
20160307,44.111,44.463,43.873,44.200,3302666.740
20160308,44.270,44.860,43.970,44.830,3020254.000
20160309,44.700,45.170,44.545,44.950,3374780.000
20160310,44.900,45.110,44.440,45.020,2186731.000
20160311,45.290,45.460,44.260,44.320,3587384.000
20160314,44.320,44.700,44.320,44.600,2007093.000
20160315,44.410,44.820,44.320,44.730,2291900.000
20160316,44.650,45.220,44.210,45.150,3701919.000
20160317,45.440,46.150,45.210,46.050,3255452.000
20160318,46.250,46.260,45.630,45.660,3015209.000
20160321,45.440,45.990,45.260,45.720,1748627.000
20160322,45.860,46.090,45.550,45.820,1646057.000
20160323,45.720,46.450,45.580,46.220,2433988.000
20160324,46.070,46.280,45.800,46.050,1530817.000
