Date,Open,High,Low,Close,Volume
20160104,97.861,98.298,97.096,98.129,5279676.450
20160105,98.109,99.142,98.000,98.745,4324834.900
20160106,97.742,99.052,97.424,98.764,4746098.230
20160107,97.762,98.278,96.511,96.878,4963197.720
20160108,97.136,97.940,96.252,96.501,4159018.830
20160111,96.650,97.225,96.183,96.729,5270033.990
20160112,97.712,97.712,96.451,96.908,4780184.600
20160113,96.779,97.245,95.667,95.806,4732377.351
20160114,95.716,96.391,94.977,95.081,5875020.940
20160115,93.284,93.909,92.638,93.224,7323491.540
20160119,93.989,95.418,93.790,95.111,5976587.070
20160120,94.177,94.743,92.638,93.122,7031558.630
20160121,93.373,93.999,92.587,93.790,5571262.650
20160122,94.207,95.607,93.453,95.150,6294465.590
20160125,95.240,96.143,94.852,95.269,3756023.440
20160126,95.806,96.530,95.081,95.627,3362795.430
20160127,95.210,96.590,94.882,95.269,4216566.560
20160128,96.044,97.206,95.398,96.759,4616632.710
20160129,96.401,98.556,96.401,98.347,4934689.710
20160201,97.831,98.695,97.504,98.298,3164835.810
20160202,97.493,98.030,97.305,97.513,3335399.280
20160203,98.169,98.338,96.908,98.030,4674672.060
20160204,97.980,98.198,96.312,96.679,4423733.850
20160205,96.947,97.067,96.113,96.620,5037468.200
20160208,97.295,97.295,95.716,96.848,4304881.913
20160209,96.004,98.099,95.756,97.623,4550989.230
20160210,97.513,98.030,96.828,96.947,4133225.070
20160211,95.706,97.245,95.398,96.223,5445158.750
20160212,97.245,97.896,96.630,97.752,4346568.700
20160216,97.980,98.645,97.404,97.891,3940535.290
20160217,98.298,99.191,98.099,98.814,3951126.620
20160218,98.864,99.261,98.268,98.903,3343461.523
20160219,97.762,99.479,97.583,98.854,4133047.037
20160222,99.291,99.847,98.834,99.122,3308891.420
20160223,98.099,99.291,98.099,98.834,3402589.490
20160224,98.298,99.043,97.692,98.953,5376074.768
20160225,99.122,99.986,98.983,99.956,4155517.212
20160226,99.777,99.871,97.146,97.662,5864139.300
20160229,97.662,98.328,97.096,97.116,3801597.523
20160301,97.801,98.437,97.335,98.338,4339110.230
20160302,98.010,98.380,97.540,98.310,3627076.000
20160303,98.350,99.230,98.020,99.130,4219179.000
20160304,98.810,99.960,98.570,99.880,5835683.000
20160307,99.250,99.610,98.970,99.270,5348058.000
20160308,98.970,100.120,98.730,99.740,4263971.000
20160309,100.000,100.580,99.730,100.180,4435857.000
20160310,100.450,100.880,100.020,100.780,5180527.000
20160311,101.000,101.410,100.580,101.330,5010347.000
20160314,101.130,101.460,100.620,100.640,2823258.000
20160315,100.270,101.570,100.250,101.150,3538424.000
20160316,100.940,101.340,100.010,100.850,3851124.000
20160317,101.000,102.130,100.785,101.870,4786140.000
20160318,101.670,101.890,101.010,101.230,5106516.000
20160321,100.910,102.120,100.641,101.540,3898200.000
20160322,101.280,101.530,100.430,100.770,2560831.000
20160323,100.570,101.770,100.510,100.820,2922577.000
20160324,100.700,100.920,100.130,100.680,2255133.000
