Date,Open,High,Low,Close,Volume
20160104,94.609,96.212,93.705,96.070,1316227.808
20160105,96.666,96.756,94.062,94.460,1186903.665
20160106,93.128,94.033,92.383,93.228,1306244.451
20160107,91.568,92.890,91.041,91.667,1116136.221
20160108,92.343,92.860,89.769,89.988,1528865.043
20160111,90.465,90.684,88.875,89.809,1217416.905
20160112,90.743,91.111,88.308,89.958,1165031.008
20160113,90.415,91.041,88.954,89.173,1342928.999
20160114,89.332,91.856,87.782,90.077,1872027.092
20160115,87.156,88.557,86.818,87.444,2252920.049
20160119,88.875,88.944,86.609,87.335,1220156.265
20160120,85.874,87.165,82.795,85.993,2514026.997
20160121,86.122,89.054,85.258,87.404,1225474.030
20160122,89.352,90.972,88.082,89.282,1491533.298
20160125,88.299,89.382,87.275,87.623,1866759.032
20160126,92.810,94.212,87.514,91.200,5052652.213
20160127,90.932,92.860,89.670,91.141,1568600.460
20160128,92.373,93.953,92.065,93.496,1854575.148
20160129,93.983,96.557,93.685,96.527,1827052.672
20160201,95.454,96.368,94.430,95.792,1599230.532
20160202,94.877,95.255,93.576,94.728,2031027.531
20160203,95.822,97.302,92.880,97.133,2709475.275
20160204,97.084,102.142,96.964,100.502,2887868.408
20160205,100.294,101.854,99.280,100.860,2233640.703
20160208,100.370,101.390,99.110,101.070,1800327.000
20160209,99.890,100.800,98.770,99.730,1486022.000
20160210,99.620,99.620,95.680,96.070,2265172.000
20160211,94.540,97.300,94.440,96.850,1823998.000
20160212,97.890,98.940,96.810,97.270,1752987.000
20160216,98.200,99.870,97.610,99.660,990713.000
20160217,100.100,102.620,100.050,101.020,1138610.000
20160218,101.120,102.230,100.220,100.800,1217865.000
20160219,100.180,100.560,98.460,99.880,1281145.000
20160222,101.300,102.870,100.690,102.780,1273667.000
20160223,102.250,103.640,100.710,100.760,981141.000
20160224,99.350,101.310,98.470,101.130,866543.000
20160225,101.710,101.950,100.010,101.650,595639.000
20160226,102.640,103.090,101.238,102.210,918663.000
20160229,102.460,102.720,101.140,101.150,966073.000
20160301,102.710,105.410,102.090,104.550,1744010.000
20160302,104.130,105.950,103.830,105.780,1834001.000
20160303,105.500,107.110,105.340,106.700,1104331.000
20160304,106.410,107.670,105.345,106.370,1112518.000
20160307,106.000,109.070,105.590,108.340,1016691.000
20160308,107.100,107.895,105.770,106.530,949140.000
20160309,106.950,107.740,106.094,107.210,669321.000
20160310,106.750,107.850,105.180,106.710,1102583.000
20160311,108.150,108.950,107.905,108.420,640160.000
20160314,108.070,108.880,107.750,108.430,599458.000
20160315,107.180,108.530,106.310,108.240,836168.000
20160316,108.070,110.540,107.925,109.950,1132646.000
20160317,110.100,112.910,109.795,112.510,1395746.000
20160318,112.920,113.405,111.810,112.380,1129213.000
20160321,112.380,113.160,111.710,112.330,930645.000
20160322,111.600,112.780,111.350,112.100,968583.000
20160323,111.430,111.950,110.490,110.600,911074.000
20160324,109.580,110.970,109.000,110.950,1053744.000
