Date,Open,High,Low,Close,Volume
20160104,52.714,52.734,51.645,52.344,834748.693
20160105,52.644,53.183,52.414,52.949,671750.708
20160106,52.025,52.794,51.920,52.175,1126678.784
20160107,50.926,51.336,49.778,49.998,801639.078
20160108,50.197,50.677,49.179,49.259,605197.699
20160111,49.478,49.478,47.182,47.671,1474812.850
20160112,48.100,48.610,47.671,48.470,642885.136
20160113,48.670,48.770,46.790,47.090,499786.000
20160114,47.360,48.500,47.040,48.090,699663.000
20160115,46.780,47.500,46.780,47.400,825969.000
20160119,48.120,48.135,46.920,47.770,560018.000
20160120,47.000,48.680,46.570,48.160,929103.000
20160121,48.210,48.360,47.270,47.510,600995.000
20160122,48.120,49.150,47.750,49.120,656122.000
20160125,48.850,49.150,48.240,48.390,415783.000
20160126,48.510,48.970,47.800,48.930,570489.000
20160127,48.850,49.650,48.220,48.600,844587.000
20160128,48.590,48.590,46.590,46.980,975037.000
20160129,47.170,48.340,46.970,48.310,1080426.000
20160201,48.110,48.530,47.280,48.230,1520793.000
20160202,47.720,47.770,47.170,47.530,630001.000
20160203,47.710,47.830,45.750,46.790,996602.000
20160204,46.710,47.440,46.180,46.550,1062571.000
20160205,40.560,45.200,39.500,43.250,3163134.000
20160208,42.650,42.990,41.020,41.450,1278346.000
20160209,40.910,43.190,40.800,42.470,1315074.000
20160210,42.850,44.980,42.675,44.000,1243532.000
20160211,43.180,43.680,42.810,43.420,1438710.000
20160212,44.400,44.590,43.590,44.410,1172874.000
20160216,44.980,46.090,44.810,45.680,1076502.000
20160217,45.900,46.260,45.595,45.700,1145516.000
20160218,45.690,46.570,45.490,45.660,832508.000
20160219,45.570,47.040,45.430,46.960,1460207.000
20160222,47.400,47.990,47.030,47.790,934806.000
20160223,47.540,48.140,47.000,47.190,859842.000
20160224,46.750,47.670,46.590,47.350,863241.000
20160225,47.280,47.960,47.120,47.610,840922.000
20160226,47.730,48.300,47.550,47.930,1039931.000
20160229,47.840,48.195,47.260,47.260,785148.000
20160301,47.310,47.970,47.180,47.960,1369901.000
20160302,47.910,49.450,47.690,49.150,1583105.000
20160303,49.200,49.275,48.430,48.930,825113.000
20160304,48.960,49.240,48.710,48.800,685447.000
20160307,48.490,49.410,48.370,48.870,913699.000
20160308,48.650,48.730,47.525,47.610,684979.000
20160309,47.960,48.030,47.530,47.780,817124.000
20160310,48.020,48.250,47.300,47.620,623390.000
20160311,48.190,48.730,47.770,48.690,671397.000
20160314,48.490,48.750,48.100,48.530,359059.000
20160315,48.110,48.310,47.580,47.710,563019.000
20160316,47.610,47.990,47.210,47.950,714204.000
20160317,48.000,48.050,47.080,47.500,594141.000
20160318,47.590,49.440,47.470,48.940,1034901.000
20160321,48.740,49.010,48.440,48.460,419400.000
20160322,48.100,48.970,47.960,48.690,356393.000
20160323,48.790,49.065,48.550,48.650,778335.000
20160324,48.490,48.710,47.990,48.410,349285.000
