Date,Open,High,Low,Close,Volume
20160104,63.682,63.960,62.831,63.474,976916.754
20160105,63.336,63.930,62.326,63.752,647431.722
20160106,63.296,64.049,63.078,63.871,553672.688
20160107,63.257,63.989,63.158,63.821,782723.791
20160108,63.880,64.385,63.306,63.395,915459.009
20160111,63.564,64.514,63.539,64.148,827736.045
20160112,61.266,63.940,61.266,63.098,1384193.851
20160113,63.177,64.138,62.940,63.257,1018643.877
20160114,63.217,64.643,63.019,64.178,762501.513
20160115,64.178,64.188,62.514,63.415,695866.334
20160119,63.940,64.504,63.316,64.257,699906.640
20160120,64.138,64.346,61.910,63.009,703412.939
20160121,63.276,63.544,62.108,62.623,764984.731
20160122,62.841,63.603,62.365,63.474,1167815.276
20160125,63.504,63.682,62.880,63.118,643532.586
20160126,62.771,64.158,62.623,63.376,611585.757
20160127,63.366,63.999,62.890,63.425,607602.904
20160128,64.450,65.120,62.820,64.660,689076.000
20160129,65.100,66.490,65.059,66.310,945619.000
20160201,66.240,67.590,66.000,67.270,1238759.000
20160202,66.970,68.460,66.660,68.290,1148201.000
20160203,68.630,70.000,68.630,69.710,1602201.000
20160204,69.830,69.930,68.610,68.830,1228472.000
20160205,68.550,69.200,67.760,68.520,1634488.000
20160208,68.980,69.720,67.640,68.480,1487086.000
20160209,68.420,69.030,67.990,68.470,1697237.000
20160210,68.350,69.250,67.480,68.750,882407.000
20160211,68.430,68.890,67.540,67.560,746399.000
20160212,67.440,67.905,66.420,67.210,837591.000
20160216,67.350,67.520,66.670,67.240,758052.000
20160217,67.180,67.180,66.220,66.830,914265.000
20160218,66.940,68.020,66.560,67.480,1418323.000
20160219,67.540,68.650,66.820,68.260,1796187.000
20160222,68.930,69.850,68.270,69.550,1034777.000
20160223,69.170,70.070,68.840,69.900,608309.000
20160224,69.900,70.540,69.290,70.140,841169.000
20160225,70.550,71.400,70.280,71.200,653175.000
20160226,70.710,70.828,68.490,68.540,1260370.000
20160229,68.410,69.260,67.900,68.840,1132221.000
20160301,69.200,69.440,67.830,67.930,1456646.000
20160302,67.720,68.500,66.350,68.490,1002818.000
20160303,68.590,68.620,67.550,68.460,866745.000
20160304,68.080,69.330,67.800,69.000,985731.000
20160307,68.890,69.610,68.770,69.190,715553.000
20160308,69.360,70.280,69.030,70.110,958276.000
20160309,69.940,70.960,69.800,70.730,931815.000
20160310,70.740,71.810,69.900,71.390,1518381.000
20160311,71.610,71.920,70.895,71.170,760129.000
20160314,71.000,71.770,70.760,71.520,735985.000
20160315,71.330,72.000,71.070,71.800,450593.000
20160316,71.550,72.620,70.850,72.510,452623.000
20160317,72.550,73.495,72.230,73.360,702463.000
20160318,73.530,73.620,72.590,72.650,867183.000
20160321,72.440,73.080,71.750,72.840,485684.000
20160322,72.970,73.350,72.470,72.610,726749.000
20160323,72.540,73.530,72.240,73.300,468823.000
20160324,73.040,73.700,72.850,73.500,453823.000
