Date,Open,High,Low,Close,Volume
20160104,25.900,26.110,25.780,25.900,1453432.000
20160105,25.980,26.110,25.860,25.960,957163.000
20160106,25.860,25.930,25.750,25.780,1103569.000
20160107,25.660,25.810,25.590,25.610,1619806.000
20160108,25.620,26.040,25.580,25.720,1494134.000
20160111,25.850,26.410,25.830,26.270,2305334.000
20160112,26.130,26.380,26.058,26.180,1570671.000
20160113,26.290,26.330,26.130,26.210,2149685.000
20160114,25.930,26.590,25.930,26.150,2594092.000
20160115,26.010,26.230,26.000,26.160,1338446.000
20160119,26.180,26.250,26.120,26.180,1352699.000
20160120,26.100,26.380,26.070,26.250,1683556.000
20160121,26.240,26.400,26.170,26.280,1259851.000
20160122,26.310,26.360,26.210,26.290,1568303.000
20160125,26.370,26.385,26.220,26.350,1600547.000
20160126,26.310,26.580,26.270,26.500,1176878.000
20160127,26.450,26.600,26.280,26.540,990826.000
20160128,26.530,26.795,26.450,26.620,1176354.000
20160129,26.660,26.760,26.590,26.690,1230297.000
20160201,26.690,26.760,26.620,26.720,1162602.000
20160202,26.720,26.770,26.615,26.680,1314416.000
20160203,26.490,26.750,26.490,26.630,2507911.000
20160204,26.640,26.760,26.570,26.690,1282600.000
20160205,26.700,26.700,26.575,26.600,2304502.000
20160208,26.620,26.670,26.395,26.440,1329244.000
20160209,26.430,26.580,25.730,26.200,3572629.000
20160210,26.400,26.440,26.150,26.340,1204592.000
20160211,26.320,26.440,26.190,26.310,1259663.000
20160212,26.270,26.705,26.190,26.580,2345994.000
20160216,26.590,26.690,26.490,26.660,772656.000
20160217,26.690,26.690,26.330,26.400,2266113.000
20160218,26.440,26.740,26.370,26.680,2184794.000
20160219,26.700,26.700,26.380,26.410,1768582.000
20160222,26.500,26.550,26.420,26.530,1300938.000
20160223,26.500,26.570,26.340,26.490,2024867.000
20160224,26.430,26.860,26.320,26.520,3359791.000
20160225,26.550,26.620,26.230,26.510,4903390.000
20160226,26.500,27.130,24.020,26.580,19695486.000
20160229,26.570,26.650,26.010,26.190,4313905.000
20160301,26.280,26.370,22.010,22.810,26643011.000
20160302,23.000,23.840,22.940,23.650,7404694.000
20160303,23.550,23.590,22.760,23.170,6217280.000
20160304,23.260,24.580,23.190,24.420,5828564.000
20160307,24.410,25.240,23.900,24.220,6153379.000
20160308,24.130,24.380,23.810,23.980,2983195.000
20160309,23.990,24.040,23.670,23.880,3794085.000
20160310,23.900,24.370,23.890,24.240,1802123.000
20160311,24.210,24.940,22.050,22.090,16322457.000
20160314,22.080,22.530,21.760,22.220,5329581.000
20160315,22.110,22.400,21.900,21.950,2964632.000
20160316,21.970,22.100,21.620,22.000,3193712.000
20160317,22.010,22.120,21.560,21.860,4195352.000
20160318,21.830,22.130,21.810,21.960,3293648.000
20160321,22.000,22.060,21.755,21.960,2753923.000
20160322,21.950,22.020,21.120,21.220,8212032.000
20160323,21.360,27.220,21.240,26.950,32357495.000
