Date,Open,High,Low,Close,Volume
20160104,242.305,244.957,240.546,242.752,1088617.832
20160105,243.179,250.600,242.742,249.616,724665.723
20160106,249.626,252.119,247.898,250.172,533620.517
20160107,246.835,250.212,246.745,247.480,557180.750
20160108,248.345,249.755,245.166,245.692,514911.523
20160111,246.273,249.873,246.273,247.947,698880.904
20160112,248.464,249.606,246.358,248.643,710494.814
20160113,248.831,252.974,247.242,247.679,769286.926
20160114,248.116,250.033,244.798,248.076,927993.118
20160115,244.490,251.821,244.490,246.775,1137651.265
20160119,248.434,251.106,246.159,248.821,804390.482
20160120,247.292,248.255,237.809,238.729,1210949.765
20160121,239.613,243.109,238.540,239.474,672328.005
20160122,241.381,247.649,240.944,246.129,700086.823
20160125,246.338,249.825,244.719,245.747,635516.305
20160126,245.215,251.861,244.749,251.772,865196.209
20160127,251.345,252.278,245.295,246.755,888787.418
20160128,247.262,250.858,245.841,247.232,597478.474
20160129,250.123,254.294,247.351,251.821,759870.789
20160201,251.464,254.772,249.874,252.408,585642.040
20160202,252.358,254.424,250.182,253.758,672979.290
20160203,254.543,256.272,248.484,251.434,663923.347
20160204,251.066,251.176,243.964,244.530,877916.505
20160205,246.278,246.278,235.162,235.600,1077227.775
20160208,233.444,234.557,223.222,227.513,1332475.200
20160209,226.967,233.792,224.454,231.408,1010186.220
20160210,233.762,237.378,232.699,234.308,737117.014
20160211,233.166,235.361,229.411,233.086,1184922.431
20160212,235.600,235.937,228.318,232.023,965865.847
20160216,232.063,237.805,232.063,236.215,703271.968
20160217,241.351,247.818,240.745,244.451,992126.688
20160218,243.874,246.149,242.970,244.898,462409.031
20160219,243.517,252.636,242.841,250.316,963499.005
20160222,251.652,253.262,250.023,251.911,451263.168
20160223,252.000,255.090,251.434,251.901,394510.415
20160224,250.788,252.755,246.189,248.265,542270.785
20160225,249.586,253.560,249.586,253.500,693533.557
20160226,253.073,254.305,251.583,252.358,816177.619
20160229,252.318,253.480,247.639,247.649,628009.598
20160301,248.285,253.321,248.076,253.133,536755.387
20160302,253.212,255.080,252.318,254.434,495706.411
20160303,254.305,255.298,248.364,251.494,516663.263
20160304,251.156,251.811,246.706,248.245,726241.066
20160307,247.917,248.990,245.970,248.871,502381.730
20160308,248.752,251.345,246.745,247.202,627187.086
20160309,247.987,249.864,247.202,248.166,473072.692
20160310,249.249,251.662,246.249,248.345,657982.140
20160311,250.520,255.417,249.954,255.030,563027.386
20160314,252.190,260.220,252.190,259.560,788140.000
20160315,258.920,264.370,258.250,263.530,684596.000
20160316,262.420,268.630,260.820,268.200,768238.000
20160317,267.280,270.690,266.520,269.750,495091.000
20160318,270.100,271.850,267.480,269.510,703124.000
20160321,268.050,271.000,263.810,264.310,694485.000
20160322,263.120,265.750,262.120,263.830,471939.000
20160323,264.500,267.250,263.000,265.230,494238.000
20160324,264.390,267.120,263.430,266.730,460715.000
