Date,Open,High,Low,Close,Volume
20160104,80.606,81.281,78.770,79.514,2898377.026
20160105,79.187,80.586,79.187,80.398,2645493.514
20160106,78.532,79.405,77.013,77.410,3896919.643
20160107,76.100,77.529,75.385,75.852,5847395.520
20160108,76.348,76.606,74.591,74.641,5577609.041
20160111,75.296,76.934,73.817,75.574,4003522.583
20160112,76.139,77.797,75.435,77.261,5068628.940
20160113,78.323,78.338,73.976,74.671,6129616.580
20160114,75.365,79.484,73.767,78.661,4981553.940
20160115,76.348,78.016,76.040,77.876,4890222.610
20160119,79.901,80.060,76.904,78.095,4323374.270
20160120,76.328,77.628,74.809,76.346,4921371.890
20160121,76.169,76.675,74.720,75.455,4002818.690
20160122,77.867,80.328,77.023,79.425,3757416.139
20160125,78.482,79.207,75.603,75.693,3913001.580
20160126,76.338,77.221,75.623,77.172,2854503.590
20160127,76.566,79.176,75.832,77.142,4538487.530
20160128,78.651,79.405,76.427,78.025,4865967.250
20160129,77.519,79.643,75.236,79.544,6307538.110
20160201,79.087,80.060,77.241,78.869,4125036.780
20160202,77.996,78.859,77.192,77.916,3931300.750
20160203,78.780,79.355,76.189,78.532,7101299.110
20160204,77.658,80.318,77.589,79.286,5454627.790
20160205,79.038,79.891,77.341,77.748,4419706.600
20160208,77.559,77.748,72.755,75.713,7732426.630
20160209,75.207,76.060,74.115,74.879,4056566.590
20160210,75.455,76.527,74.115,74.740,3620280.270
20160211,73.750,75.040,71.730,72.840,6883373.000
20160212,74.000,75.360,73.840,75.160,3766813.000
20160216,76.760,78.280,75.840,78.230,4851527.000
20160217,79.090,80.900,78.870,80.590,4150930.000
20160218,81.220,81.750,78.890,79.430,3933766.000
20160219,78.750,80.180,78.390,80.100,2888253.000
20160222,81.050,81.420,80.100,80.840,2929422.000
20160223,80.610,80.620,78.530,78.560,3008019.000
20160224,77.520,79.170,77.350,79.080,3422119.000
20160225,79.250,79.330,77.610,78.750,3053632.000
20160226,79.520,80.190,78.920,79.090,2226806.000
20160229,79.400,80.390,78.922,79.360,2385735.000
20160301,80.010,83.790,79.700,83.410,5178944.000
20160302,83.150,84.640,82.830,84.550,3318576.000
20160303,84.980,86.580,84.520,86.100,3475433.000
20160304,86.500,86.600,84.840,85.780,2660621.000
20160307,85.380,87.850,85.070,87.370,3353504.000
20160308,87.000,87.755,84.750,84.800,2696248.000
20160309,85.520,87.230,85.200,86.060,2617737.000
20160310,86.070,86.070,84.120,85.400,2210430.000
20160311,86.150,86.860,85.110,86.430,2065695.000
20160314,85.670,86.500,85.290,86.155,1817468.000
20160315,85.000,86.670,84.900,86.600,1869734.000
20160316,86.630,87.910,86.370,87.580,2173652.000
20160317,86.830,88.660,86.440,88.380,2056899.000
20160318,88.800,89.650,88.100,89.410,3205475.000
20160321,89.610,89.960,89.109,89.660,1873670.000
20160322,89.620,90.880,89.030,90.130,1841170.000
20160323,89.940,89.940,87.880,88.110,1753818.000
20160324,86.700,88.120,86.570,88.070,1974485.000
