Date,Open,High,Low,Close,Volume
20160104,100.302,101.037,99.796,101.007,1474787.157
20160105,101.772,101.791,99.240,100.590,1510699.786
20160106,99.111,100.660,98.873,99.538,1654120.165
20160107,98.128,99.349,96.887,97.086,1820475.275
20160108,97.334,98.505,96.629,97.106,2170489.492
20160111,97.661,98.376,96.917,97.731,2286622.220
20160112,98.783,99.290,97.582,99.190,1635425.417
20160113,99.865,101.583,96.847,97.324,2510179.097
20160114,97.532,99.617,96.808,99.071,1696984.717
20160115,98.694,99.071,95.815,96.679,1409768.326
20160119,97.771,98.108,95.933,97.483,1650577.596
20160120,95.874,98.108,95.308,97.096,2568109.024
20160121,97.542,98.108,96.480,97.225,1555204.311
20160122,98.763,98.972,96.937,97.383,1641995.691
20160125,96.897,97.517,95.308,95.448,1298056.289
20160126,95.825,97.671,95.249,97.433,1208894.921
20160127,97.106,98.932,97.036,97.403,2002115.459
20160128,97.930,98.545,97.165,97.493,1729252.969
20160129,96.073,99.299,94.911,99.230,3016888.383
20160201,99.111,100.253,97.622,99.786,1962580.766
20160202,97.185,98.555,97.076,97.433,2282021.109
20160203,98.615,102.556,98.237,102.536,2425346.346
20160204,99.299,106.219,99.299,104.760,2046473.031
20160205,104.214,104.760,103.300,104.343,1858080.215
20160208,103.767,104.045,99.746,101.216,2499771.188
20160209,101.037,103.509,100.759,103.072,1411419.714
20160210,103.559,104.551,102.258,102.625,1021970.498
20160211,101.007,102.417,100.531,101.355,1375266.246
20160212,102.020,103.211,101.474,103.062,865789.357
20160216,104.283,104.283,102.705,103.360,1226752.530
20160217,104.115,104.641,103.572,103.737,1326206.703
20160218,103.559,104.105,103.330,103.747,908990.623
20160219,103.658,103.807,102.228,102.566,1191467.294
20160222,103.142,104.293,102.883,103.449,1197224.940
20160223,102.784,103.062,100.868,101.474,1206198.541
20160224,100.193,101.404,99.925,101.166,1392237.474
20160225,101.474,102.169,100.312,101.871,1655857.716
20160226,102.556,103.489,101.702,102.496,1472697.254
20160229,102.625,103.231,101.017,101.027,1050065.837
20160301,102.109,104.770,101.573,104.561,1482078.618
20160302,103.956,104.502,102.586,103.370,1476701.901
20160303,103.570,105.980,103.110,105.840,1155135.000
20160304,106.060,110.095,105.670,108.790,1952455.000
20160307,109.180,109.730,107.628,108.590,1696149.000
20160308,107.530,108.690,106.630,108.140,1144305.000
20160309,108.420,109.350,107.950,109.040,1286069.000
20160310,109.760,111.320,109.300,110.650,2499134.000
20160311,111.080,112.220,110.600,111.110,1923788.000
20160314,110.700,111.050,109.590,109.960,1110457.000
20160315,108.950,109.640,108.543,109.430,977092.000
20160316,109.260,110.670,108.820,110.160,1233521.000
20160317,110.550,113.550,110.550,113.120,2128798.000
20160318,113.510,113.650,112.810,112.990,1442830.000
20160321,112.880,113.400,112.620,112.970,961187.000
20160322,112.880,112.920,111.820,112.600,1081246.000
20160323,112.390,113.370,111.830,112.810,1140711.000
20160324,111.880,112.100,111.000,111.800,921816.000
