Date,Open,High,Low,Close,Volume
20160104,125.190,127.090,122.040,124.350,1638129.000
20160105,124.350,126.090,122.840,125.130,1301500.000
20160106,115.300,117.460,114.970,116.240,11280860.000
20160107,115.540,118.510,115.000,116.420,5140855.000
20160108,117.850,117.850,115.350,115.800,2865743.000
20160111,116.570,117.190,112.010,113.490,4827225.000
20160112,115.960,116.670,108.460,113.240,3774516.000
20160113,115.100,117.250,111.920,114.200,3323422.000
20160114,114.990,118.790,113.460,115.880,4002642.000
20160115,109.210,113.972,108.500,113.090,4319189.000
20160119,114.550,115.000,109.040,111.610,2554546.000
20160120,109.370,111.000,103.500,108.990,5053630.000
20160121,108.920,115.000,106.730,111.760,3773985.000
20160122,117.300,117.900,112.430,113.580,3550274.000
20160125,110.450,113.340,107.600,107.750,2398184.000
20160126,110.350,114.290,107.960,113.530,2263746.000
20160127,112.600,117.270,111.730,113.920,2706631.000
20160128,118.990,120.690,116.240,120.010,5054386.000
20160129,121.000,124.100,119.835,123.970,2762565.000
20160201,121.800,123.490,120.110,122.260,2230139.000
20160202,118.430,123.970,117.840,121.470,2145227.000
20160203,123.700,127.390,119.445,127.330,2430837.000
20160204,129.330,133.790,123.720,124.490,3590053.000
20160205,123.080,123.410,118.000,118.790,3367441.000
20160208,117.190,117.670,112.040,115.180,3938648.000
20160209,113.040,115.860,108.650,111.340,4110820.000
20160210,109.580,113.600,108.270,108.840,3231717.000
20160211,107.500,114.448,105.210,110.750,6924383.000
20160212,113.600,117.250,111.850,115.351,3505149.000
20160216,115.800,117.800,115.020,115.450,2602723.000
20160217,117.700,125.080,116.140,124.550,3691639.000
20160218,126.410,126.540,120.850,121.350,2815676.000
20160219,119.210,123.060,117.690,122.990,2652012.000
20160222,126.000,126.540,123.870,124.970,2089376.000
20160223,123.510,124.876,119.500,119.610,1947901.000
20160224,117.670,120.710,116.540,119.290,2276349.000
20160225,119.450,121.940,115.170,120.490,1896030.000
20160226,122.930,126.700,122.090,123.390,1975173.000
20160229,123.870,124.340,120.320,120.500,1537966.000
20160301,121.570,128.160,120.080,128.120,3325138.000
20160302,127.300,131.350,125.030,131.150,3006795.000
20160303,130.990,133.230,126.870,128.270,3579179.000
20160304,130.000,133.300,126.260,128.790,3846567.000
20160307,128.780,131.730,122.080,130.640,4956544.000
20160308,129.440,130.935,124.450,125.670,2846929.000
20160309,127.760,129.500,124.290,128.670,1906426.000
20160310,127.280,130.960,125.500,129.490,2455558.000
20160311,130.780,137.980,130.780,137.010,3373773.000
20160314,135.510,137.600,133.920,135.350,2122913.000
20160315,133.900,135.900,132.300,135.610,1804903.000
20160316,136.340,139.250,132.942,137.480,2540753.000
20160317,139.130,144.300,137.820,142.230,3606995.000
20160318,143.610,145.210,139.720,143.080,2815289.000
20160321,143.060,145.870,139.170,142.090,2138586.000
20160322,141.340,143.450,140.080,140.200,1275610.000
20160323,139.740,139.900,135.800,136.800,1756001.000
20160324,134.770,139.500,131.351,139.180,1643316.000
