Date,Open,High,Low,Close,Volume
20160104,35.130,35.560,34.280,34.750,10789586.000
20160105,34.980,34.980,33.860,34.305,10393678.000
20160106,33.700,34.010,33.210,33.990,7125802.000
20160107,33.150,34.161,33.020,33.130,10002632.000
20160108,33.490,33.880,32.630,32.690,6871165.000
20160111,33.020,33.430,32.470,33.040,8179372.000
20160112,33.350,33.570,32.660,33.070,6951279.000
20160113,33.280,33.570,31.970,32.130,7420217.000
20160114,32.360,33.040,31.705,32.870,6972771.000
20160115,31.620,32.540,31.620,32.310,11443983.000
20160119,32.760,33.180,31.930,32.220,5745389.000
20160120,31.430,31.700,30.520,31.200,12751468.000
20160121,31.610,31.740,30.900,31.190,9541577.000
20160122,31.660,31.970,31.530,31.690,7874787.000
20160125,31.980,31.980,31.350,31.460,6837842.000
20160126,31.490,31.980,31.390,31.970,8184770.000
20160127,31.960,32.630,31.380,31.600,11567676.000
20160128,33.640,34.750,33.350,34.240,19268442.000
20160129,34.480,36.260,34.380,36.010,18479790.000
20160201,35.680,37.320,35.590,37.090,13609006.000
20160202,36.530,37.770,36.440,36.840,16796723.000
20160203,36.890,37.550,36.070,37.000,13950182.000
20160204,36.660,37.285,36.540,37.160,9204916.000
20160205,37.160,37.180,34.820,35.065,15018386.000
20160208,34.000,34.160,31.980,33.610,19365412.000
20160209,32.800,33.858,31.630,32.690,15642568.000
20160210,33.590,33.940,32.820,32.890,8174354.000
20160211,32.120,33.640,32.010,33.520,12618142.000
20160212,33.970,34.440,33.810,34.290,7914689.000
20160216,34.660,35.520,34.480,35.450,7975649.000
20160217,35.910,36.910,35.810,36.350,11100479.000
20160218,36.410,36.540,35.660,36.310,8596626.000
20160219,35.940,36.140,35.610,35.760,8804932.000
20160222,36.450,36.500,35.820,36.000,9769886.000
20160223,35.720,35.935,35.020,35.480,7730646.000
20160224,35.220,36.750,34.860,36.480,7736100.000
20160225,36.650,36.830,36.180,36.750,4973965.000
20160226,36.730,37.535,36.370,37.490,8292876.000
20160229,37.470,38.930,37.450,38.140,21620877.000
20160301,38.460,39.545,38.020,39.250,13316331.000
20160302,39.200,39.930,38.700,39.170,12517897.000
20160303,38.780,39.250,38.629,39.030,6682554.000
20160304,38.770,39.700,38.750,39.040,7014962.000
20160307,38.570,39.400,38.570,38.970,4941438.000
20160308,38.690,38.890,38.110,38.160,5079611.000
20160309,38.480,38.620,37.820,38.570,4469411.000
20160310,38.660,38.920,37.480,38.490,7106095.000
20160311,39.000,39.530,38.950,39.490,8790319.000
20160314,39.400,39.800,39.040,39.380,4907257.000
20160315,39.050,39.640,39.050,39.270,4573645.000
20160316,39.090,39.890,38.570,39.840,6043493.000
20160317,39.850,40.120,39.170,39.940,9053712.000
20160318,39.860,39.860,38.690,39.410,13605021.000
20160321,39.410,41.170,39.200,41.140,12132468.000
20160322,40.690,41.750,40.630,41.310,9948796.000
20160323,41.060,41.310,40.040,40.520,7010116.000
20160324,39.400,39.510,37.000,38.910,14005728.000
