Date,Open,High,Low,Close,Volume
20160104,48.951,49.714,48.455,49.654,11293234.270
20160105,50.011,50.140,48.614,48.673,12606919.800
20160106,47.910,48.208,47.316,48.178,13013599.920
20160107,47.336,47.554,45.553,45.711,18527141.560
20160108,46.375,46.533,45.414,45.444,14150937.830
20160111,45.919,46.097,44.909,45.622,13021316.610
20160112,45.959,46.246,45.196,46.088,8608299.190
20160113,46.890,47.524,45.642,45.691,15194012.320
20160114,45.781,47.559,45.414,47.276,18834281.150
20160115,45.632,46.078,44.691,45.394,16014822.910
20160119,45.929,46.147,45.047,45.662,10243314.480
20160120,45.087,45.751,43.977,45.513,12868387.880
20160121,45.929,46.999,45.285,46.613,11392405.730
20160122,47.366,47.841,46.999,47.623,10512509.590
20160125,47.554,47.940,47.071,47.138,8387483.560
20160126,47.158,48.396,47.078,48.079,8879639.970
20160127,47.584,48.128,46.722,47.059,11166163.000
20160128,45.374,45.394,43.066,43.185,26558468.900
20160129,43.502,44.928,43.264,44.919,19057865.800
20160201,44.294,45.979,43.977,45.662,12087303.910
20160202,44.770,44.968,42.481,42.744,19481745.100
20160203,43.224,44.582,42.907,44.314,15889558.740
20160204,44.205,45.335,43.968,45.245,10402121.990
20160205,44.889,45.176,43.358,43.601,9963489.060
20160208,43.106,43.749,42.432,43.482,11946572.280
20160209,43.244,43.651,42.764,43.215,9801987.190
20160210,43.591,44.106,42.501,42.551,9618589.020
20160211,42.105,42.888,41.847,42.600,12032672.450
20160212,42.947,44.344,42.680,44.146,10688848.740
20160216,45.236,46.405,44.978,46.286,12181537.610
20160217,46.603,48.079,46.563,47.950,13774951.190
20160218,47.980,48.852,47.574,48.624,11898671.000
20160219,48.584,49.575,48.307,48.961,16129348.160
20160222,49.644,50.813,49.605,50.803,15790798.580
20160223,50.526,50.536,49.644,49.941,8583550.620
20160224,49.535,51.180,49.268,51.051,10308198.930
20160225,51.041,51.319,50.427,51.160,7273914.940
20160226,51.517,51.517,50.744,51.160,9013834.250
20160229,51.170,51.530,50.670,50.790,8394043.000
20160301,51.110,52.110,51.010,52.110,11344969.000
20160302,52.440,52.980,52.240,52.850,12924346.000
20160303,52.450,52.810,51.850,52.390,11275353.000
20160304,52.330,52.895,51.900,52.660,11461313.000
20160307,52.440,53.520,52.360,53.280,9689286.000
20160308,52.890,53.210,51.980,52.460,10978962.000
20160309,52.410,52.520,51.740,51.950,12923445.000
20160310,52.030,52.370,51.160,52.020,8745651.000
20160311,52.600,52.650,51.890,52.220,9522823.000
20160314,52.240,52.410,51.740,52.090,6445730.000
20160315,51.750,51.830,50.980,51.620,11131235.000
20160316,51.570,51.630,50.910,51.300,16079676.000
20160317,51.150,51.700,51.110,51.390,9102485.000
20160318,51.670,51.870,51.233,51.660,16742754.000
20160321,51.600,52.350,51.510,52.210,9310520.000
20160322,51.840,52.320,51.790,52.020,5447595.000
20160323,52.120,52.160,50.810,50.990,7834315.000
20160324,50.630,50.900,50.130,50.860,5710308.000
