Date,Open,High,Low,Close,Volume
20160104,13.460,13.910,13.260,13.820,4751523.000
20160105,13.770,13.890,13.200,13.760,3394243.000
20160106,13.120,13.190,12.360,12.500,4049252.000
20160107,12.060,12.740,11.810,11.950,4718508.000
20160108,12.060,12.320,11.660,11.965,5370259.000
20160111,11.950,12.000,11.330,11.550,4539280.000
20160112,11.860,12.100,10.980,11.380,4106515.000
20160113,11.590,11.750,10.740,10.870,5359784.000
20160114,10.970,11.450,10.710,11.180,4195427.000
20160115,10.560,10.810,10.200,10.590,5214882.000
20160119,10.680,10.690,9.260,9.430,5417791.000
20160120,8.600,9.510,8.540,9.280,6394774.000
20160121,9.150,10.130,8.990,10.030,9757736.000
20160122,10.630,11.120,10.510,10.880,4940151.000
20160125,10.410,10.880,9.840,9.850,4501369.000
20160126,10.170,11.105,9.965,11.050,3329118.000
20160127,10.900,11.730,10.695,11.260,4461593.000
20160128,11.990,12.430,11.500,12.060,4082568.000
20160129,12.180,12.860,12.090,12.820,4411451.000
20160201,12.420,12.550,11.920,12.210,3973520.000
20160202,11.750,11.770,11.150,11.420,4502006.000
20160203,11.690,12.040,10.730,12.030,4854865.000
20160204,12.150,12.580,11.720,12.100,4800608.000
20160205,11.810,11.990,10.950,11.620,4645155.000
20160208,11.230,11.650,10.890,11.560,4614740.000
20160209,11.180,11.410,10.300,10.930,4155092.000
20160210,10.700,11.480,10.175,10.610,3952802.000
20160211,10.330,10.800,10.060,10.570,4565435.000
20160212,10.770,11.210,10.400,10.570,3998086.000
20160216,10.730,10.770,9.840,10.110,4790100.000
20160217,10.110,11.140,9.960,11.000,5028715.000
20160218,11.220,11.270,9.970,10.560,5065214.000
20160219,10.300,10.800,9.970,10.530,5647878.000
20160222,11.080,11.425,10.605,11.240,3989098.000
20160223,11.000,11.035,9.960,10.005,5292219.000
20160224,9.670,10.360,9.610,10.350,4150151.000
20160225,10.090,11.070,10.000,10.630,7622835.000
20160226,11.340,11.640,10.635,10.750,6842351.000
20160229,10.150,10.260,9.610,9.760,37603829.000
20160301,9.830,9.880,9.170,9.580,14999908.000
20160302,9.580,10.305,9.420,10.205,14743603.000
20160303,10.130,10.720,10.010,10.580,16920857.000
20160304,10.830,11.160,10.390,10.940,10555486.000
20160307,10.960,11.400,10.215,10.390,10805942.000
20160308,10.240,10.840,9.720,10.420,11887539.000
20160309,10.650,11.895,10.460,11.730,9523150.000
20160310,11.580,11.940,11.290,11.680,8076657.000
20160311,12.060,12.700,12.000,12.590,5708385.000
20160314,12.030,12.910,11.790,12.890,5922669.000
20160315,12.550,12.790,12.210,12.710,5144234.000
20160316,12.970,13.330,12.520,13.200,5297641.000
20160317,13.430,13.720,13.110,13.360,4846274.000
20160318,13.480,13.740,12.940,13.200,5543598.000
20160321,13.160,13.560,13.030,13.430,3180983.000
20160322,13.240,13.610,13.240,13.420,2987616.000
20160323,13.340,13.630,12.960,13.030,3123502.000
20160324,12.680,13.400,12.480,13.390,3316107.000
