Date,Open,High,Low,Close,Volume
20160104,12.020,12.020,11.752,11.760,525068.000
20160105,11.800,11.930,11.700,11.790,521293.000
20160106,11.680,11.710,11.520,11.620,605216.000
20160107,11.550,11.560,11.100,11.100,728636.000
20160108,11.220,11.500,10.990,11.020,636594.000
20160111,11.100,11.350,11.060,11.310,750887.000
20160112,11.420,11.700,11.345,11.680,604667.000
20160113,11.750,12.000,11.530,11.590,683892.000
20160114,11.660,11.970,11.430,11.810,561834.000
20160115,11.450,11.880,11.420,11.850,844800.000
20160119,12.000,12.000,11.430,11.650,995801.000
20160120,11.450,11.765,10.970,11.610,1265279.000
20160121,11.660,11.940,11.450,11.650,647633.000
20160122,11.870,11.930,11.550,11.860,558113.000
20160125,11.830,12.070,11.520,11.860,746741.000
20160126,11.880,12.303,11.860,11.970,696549.000
20160127,12.060,12.090,11.750,11.780,412081.000
20160128,11.920,12.160,11.810,12.050,725047.000
20160129,13.400,13.490,12.650,12.820,3446697.000
20160201,12.840,12.850,12.250,12.490,1486718.000
20160202,12.360,12.861,12.360,12.500,1407672.000
20160203,12.600,12.680,12.423,12.520,819097.000
20160204,12.550,12.760,12.402,12.520,516222.000
20160205,12.470,12.535,12.035,12.050,694548.000
20160208,11.880,12.170,11.720,12.070,758794.000
20160209,11.910,12.266,11.890,11.950,679650.000
20160210,12.060,12.240,11.580,11.595,963442.000
20160211,11.430,11.660,11.430,11.530,1100161.000
20160212,11.650,12.075,11.590,12.020,828396.000
20160216,12.220,12.299,12.100,12.200,843782.000
20160217,12.300,12.610,12.220,12.530,963412.000
20160218,12.650,12.780,12.390,12.600,582286.000
20160219,12.550,12.640,12.350,12.390,484904.000
20160222,12.490,12.560,12.410,12.480,487326.000
20160223,12.430,12.585,12.410,12.480,654516.000
20160224,12.350,12.618,12.320,12.610,648369.000
20160225,12.610,12.730,12.540,12.660,498675.000
20160226,12.730,12.905,12.640,12.815,670594.000
20160229,12.860,13.160,12.690,12.880,595579.000
20160301,12.970,13.120,12.900,13.060,653853.000
20160302,13.030,13.210,12.900,13.120,688842.000
20160303,13.110,13.370,13.070,13.360,761055.000
20160304,13.350,13.380,13.180,13.200,336441.000
20160307,13.170,13.340,13.060,13.170,526811.000
20160308,13.140,13.190,12.740,12.755,577459.000
20160309,12.810,13.190,12.760,13.130,505727.000
20160310,13.160,13.260,12.710,12.810,349899.000
20160311,12.900,13.160,12.780,13.140,255226.000
20160314,13.110,13.151,12.940,12.950,236278.000
20160315,12.900,13.150,12.810,13.080,742665.000
20160316,13.060,13.330,12.990,13.180,533230.000
20160317,13.190,13.300,13.040,13.070,645931.000
20160318,13.150,13.350,13.010,13.300,872780.000
20160321,13.260,13.420,13.210,13.370,409689.000
20160322,13.290,13.370,13.170,13.170,347716.000
20160323,13.190,13.260,12.880,12.900,318176.000
20160324,12.830,13.040,12.660,13.010,390987.000
