Date,Open,High,Low,Close,Volume
20160104,49.660,50.800,48.720,50.720,1392317.000
20160105,50.760,50.970,47.360,47.530,1548499.000
20160106,46.630,46.690,44.154,44.620,2529276.000
20160107,44.500,47.110,44.110,45.640,2940771.000
20160108,43.050,45.320,42.400,44.490,7302549.000
20160111,44.660,44.860,42.800,44.220,2093153.000
20160112,44.480,45.770,44.010,44.780,1245427.000
20160113,40.740,42.250,38.900,40.410,5515306.000
20160114,40.630,40.670,38.960,39.422,2113092.000
20160115,37.990,38.060,35.160,36.530,3385173.000
20160119,37.210,37.500,35.720,36.260,1830109.000
20160120,35.540,37.940,35.300,37.060,1825301.000
20160121,37.450,38.400,36.600,37.840,1234956.000
20160122,38.810,41.150,38.260,41.080,2655534.000
20160125,40.770,40.840,39.460,39.760,1290063.000
20160126,40.320,40.500,39.025,39.740,1444890.000
20160127,39.310,39.420,36.800,37.020,2256922.000
20160128,37.110,37.710,36.130,36.660,1784196.000
20160129,37.260,39.990,37.180,39.600,2223215.000
20160201,39.450,40.550,38.330,39.970,1465436.000
20160202,39.250,39.350,37.070,37.150,1274968.000
20160203,37.290,37.590,35.520,37.050,1253586.000
20160204,37.390,38.940,37.090,38.780,2675468.000
20160205,36.620,38.170,34.900,37.250,3515173.000
20160208,36.610,37.220,35.430,36.410,2369658.000
20160209,35.650,37.060,35.010,35.140,1438102.000
20160210,35.310,36.670,34.600,35.360,1201083.000
20160211,34.540,34.850,33.300,34.530,1464483.000
20160212,35.200,37.739,34.820,37.560,1949867.000
20160216,37.660,41.230,37.500,40.770,2553995.000
20160217,41.230,44.720,41.040,41.590,3980725.000
20160218,41.600,42.300,39.910,40.400,2150695.000
20160219,40.120,42.120,40.120,41.860,1885385.000
20160222,42.840,43.000,41.220,41.960,1864811.000
20160223,41.720,42.330,40.950,41.490,1325642.000
20160224,40.980,42.480,40.540,42.150,1455546.000
20160225,42.310,43.060,41.420,42.670,1244141.000
20160226,43.100,44.140,42.720,43.440,1279993.000
20160229,43.500,46.650,43.470,45.090,1907792.000
20160301,45.520,48.242,45.400,47.360,2260067.000
20160302,46.660,48.290,46.640,47.650,1754367.000
20160303,47.730,49.130,47.220,49.090,1801035.000
20160304,49.570,50.820,48.590,49.900,2404916.000
20160307,49.500,50.070,48.377,49.060,2115854.000
20160308,48.900,49.100,46.860,47.110,2156786.000
20160309,47.500,48.680,47.130,48.190,1331628.000
20160310,48.200,48.910,46.680,47.390,1294233.000
20160311,48.070,49.110,47.860,48.630,1007640.000
20160314,48.310,49.130,47.590,48.720,1570765.000
20160315,49.360,49.900,48.100,49.270,1180627.000
20160316,48.930,50.170,48.140,48.980,1532098.000
20160317,48.690,49.430,48.240,49.200,1279509.000
20160318,49.390,51.150,49.000,50.690,1951916.000
20160321,50.650,51.200,50.000,50.640,726005.000
20160322,50.350,51.860,50.160,51.760,1137528.000
20160323,51.720,51.820,49.500,49.520,836616.000
20160324,49.230,49.470,48.620,49.240,955513.000
