Date,Open,High,Low,Close,Volume
20160104,7.800,7.910,7.800,7.900,10656029.000
20160105,7.890,7.950,7.880,7.900,12226097.000
20160106,7.850,7.870,7.830,7.870,13746182.000
20160107,7.830,7.860,7.790,7.810,14626854.000
20160108,7.820,7.840,7.740,7.760,25675166.000
20160111,7.770,7.790,7.710,7.730,10710080.000
20160112,7.770,7.780,7.720,7.750,15219626.000
20160113,7.750,7.770,7.660,7.680,11309662.000
20160114,7.680,7.710,7.650,7.685,11554320.000
20160115,7.650,7.670,7.580,7.630,18567079.000
20160119,7.650,7.750,7.610,7.640,11542100.000
20160120,7.600,7.620,7.545,7.580,17599910.000
20160121,7.650,7.740,7.620,7.720,13640965.000
20160122,7.770,7.800,7.720,7.790,13556860.000
20160125,7.770,7.780,7.700,7.700,9550443.000
20160126,7.720,7.830,7.700,7.780,10433385.000
20160127,7.760,7.810,7.690,7.730,10868282.000
20160128,7.720,7.755,7.610,7.670,13246814.000
20160129,7.730,7.770,7.680,7.760,8647323.000
20160201,7.790,7.940,7.730,7.910,18656715.000
20160202,7.870,7.900,7.825,7.870,9269117.000
20160203,7.890,7.900,7.810,7.850,10756784.000
20160204,7.830,7.900,7.830,7.850,9221829.000
20160205,7.890,7.940,7.860,7.900,17305964.000
20160208,7.860,7.880,7.720,7.750,17199725.000
20160209,7.710,7.800,7.700,7.750,9246997.000
20160210,7.800,7.820,7.780,7.800,12099432.000
20160211,7.730,7.770,7.710,7.740,13131310.000
20160212,7.780,7.860,7.740,7.810,12821467.000
20160216,7.860,7.890,7.830,7.839,6782652.000
20160217,7.840,7.900,7.830,7.870,13532001.000
20160218,7.860,7.900,7.860,7.890,7454230.000
20160219,7.870,7.930,7.835,7.920,9299347.000
20160222,7.910,7.970,7.900,7.940,12806782.000
20160223,7.930,7.950,7.910,7.940,6507046.000
20160224,7.910,7.970,7.910,7.960,7500985.000
20160225,7.950,7.970,7.930,7.965,12516679.000
20160226,7.960,7.970,7.945,7.955,8030217.000
20160229,7.960,7.980,7.930,7.930,13512147.000
20160301,7.970,7.990,7.930,7.940,14351286.000
20160302,7.950,7.970,7.920,7.960,11647109.000
20160303,7.970,7.990,7.950,7.975,8615363.000
20160304,7.970,8.070,7.960,8.030,11727234.000
20160307,8.000,8.040,8.000,8.010,6458693.000
20160308,8.010,8.040,8.000,8.010,6388033.000
20160309,8.010,8.030,7.960,8.020,8709775.000
20160310,8.020,8.050,7.970,7.980,8460400.000
20160311,8.030,8.030,7.940,7.980,17243781.000
20160314,7.970,8.000,7.950,7.970,8542241.000
20160315,7.970,7.980,7.930,7.960,6741494.000
20160316,7.970,8.000,7.920,7.990,9899466.000
20160317,7.980,8.030,7.960,7.980,12858510.000
20160318,8.010,8.030,7.970,7.970,7638680.000
20160321,7.990,8.010,7.970,7.980,5726795.000
20160322,7.970,8.000,7.970,7.990,5917299.000
20160323,7.990,8.000,7.980,8.000,15052532.000
20160324,7.990,8.070,7.980,8.060,17411990.000
