Date,Open,High,Low,Close,Volume
20160104,45.408,45.408,44.328,44.833,4052949.165
20160105,44.764,46.202,44.764,46.202,4462251.789
20160106,45.160,47.518,45.160,47.392,7032109.396
20160107,46.618,47.402,46.431,46.837,4750163.880
20160108,47.055,47.263,46.519,46.727,5196769.809
20160111,46.846,48.275,46.777,48.057,7164660.080
20160112,48.186,48.592,47.432,47.858,4235650.540
20160113,47.848,47.915,46.906,46.995,4383739.410
20160114,46.817,47.531,46.737,47.005,5011483.050
20160115,46.648,47.214,45.894,46.271,7645960.360
20160119,46.549,47.035,46.251,46.549,6079340.170
20160120,46.123,46.202,44.222,45.111,6417307.690
20160121,45.091,45.577,44.545,45.329,3513027.020
20160122,45.795,46.132,45.220,45.924,7069750.337
20160125,46.103,46.807,45.934,46.519,4986219.830
20160126,46.440,47.491,46.132,46.718,3446887.231
20160127,46.817,48.096,46.688,47.233,5305722.770
20160128,47.293,48.285,46.916,48.136,3689843.796
20160129,48.344,49.584,48.245,49.525,4344704.222
20160201,49.356,50.011,49.297,49.535,4941195.108
20160202,49.058,49.282,48.701,49.158,4428493.962
20160203,49.425,49.654,47.318,47.452,9084077.060
20160204,47.114,47.610,46.202,46.975,7561821.440
20160205,47.313,47.779,46.539,47.144,5392240.963
20160208,46.975,47.025,46.271,46.708,5385228.510
20160209,46.618,47.868,46.351,47.323,4265201.710
20160210,47.670,47.888,46.906,47.075,5531722.824
20160211,46.172,48.374,46.123,48.096,6718758.640
20160212,48.077,48.334,46.995,47.402,5338042.068
20160216,47.838,48.235,47.333,47.878,4954663.094
20160217,48.553,48.800,47.630,48.572,4083430.710
20160218,48.652,49.267,48.374,49.098,3460538.537
20160219,49.118,49.465,48.582,49.118,3353333.371
20160222,49.187,49.594,49.058,49.416,2939030.815
20160223,49.594,50.249,49.346,50.100,3735998.977
20160224,49.822,50.675,49.594,50.526,3808501.566
20160225,50.695,50.804,50.338,50.526,4107525.202
20160226,50.398,50.636,49.703,49.862,4238449.590
20160229,49.991,50.338,49.753,50.031,3538889.402
20160301,50.150,50.398,49.832,50.070,4542329.208
20160302,49.842,50.189,49.594,50.080,4409188.058
20160303,50.120,50.893,49.951,50.834,4942626.068
20160304,50.864,51.543,50.427,51.280,4069832.636
20160307,51.072,51.826,50.953,51.310,5074011.526
20160308,51.220,51.350,50.800,51.240,4921533.000
20160309,51.400,51.770,51.000,51.580,4009696.000
20160310,51.890,52.540,51.460,51.880,3739301.000
20160311,52.010,52.320,50.860,51.080,4887168.000
20160314,50.970,51.270,50.530,51.060,3737060.000
20160315,50.810,51.240,50.700,50.950,4306440.000
20160316,50.760,51.250,50.360,50.940,4561886.000
20160317,50.800,50.980,50.530,50.690,5927369.000
20160318,50.710,50.910,50.290,50.585,6573539.000
20160321,50.480,51.070,50.070,50.740,3312370.000
20160322,50.700,50.780,50.050,50.140,3109548.000
20160323,50.210,50.380,49.780,50.280,2999773.000
20160324,50.160,50.465,49.490,49.720,3417417.000
