Date,Open,High,Low,Close,Volume
20160104,9.280,9.409,9.231,9.370,16462561.535
20160105,9.380,9.439,9.261,9.340,15468936.155
20160106,9.191,9.270,9.107,9.191,16016994.387
20160107,8.982,9.102,8.893,8.893,26686248.920
20160108,8.973,9.032,8.665,8.695,21980991.565
20160111,8.774,8.834,8.506,8.625,18479950.184
20160112,8.715,8.754,8.457,8.665,17188015.726
20160113,8.744,8.764,8.218,8.268,27458874.020
20160114,8.318,8.417,8.109,8.288,39923238.905
20160115,7.434,8.198,7.027,8.139,35343028.570
20160119,8.248,8.308,7.940,8.030,26043793.480
20160120,7.801,7.970,7.543,7.841,33652159.460
20160121,7.801,8.020,7.722,7.771,31177282.880
20160122,7.901,8.040,7.851,7.871,17357007.809
20160125,7.811,7.851,7.494,7.524,17657964.540
20160126,7.573,7.871,7.573,7.752,17303996.327
20160127,7.752,8.119,7.692,7.881,27377780.080
20160128,8.020,8.198,7.920,7.940,28764148.450
20160129,7.960,8.094,7.901,8.035,22252870.592
20160201,8.079,8.089,7.821,7.871,22490293.074
20160202,7.722,7.722,7.504,7.573,26255774.670
20160203,7.643,7.811,7.285,7.769,33096433.070
20160204,7.702,8.040,7.682,7.836,21330026.020
20160205,7.891,7.985,7.722,7.727,19303867.024
20160208,7.623,7.628,7.315,7.464,25581379.278
20160209,7.315,7.638,7.285,7.593,21966241.045
20160210,7.633,7.732,7.454,7.464,22936689.257
20160211,7.196,7.242,6.948,7.037,27221919.652
20160212,7.186,7.573,7.161,7.553,30799798.392
20160216,7.742,7.871,7.563,7.772,22951057.817
20160217,7.891,7.960,7.702,7.752,19072950.990
20160218,7.841,7.851,7.454,7.573,21569040.080
20160219,7.533,7.687,7.434,7.603,19093234.714
20160222,7.722,7.851,7.712,7.841,16091035.380
20160223,7.801,7.841,7.444,7.509,16543000.011
20160224,7.345,7.394,7.146,7.355,21458104.340
20160225,7.375,7.494,7.295,7.464,13851343.022
20160226,7.583,7.811,7.504,7.692,18351333.300
20160229,7.672,7.682,7.474,7.474,15822470.316
20160301,7.553,7.930,7.529,7.920,17068119.426
20160302,7.940,8.109,7.901,8.059,16324043.740
20160303,8.050,8.238,8.020,8.218,20352899.600
20160304,8.308,8.506,8.228,8.318,25803324.727
20160307,8.218,8.362,8.188,8.298,13750159.849
20160308,8.208,8.238,7.886,7.990,27226447.385
20160309,8.090,8.120,7.830,7.860,21849375.000
20160310,8.000,8.094,7.820,7.960,22697484.000
20160311,8.070,8.260,8.050,8.240,13372461.000
20160314,8.240,8.280,8.100,8.220,14571847.000
20160315,8.130,8.130,8.010,8.105,12873671.000
20160316,8.160,8.275,7.900,8.010,19448445.000
20160317,8.000,8.130,7.820,8.110,16253633.000
20160318,8.210,8.320,8.100,8.210,18547961.000
20160321,8.230,8.340,8.110,8.200,13843567.000
20160322,8.060,8.250,8.040,8.170,14805355.000
20160323,8.150,8.180,8.060,8.090,12568835.000
20160324,8.000,8.070,7.820,8.060,10743517.000
