Date,Open,High,Low,Close,Volume
20160104,81.680,81.710,80.630,81.700,1710555.000
20160105,81.620,82.530,81.430,81.930,1200761.000
20160106,80.950,81.740,79.904,80.600,1294932.000
20160107,79.370,81.310,79.010,79.490,2107417.000
20160108,80.050,80.900,78.970,79.170,1713728.000
20160111,79.840,80.000,77.490,78.270,1490631.000
20160112,78.910,79.220,77.580,78.680,1331490.000
20160113,79.200,79.550,76.050,76.620,1857152.000
20160114,76.710,77.180,74.480,76.530,2597232.000
20160115,74.360,75.248,72.720,73.600,2069295.000
20160119,73.930,74.500,70.890,71.600,2474973.000
20160120,70.510,71.290,68.203,70.490,2566405.000
20160121,70.390,71.170,69.731,70.300,1278753.000
20160122,71.330,72.830,71.285,72.450,1449206.000
20160125,72.270,72.760,71.530,71.750,1599346.000
20160126,70.750,71.630,69.930,70.960,2186187.000
20160127,70.390,71.020,67.530,67.990,2658217.000
20160128,68.340,69.040,66.450,67.370,2116712.000
20160129,68.420,70.090,68.190,70.010,1589232.000
20160201,69.380,70.890,68.720,70.440,1208205.000
20160202,69.860,69.940,67.580,67.820,1469271.000
20160203,68.450,68.880,66.210,67.700,1686911.000
20160204,68.060,69.800,67.990,68.600,1453267.000
20160205,67.550,67.620,62.910,63.140,3016478.000
20160208,61.970,62.500,59.590,60.950,3160586.000
20160209,60.420,62.870,60.030,61.620,1967135.000
20160210,62.360,65.600,62.320,63.540,2219393.000
20160211,62.400,63.240,60.970,61.940,2470182.000
20160212,62.850,64.690,62.822,64.100,1704365.000
20160216,64.710,65.300,63.010,63.840,1324968.000
20160217,64.590,67.320,64.510,66.320,2041962.000
20160218,67.630,67.630,65.270,65.370,1760068.000
20160219,65.080,66.150,64.320,65.890,1674820.000
20160222,66.530,67.000,65.450,66.090,1251441.000
20160223,66.030,66.140,64.380,65.300,1203836.000
20160224,64.780,65.540,63.655,65.360,1434617.000
20160225,66.180,67.720,65.820,67.670,1889505.000
20160226,68.180,68.870,67.570,67.980,2142588.000
20160229,67.640,68.000,65.360,65.360,1668318.000
20160301,66.250,68.410,65.430,68.390,1768860.000
20160302,68.020,68.440,67.350,68.250,699826.000
20160303,68.200,68.700,67.330,68.670,800681.000
20160304,68.870,69.200,67.410,67.570,1428004.000
20160307,66.910,66.983,65.680,66.940,1506081.000
20160308,66.670,68.860,66.440,68.260,2196785.000
20160309,68.810,69.890,68.620,69.870,1814243.000
20160310,69.940,70.830,68.890,70.060,2063412.000
20160311,70.870,72.130,70.530,71.800,1508306.000
20160314,70.870,72.355,70.870,72.110,976998.000
20160315,71.590,71.970,71.170,71.550,697827.000
20160316,71.580,73.120,71.480,72.870,1189488.000
20160317,72.520,73.190,71.840,72.725,934021.000
20160318,73.040,74.610,72.680,74.080,1612703.000
20160321,74.550,75.020,74.224,74.880,1806835.000
20160322,74.810,76.190,74.450,75.720,2968460.000
20160323,73.940,74.760,71.680,72.550,3444182.000
20160324,72.630,73.310,71.710,73.250,1843158.000
