Date,Open,High,Low,Close,Volume
20160104,12.320,12.580,11.920,12.560,10762650.000
20160105,12.320,12.360,11.770,12.160,9923008.000
20160106,11.650,11.680,11.100,11.520,17182647.000
20160107,11.050,11.620,10.925,10.990,13686222.000
20160108,11.080,11.120,10.610,10.760,10769776.000
20160111,10.850,10.850,10.160,10.340,13203172.000
20160112,10.640,10.690,9.780,10.280,15436185.000
20160113,10.460,10.611,9.510,9.810,15255225.000
20160114,9.930,10.570,9.710,10.570,13512450.000
20160115,9.810,10.030,9.470,9.860,13420698.000
20160119,9.750,9.830,8.950,9.310,11185404.000
20160120,9.040,9.290,8.570,9.090,15849255.000
20160121,9.030,10.150,8.980,9.740,14242299.000
20160122,10.120,10.400,9.480,9.760,14516951.000
20160125,9.660,9.870,9.250,9.290,10484491.000
20160126,9.650,9.770,9.390,9.710,8246789.000
20160127,9.610,10.200,9.480,9.840,9425081.000
20160128,10.250,10.370,9.670,10.020,16469546.000
20160129,9.950,10.450,9.900,10.430,9652212.000
20160201,9.950,9.980,9.610,9.780,9472420.000
20160202,9.510,9.530,8.830,9.040,13483153.000
20160203,9.190,9.430,8.500,9.350,10877785.000
20160204,9.370,10.260,9.360,10.190,14364903.000
20160205,10.050,10.830,9.890,10.280,15856751.000
20160208,9.880,9.890,9.250,9.550,10300072.000
20160209,9.490,9.530,8.384,8.930,12709331.000
20160210,8.640,9.190,8.640,8.780,7522378.000
20160211,8.620,8.790,8.230,8.610,10692134.000
20160212,8.910,9.160,8.560,8.860,11673968.000
20160216,9.010,9.010,8.480,8.670,10851379.000
20160217,8.630,9.360,8.590,9.140,12017652.000
20160218,9.260,9.310,8.420,8.655,15868862.000
20160219,8.480,8.610,8.080,8.340,14631496.000
20160222,8.530,8.920,8.510,8.830,10090077.000
20160223,8.540,8.820,8.450,8.530,11921723.000
20160224,7.880,8.305,7.665,8.200,21097627.000
20160225,8.110,8.360,7.850,8.220,17149041.000
20160226,8.310,9.180,8.250,8.640,19702539.000
20160229,8.750,8.990,8.600,8.650,11511237.000
20160301,8.770,9.260,8.450,9.080,15301332.000
20160302,8.830,9.880,8.810,9.850,15508049.000
20160303,9.590,11.000,9.570,10.820,21335437.000
20160304,10.900,13.480,10.690,12.720,51908097.000
20160307,12.480,13.250,12.310,12.710,26280740.000
20160308,12.620,12.680,11.400,11.410,24131071.000
20160309,11.550,11.590,10.840,11.160,13767502.000
20160310,10.930,11.280,10.460,10.960,16766804.000
20160311,11.190,11.790,11.020,11.250,16536862.000
20160314,10.830,11.520,10.765,11.260,14136105.000
20160315,11.100,11.140,10.510,11.030,12799161.000
20160316,11.060,11.320,10.810,11.210,13568118.000
20160317,11.300,11.860,11.180,11.710,15465004.000
20160318,11.560,11.650,10.680,10.820,29080513.000
20160321,10.540,10.750,10.270,10.520,15854430.000
20160322,9.940,10.180,9.910,10.000,17466165.000
20160323,9.920,10.000,9.140,9.260,15131706.000
20160324,9.020,9.510,8.970,9.360,11708018.000
