Date,Open,High,Low,Close,Volume
20160104,109.990,111.780,108.010,111.590,1247411.000
20160105,112.110,112.110,108.330,110.850,979371.000
20160106,109.930,110.150,106.170,108.080,1275004.000
20160107,106.120,109.590,104.450,104.550,1099116.000
20160108,105.000,106.850,103.350,103.540,995575.000
20160111,103.210,104.670,100.290,102.020,1276844.000
20160112,103.600,105.870,101.840,103.980,1012917.000
20160113,104.960,105.990,100.570,100.760,1009604.000
20160114,100.620,102.030,98.142,101.000,1093239.000
20160115,98.520,101.850,98.250,100.680,1352399.000
20160119,101.440,104.020,99.310,101.260,1231259.000
20160120,99.920,105.060,99.660,103.160,2154400.000
20160121,103.510,108.060,102.080,105.860,1546746.000
20160122,107.840,109.700,105.980,106.920,941232.000
20160125,106.940,107.900,105.050,106.530,841895.000
20160126,107.370,110.240,106.725,109.100,923000.000
20160127,108.060,110.960,107.260,108.470,1064434.000
20160128,110.610,112.815,108.155,109.630,936290.000
20160129,110.620,113.030,109.620,112.480,1273543.000
20160201,111.200,113.500,110.400,112.320,1253933.000
20160202,114.610,115.540,110.550,111.740,1929347.000
20160203,112.660,115.870,110.500,115.630,2269932.000
20160204,103.330,103.500,88.240,89.970,10274646.000
20160205,88.530,90.630,87.000,87.360,4711461.000
20160208,85.100,87.310,84.000,85.220,2747158.000
20160209,84.750,85.869,82.790,83.720,2232634.000
20160210,84.330,86.090,83.000,84.500,2416786.000
20160211,83.630,85.701,82.140,83.160,1730657.000
20160212,83.800,87.770,83.800,86.950,2424592.000
20160216,87.710,89.070,86.230,88.290,1214191.000
20160217,89.560,90.730,88.470,89.240,1309800.000
20160218,89.360,89.825,88.330,88.820,657842.000
20160219,87.700,88.580,86.500,88.270,771955.000
20160222,89.490,91.430,89.000,91.020,986931.000
20160223,90.890,92.140,89.480,89.790,1051422.000
20160224,88.610,90.340,88.130,89.950,1007890.000
20160225,90.200,92.260,88.600,91.950,787146.000
20160226,91.970,92.210,89.360,90.840,876588.000
20160229,90.850,92.535,90.690,90.700,632509.000
20160301,92.020,94.120,90.980,93.690,1011444.000
20160302,93.520,94.640,92.770,94.560,601352.000
20160303,94.320,96.000,93.975,95.780,872681.000
20160304,95.840,98.450,95.320,97.140,1096105.000
20160307,96.730,100.000,96.420,98.680,1333964.000
20160308,98.250,98.880,97.030,97.130,881227.000
20160309,97.440,98.200,95.340,97.150,805537.000
20160310,97.460,98.630,94.790,96.250,847385.000
20160311,97.220,99.380,97.040,98.480,665082.000
20160314,98.160,99.610,97.700,98.570,637386.000
20160315,97.690,98.200,96.720,97.280,603119.000
20160316,96.840,97.560,94.090,95.700,1114811.000
20160317,95.530,97.730,95.430,97.090,776105.000
20160318,97.320,98.490,96.670,98.160,843783.000
20160321,98.470,100.190,98.470,99.230,892314.000
20160322,98.260,98.550,96.290,97.760,576877.000
20160323,97.210,97.540,95.420,95.870,699496.000
20160324,95.690,96.190,93.790,95.550,555957.000
