Date,Open,High,Low,Close,Volume
20160104,36.190,36.460,35.880,36.345,1240567.000
20160105,35.920,36.100,34.430,34.600,4225049.000
20160106,34.690,34.770,33.700,33.920,2939893.000
20160107,33.500,33.930,33.220,33.500,2397231.000
20160108,33.790,34.370,33.270,33.980,2600883.000
20160111,34.100,34.300,32.970,33.240,1233418.000
20160112,33.390,33.630,32.500,32.980,1273319.000
20160113,33.250,33.840,32.410,32.520,2713077.000
20160114,32.750,33.750,32.070,33.540,3355217.000
20160115,32.830,33.560,32.270,33.340,2132061.000
20160119,33.610,33.780,32.457,32.700,1626624.000
20160120,32.110,33.000,30.950,32.600,2391538.000
20160121,32.480,33.580,32.435,32.680,1372718.000
20160122,33.160,34.270,32.950,33.230,1874375.000
20160125,33.150,33.460,32.230,32.480,1890567.000
20160126,32.570,33.110,32.360,32.950,1178347.000
20160127,32.980,33.340,32.290,32.610,1008905.000
20160128,32.990,33.170,32.020,32.170,940965.000
20160129,32.370,32.860,32.260,32.800,1239664.000
20160201,32.700,33.610,32.610,33.300,1091381.000
20160202,32.910,32.910,31.790,31.850,952807.000
20160203,32.000,32.000,30.590,31.310,2305051.000
20160204,31.250,32.210,31.230,31.985,1326503.000
20160205,31.270,31.990,30.540,30.820,2529223.000
20160208,30.500,30.500,28.830,29.360,3547192.000
20160209,29.160,29.310,28.590,28.830,2493850.000
20160210,29.170,29.400,28.740,28.765,1519107.000
20160211,28.410,28.830,27.980,28.080,1586466.000
20160212,28.390,28.600,28.070,28.450,1035298.000
20160216,28.870,29.680,28.730,29.590,1003601.000
20160217,30.130,31.880,30.060,31.210,2140868.000
20160218,31.300,31.460,30.570,31.055,1190831.000
20160219,30.770,31.240,30.500,31.050,1668968.000
20160222,31.230,32.190,31.120,32.090,1891477.000
20160223,31.720,31.750,30.930,31.020,2326463.000
20160224,31.250,31.990,29.210,30.090,4217225.000
20160225,30.540,32.110,30.140,31.930,2357659.000
20160226,32.030,32.790,31.440,32.610,1494604.000
20160229,32.700,33.470,31.880,31.970,1658530.000
20160301,32.280,32.740,31.900,32.730,1318158.000
20160302,32.490,33.370,32.415,33.330,1073384.000
20160303,33.770,34.450,33.500,33.890,1598788.000
20160304,33.890,34.520,33.760,34.270,1451571.000
20160307,34.020,34.380,33.440,34.360,967620.000
20160308,34.220,34.340,33.505,33.560,1003600.000
20160309,33.660,34.260,33.390,34.230,1194184.000
20160310,34.420,34.560,32.890,33.290,1559317.000
20160311,33.700,34.350,33.480,34.340,823470.000
20160314,34.170,34.310,33.610,33.950,824408.000
20160315,33.580,33.700,32.780,33.330,807459.000
20160316,33.270,33.950,33.180,33.850,798941.000
20160317,33.820,34.170,33.710,33.990,970873.000
20160318,34.180,34.220,33.260,33.270,1412241.000
20160321,33.250,34.320,32.920,34.110,1513370.000
20160322,33.880,34.120,33.460,33.970,574620.000
20160323,33.990,34.030,33.240,33.280,1150098.000
20160324,33.060,33.800,33.000,33.720,550646.000
