Date,Open,High,Low,Close,Volume
20160104,52.873,54.240,52.375,54.230,3644421.160
20160105,54.240,55.038,54.051,54.589,2727283.931
20160106,53.901,54.400,53.163,53.781,2303164.124
20160107,52.844,54.978,52.375,53.632,3528400.312
20160108,53.712,53.712,51.836,51.966,2498872.153
20160111,52.395,52.754,51.756,52.465,2068794.163
20160112,53.392,54.729,53.278,54.320,3637167.566
20160113,54.061,54.141,51.946,52.066,2874849.629
20160114,52.295,53.253,51.597,52.694,2890798.096
20160115,51.088,52.604,51.088,52.155,3500297.776
20160119,52.764,53.023,51.956,52.465,3080799.628
20160120,51.866,52.704,50.300,52.056,3804566.618
20160121,52.195,52.554,51.786,52.115,3071856.065
20160122,52.834,54.141,52.604,54.001,2423632.007
20160125,53.911,54.220,53.273,53.492,2072893.841
20160126,53.432,54.350,53.073,54.200,1986906.448
20160127,54.280,54.717,53.283,53.662,2368099.038
20160128,54.130,54.151,53.103,53.821,1892081.544
20160129,54.141,56.186,53.861,56.126,2704547.728
20160201,56.136,57.053,55.717,56.625,3920189.250
20160202,56.156,57.053,55.537,56.385,2981069.995
20160203,56.645,56.784,54.308,54.959,3286228.738
20160204,54.260,54.669,53.223,54.350,3791945.734
20160205,54.081,54.121,52.883,53.193,4112453.292
20160208,52.544,53.472,51.986,53.203,3700863.589
20160209,52.814,54.729,52.654,54.400,3654097.414
20160210,54.340,55.507,53.682,53.712,3079928.052
20160211,53.093,53.512,52.035,52.425,3247701.080
20160212,53.133,53.931,52.175,53.622,2453641.053
20160216,54.180,55.976,53.951,54.869,3667817.869
20160217,55.388,55.687,54.769,54.949,4022123.840
20160218,54.599,54.978,54.160,54.679,2976386.145
20160219,54.350,54.599,53.472,54.559,3085377.482
20160222,55.188,55.655,54.889,55.298,2731923.226
20160223,54.978,55.866,54.889,55.228,2993512.851
20160224,55.078,56.245,54.709,56.126,3663412.737
20160225,56.415,56.635,55.577,56.405,2681192.628
20160226,56.635,56.689,55.507,56.146,2250159.639
20160229,55.966,56.435,54.789,54.849,3824505.651
20160301,55.318,56.395,55.218,56.086,4342050.683
20160302,57.712,58.779,56.615,57.592,8689392.790
20160303,57.662,58.291,55.936,57.722,3785451.042
20160304,57.592,57.672,56.964,57.283,3460147.880
20160307,57.483,59.308,57.113,57.393,2731474.056
20160308,57.273,57.966,57.074,57.243,2147104.757
20160309,56.305,57.333,56.116,56.445,3072232.295
20160310,56.620,57.560,56.160,57.210,2864507.000
20160311,57.940,58.100,57.220,57.960,2237168.000
20160314,57.930,58.295,57.740,58.170,1404455.000
20160315,57.850,58.500,57.770,58.140,1658486.000
20160316,57.850,58.300,57.430,58.100,2396304.000
20160317,57.950,58.570,57.660,58.530,1899874.000
20160318,58.790,59.680,58.500,59.300,4196030.000
20160321,58.850,59.110,58.210,58.430,2210227.000
20160322,58.750,58.945,58.050,58.120,1995201.000
20160323,58.110,58.410,57.600,58.180,1129664.000
20160324,58.350,58.500,56.880,57.400,1890534.000
