Date,Open,High,Low,Close,Volume
20160104,24.574,25.843,24.334,25.733,5619941.483
20160105,25.683,25.853,24.744,25.643,7291995.310
20160106,25.373,25.373,23.674,24.024,6400586.110
20160107,23.324,25.028,23.314,24.084,7705244.310
20160108,24.224,26.093,24.084,25.723,6717548.651
20160111,25.573,25.793,24.524,24.943,7768169.990
20160112,25.573,25.603,22.655,23.235,9154073.940
20160113,23.594,24.244,23.184,23.904,9474723.560
20160114,24.254,24.354,22.465,23.125,10299625.600
20160115,21.915,22.745,21.146,21.830,10441656.680
20160119,21.895,22.085,20.227,20.426,7311104.028
20160120,20.047,22.105,19.197,21.985,9111293.860
20160121,21.955,26.382,21.796,26.003,11495457.930
20160122,27.032,28.121,25.273,26.472,9041721.170
20160125,25.713,26.412,24.474,24.554,4743594.187
20160126,25.763,27.482,25.133,27.372,4057849.269
20160127,27.322,29.131,26.682,27.202,6944881.100
20160128,29.071,29.071,26.635,27.831,4961811.590
20160129,28.191,30.120,27.752,29.540,5445459.300
20160201,28.431,28.911,27.162,28.241,4917815.610
20160202,27.082,27.741,26.402,26.972,4599342.603
20160203,27.681,29.420,26.023,28.701,5978367.374
20160204,28.071,30.919,27.981,29.800,8896757.890
20160205,29.111,30.899,28.641,30.530,6828722.920
20160208,30.070,31.919,29.770,30.630,8532317.948
20160209,30.030,30.220,27.572,28.021,4990807.304
20160210,27.662,28.341,26.857,26.982,5643427.386
20160211,26.382,27.102,25.443,26.882,4900344.984
20160212,27.022,27.732,25.833,27.402,4240385.656
20160216,27.512,27.791,24.883,26.013,5391931.100
20160217,26.882,28.081,26.003,26.822,5643151.687
20160218,27.502,27.512,25.313,26.003,5002642.380
20160219,24.264,25.533,23.474,23.724,7178879.099
20160222,24.324,25.693,23.774,24.873,5785924.610
20160223,24.314,24.384,22.045,22.595,5936856.081
20160224,22.075,23.424,21.915,23.344,4431928.790
20160225,23.224,23.974,22.405,23.314,5542950.350
20160226,24.024,24.724,21.675,23.874,8908543.590
20160229,24.064,24.434,22.705,23.694,7920175.960
20160301,23.464,25.733,22.735,25.723,6931571.410
20160302,25.243,28.541,25.243,28.461,7445396.270
20160303,28.381,30.879,28.261,30.709,9730531.017
20160304,31.289,34.387,29.680,32.288,15469883.085
20160307,32.188,36.835,32.069,33.678,13248387.330
20160308,33.458,33.478,29.670,29.880,6065917.118
20160309,30.660,30.720,28.736,29.520,6923017.161
20160310,28.971,30.250,28.261,29.990,4016600.358
20160311,30.600,31.490,30.060,31.100,3927996.000
20160314,30.110,31.040,29.700,30.660,3249538.000
20160315,30.210,32.080,29.920,31.840,3567672.000
20160316,32.050,33.520,31.800,33.430,4224451.000
20160317,34.080,34.080,32.750,33.610,4135394.000
20160318,34.360,34.490,33.270,33.970,4696446.000
20160321,33.240,33.830,31.980,32.920,3432684.000
20160322,32.430,33.320,32.140,32.800,2594501.000
20160323,32.150,32.770,31.150,31.180,2893159.000
20160324,30.000,31.090,29.380,30.710,5112518.000
