Date,Open,High,Low,Close,Volume
20160104,14.253,14.253,13.969,14.150,1271331.331
20160105,14.204,14.243,13.861,13.989,1744144.983
20160106,13.822,13.926,13.642,13.675,1347954.765
20160107,13.411,13.430,12.794,12.960,2463981.245
20160108,13.058,13.136,12.519,12.549,2444604.851
20160111,12.774,12.882,12.647,12.755,3104358.635
20160112,12.921,13.058,12.686,12.931,1497113.876
20160113,13.019,13.156,12.794,12.813,1982991.299
20160114,12.862,13.215,12.647,13.176,1770869.128
20160115,12.823,12.916,12.549,12.882,2059132.698
20160119,12.931,13.107,12.676,12.848,1622604.083
20160120,12.647,12.813,12.118,12.686,1630656.512
20160121,12.745,12.892,12.461,12.686,1427466.333
20160122,12.862,13.048,12.706,12.921,1276882.398
20160125,12.784,12.931,12.637,12.706,1018397.350
20160126,12.706,13.244,12.676,13.136,884409.019
20160127,13.088,13.274,12.941,13.068,1150117.430
20160128,12.999,13.381,12.872,13.190,1269679.503
20160129,13.215,13.700,13.215,13.680,1227922.177
20160201,13.597,13.607,13.342,13.528,996684.457
20160202,13.372,13.430,13.097,13.215,874946.010
20160203,13.323,13.342,12.814,13.156,1125117.670
20160204,13.107,13.509,13.078,13.303,763207.471
20160205,13.274,13.414,13.097,13.225,1347734.240
20160208,13.078,13.127,12.608,12.862,1243629.265
20160209,12.725,12.999,12.519,12.706,1617472.330
20160210,12.813,12.960,12.431,12.490,1804348.699
20160211,12.280,12.465,12.070,12.350,1358392.000
20160212,12.450,12.890,12.450,12.730,1189233.000
20160216,12.850,13.270,12.560,13.180,1280202.000
20160217,13.270,13.710,13.270,13.610,1448113.000
20160218,13.660,13.820,13.520,13.690,927348.000
20160219,13.620,13.710,13.290,13.330,1630797.000
20160222,13.380,13.660,13.300,13.555,1212560.000
20160223,13.510,13.710,13.480,13.570,1182516.000
20160224,13.430,13.600,13.010,13.570,2128929.000
20160225,13.970,13.970,13.020,13.500,1775953.000
20160226,13.630,14.870,13.600,14.860,3512282.000
20160229,14.900,15.300,14.780,15.190,1879447.000
20160301,15.370,15.460,14.920,15.100,2434841.000
20160302,15.090,15.540,15.050,15.540,1487963.000
20160303,15.450,15.810,15.410,15.710,1878051.000
20160304,15.670,16.010,15.670,15.860,1507493.000
20160307,15.820,16.030,15.700,16.010,1454777.000
20160308,15.850,16.105,15.620,15.640,1785307.000
20160309,15.740,15.900,15.620,15.810,1085681.000
20160310,15.840,15.840,15.550,15.760,906155.000
20160311,15.880,16.200,15.810,16.180,1237294.000
20160314,15.990,16.240,15.850,16.150,1442892.000
20160315,16.080,16.130,15.840,16.010,1090016.000
20160316,15.990,16.400,15.980,16.400,1545419.000
20160317,16.320,16.720,16.290,16.530,1582976.000
20160318,16.450,16.872,16.450,16.660,2045218.000
20160321,16.650,16.790,16.520,16.720,944512.000
20160322,16.610,16.690,16.380,16.600,1036562.000
20160323,16.600,16.600,16.055,16.090,1618911.000
20160324,16.000,16.200,15.760,16.180,1047226.000
