Date,Open,High,Low,Close,Volume
20160104,122.510,122.910,121.350,122.640,1749793.000
20160105,122.730,125.930,122.700,125.840,1620881.000
20160106,124.550,126.840,124.380,125.830,2359680.000
20160107,123.820,125.200,122.137,123.010,1958076.000
20160108,123.410,124.280,121.530,121.776,1484329.000
20160111,122.500,124.060,121.657,123.530,1307411.000
20160112,124.020,125.190,123.430,124.920,1674284.000
20160113,125.500,125.530,121.120,121.330,1636314.000
20160114,121.320,121.980,119.740,121.500,2330577.000
20160115,118.490,120.880,118.190,120.270,2469598.000
20160119,121.070,121.820,119.316,120.940,1793218.000
20160120,119.930,120.610,115.730,118.420,2104915.000
20160121,118.890,119.100,117.020,117.610,1646794.000
20160122,118.700,119.180,117.293,118.380,2100438.000
20160125,118.690,119.660,117.680,118.590,1859813.000
20160126,118.040,120.418,116.950,119.490,1362869.000
20160127,118.790,120.230,117.770,118.070,1826741.000
20160128,120.100,123.270,118.500,122.220,2543750.000
20160129,122.470,128.190,122.200,128.050,4575283.000
20160201,127.050,127.330,123.370,125.540,3245010.000
20160202,124.570,125.670,122.920,125.460,5346428.000
20160203,125.850,128.170,125.220,128.080,3287771.000
20160204,127.680,128.270,125.535,126.430,2362082.000
20160205,126.430,126.950,124.510,126.650,2844776.000
20160208,126.220,126.810,124.830,125.840,2496354.000
20160209,124.980,127.350,124.250,126.400,1955805.000
20160210,126.370,128.290,126.025,126.580,1639507.000
20160211,124.170,125.260,120.000,122.170,3447679.000
20160212,122.800,123.390,119.500,120.240,2676771.000
20160216,121.340,121.890,119.440,120.700,2513272.000
20160217,121.500,122.115,120.860,121.640,2053872.000
20160218,119.830,122.810,119.350,121.580,1867594.000
20160219,121.530,123.660,121.020,123.580,1509683.000
20160222,124.050,125.690,123.610,124.510,1552589.000
20160223,124.480,126.350,124.150,125.200,1402493.000
20160224,124.810,125.470,122.920,123.660,1392419.000
20160225,123.840,125.025,123.560,125.020,1260237.000
20160226,125.080,125.640,124.370,124.480,1415455.000
20160229,124.270,125.210,123.850,123.860,933494.000
20160301,124.980,125.460,124.240,124.780,1521853.000
20160302,124.720,125.800,124.230,125.090,1510507.000
20160303,124.580,125.488,124.070,124.910,1256890.000
20160304,124.840,125.930,124.500,125.030,1128369.000
20160307,124.660,125.360,122.330,122.500,1771802.000
20160308,121.880,123.560,121.620,122.560,1731741.000
20160309,123.620,123.779,122.410,122.500,1669174.000
20160310,122.520,123.120,121.530,121.820,1759628.000
20160311,122.860,124.790,122.220,122.670,1842709.000
20160314,122.120,122.880,121.750,121.830,1645730.000
20160315,121.240,123.350,120.510,122.740,1276399.000
20160316,122.700,124.130,121.730,123.400,986926.000
20160317,123.380,123.940,121.550,122.600,1930076.000
20160318,122.660,124.570,121.800,124.330,1734927.000
20160321,123.630,124.030,123.020,123.570,1225785.000
20160322,123.260,124.350,123.000,123.790,1043545.000
20160323,123.080,124.590,123.000,123.890,1058972.000
20160324,123.460,124.330,122.800,123.010,1069066.000
