Date,Open,High,Low,Close,Volume
20160104,3.520,3.580,3.430,3.510,14028873.000
20160105,3.550,3.580,3.450,3.570,8736607.000
20160106,3.520,3.670,3.470,3.595,14253306.000
20160107,3.480,3.510,3.330,3.350,17120555.000
20160108,3.440,3.580,3.400,3.410,9491036.000
20160111,3.440,3.460,3.300,3.350,14069549.000
20160112,3.430,3.440,3.310,3.360,11286361.000
20160113,3.400,3.440,3.050,3.110,24487023.000
20160114,3.080,3.250,3.010,3.180,25561530.000
20160115,3.120,3.140,2.840,2.870,27870640.000
20160119,2.930,2.940,2.610,2.640,19206067.000
20160120,2.550,2.560,2.180,2.445,46948826.000
20160121,2.470,2.580,2.340,2.510,22727316.000
20160122,2.620,2.970,2.620,2.870,39631965.000
20160125,2.980,3.050,2.440,2.505,38456210.000
20160126,3.010,3.100,2.720,3.000,53130718.000
20160127,3.030,3.210,2.910,2.920,37175457.000
20160128,2.990,3.120,2.980,3.050,25253574.000
20160129,3.110,3.120,2.980,3.005,22824677.000
20160201,3.040,3.090,2.980,3.070,17522842.000
20160202,3.020,3.050,2.700,2.760,24078210.000
20160203,2.830,2.900,2.710,2.840,18457719.000
20160204,2.850,3.005,2.800,2.840,24786232.000
20160205,2.840,2.930,2.770,2.840,20797855.000
20160208,2.800,2.840,2.530,2.540,25258682.000
20160209,2.510,2.720,2.450,2.660,22188401.000
20160210,2.670,2.800,2.620,2.720,13971482.000
20160211,2.670,2.745,2.530,2.530,15471168.000
20160212,2.560,2.740,2.560,2.670,18522133.000
20160216,2.810,2.880,2.660,2.790,15195551.000
20160217,2.840,3.000,2.840,2.990,22296621.000
20160218,3.050,3.090,2.890,3.080,18395393.000
20160219,3.010,3.020,2.890,2.920,18602457.000
20160222,2.965,3.045,2.950,3.025,11330535.000
20160223,2.980,3.080,2.950,2.950,8875577.000
20160224,2.920,3.050,2.870,3.050,8338652.000
20160225,3.040,3.140,3.000,3.080,20558240.000
20160226,3.070,3.340,3.070,3.325,20132032.000
20160229,3.310,3.460,3.210,3.435,17815930.000
20160301,3.430,3.480,3.370,3.460,13248404.000
20160302,3.480,3.815,3.440,3.740,25218279.000
20160303,3.740,4.050,3.730,4.010,39521874.000
20160304,4.020,4.190,3.670,3.810,31633567.000
20160307,3.820,4.090,3.820,3.985,25490497.000
20160308,3.940,4.050,3.870,3.990,24576886.000
20160309,3.980,4.060,3.880,3.950,16136648.000
20160310,4.000,4.020,3.640,3.720,25821478.000
20160311,3.790,3.820,3.680,3.700,12181103.000
20160314,3.700,3.765,3.650,3.710,8588269.000
20160315,3.700,3.760,3.540,3.549,14695742.000
20160316,3.620,3.630,3.450,3.580,17563364.000
20160317,3.540,3.590,3.330,3.400,19760714.000
20160318,3.430,3.480,3.260,3.270,21929890.000
20160321,3.260,3.270,3.170,3.200,13242752.000
20160322,3.200,3.440,3.190,3.370,20928609.000
20160323,3.350,3.370,3.120,3.160,22990156.000
20160324,3.160,3.270,3.140,3.270,10672078.000
