Date,Open,High,Low,Close,Volume
20160104,4.729,4.739,4.640,4.734,6076005.734
20160105,4.640,4.650,4.571,4.640,7184979.691
20160106,4.443,4.482,4.413,4.452,7573417.006
20160107,4.393,4.443,4.364,4.373,6404097.624
20160108,4.393,4.423,4.215,4.240,10527803.525
20160111,4.413,4.413,4.314,4.373,7278779.026
20160112,4.482,4.482,4.344,4.413,5350789.092
20160113,4.462,4.472,4.275,4.314,5848079.240
20160114,4.344,4.423,4.290,4.413,5112298.329
20160115,4.285,4.323,4.215,4.245,4396983.328
20160119,4.225,4.245,4.117,4.166,5499694.481
20160120,4.058,4.087,3.929,4.008,9996951.648
20160121,4.038,4.122,3.979,4.067,6824463.682
20160122,4.275,4.295,4.206,4.255,4419031.764
20160125,4.117,4.127,4.058,4.058,5902738.206
20160126,4.136,4.245,4.117,4.225,6566063.188
20160127,4.190,4.260,4.160,4.170,5675173.000
20160128,4.170,4.170,4.050,4.110,5580818.000
20160129,4.140,4.200,4.110,4.200,4112107.000
20160201,4.130,4.140,4.070,4.130,4543921.000
20160202,3.970,3.980,3.835,3.860,10676798.000
20160203,3.850,3.870,3.690,3.860,8113177.000
20160204,3.910,4.100,3.910,4.070,4787852.000
20160205,4.170,4.193,4.100,4.110,5215751.000
20160208,3.960,3.970,3.850,3.900,6647098.000
20160209,3.750,3.860,3.730,3.820,6718306.000
20160210,3.940,4.019,3.870,3.930,5601804.000
20160211,3.780,3.800,3.690,3.740,5741293.000
20160212,3.820,3.880,3.760,3.875,4539240.000
20160216,4.020,4.028,3.930,3.990,3020655.000
20160217,4.080,4.180,4.070,4.170,6761060.000
20160218,4.110,4.110,3.940,3.960,5055899.000
20160219,3.840,3.900,3.790,3.860,6165336.000
20160222,3.960,4.030,3.950,4.020,2961788.000
20160223,4.020,4.040,3.920,3.925,6406552.000
20160224,3.790,3.830,3.740,3.800,6119972.000
20160225,3.870,3.890,3.830,3.865,3954885.000
20160226,4.000,4.010,3.950,3.980,4074907.000
20160229,4.010,4.050,3.980,4.000,3238327.000
20160301,4.040,4.170,4.020,4.170,5392982.000
20160302,4.250,4.380,4.240,4.370,11045368.000
20160303,4.380,4.450,4.340,4.450,3435305.000
20160304,4.480,4.530,4.430,4.500,5747006.000
20160307,4.450,4.510,4.420,4.490,4340423.000
20160308,4.580,4.600,4.500,4.520,6824147.000
20160309,4.540,4.550,4.440,4.490,4268908.000
20160310,4.690,4.800,4.540,4.620,11414633.000
20160311,4.840,4.970,4.800,4.925,11319697.000
20160314,4.980,4.990,4.920,4.970,6557023.000
20160315,4.790,4.820,4.730,4.760,8859917.000
20160316,4.620,4.720,4.610,4.705,4776533.000
20160317,4.720,4.790,4.650,4.770,4383382.000
20160318,4.830,4.860,4.740,4.780,8751665.000
20160321,4.760,4.790,4.695,4.710,5991578.000
20160322,4.610,4.670,4.590,4.640,6042117.000
20160323,4.580,4.590,4.490,4.500,3370977.000
20160324,4.410,4.475,4.390,4.420,8591941.000
