Date,Open,High,Low,Close,Volume
20160104,20.200,20.490,19.840,20.400,605184.000
20160105,20.500,20.500,19.650,19.970,685403.000
20160106,19.680,19.880,19.260,19.440,513089.000
20160107,19.030,19.190,18.470,18.490,822452.000
20160108,18.730,18.780,18.050,18.060,669668.000
20160111,18.010,18.020,17.350,17.650,642228.000
20160112,17.900,17.970,17.110,17.690,519741.000
20160113,17.790,17.940,17.050,17.150,362755.000
20160114,17.240,17.390,16.900,17.300,876577.000
20160115,16.810,17.000,16.400,16.840,744975.000
20160119,17.160,17.325,16.470,16.760,520610.000
20160120,17.290,17.326,16.310,16.970,733557.000
20160121,17.080,17.379,16.880,16.970,762556.000
20160122,17.340,17.590,16.970,17.260,792975.000
20160125,17.220,17.530,17.040,17.370,1066765.000
20160126,19.700,19.750,18.600,19.090,1736076.000
20160127,18.950,19.220,18.735,18.850,942684.000
20160128,18.990,19.290,18.190,18.200,695315.000
20160129,18.350,18.910,18.280,18.740,1302202.000
20160201,18.520,19.045,18.390,18.920,1369907.000
20160202,18.700,18.950,18.470,18.580,1181005.000
20160203,18.780,19.010,18.040,18.700,1195152.000
20160204,18.660,19.630,18.630,19.430,683019.000
20160205,19.420,19.720,19.210,19.220,767539.000
20160208,18.900,19.540,18.900,19.430,793835.000
20160209,19.130,19.690,19.130,19.520,676503.000
20160210,19.590,20.040,19.510,19.670,671358.000
20160211,19.390,19.700,19.110,19.570,742480.000
20160212,19.700,20.080,19.580,19.840,469664.000
20160216,20.040,20.600,20.020,20.490,408577.000
20160217,20.700,20.740,19.970,20.070,620076.000
20160218,20.200,20.640,20.060,20.540,404761.000
20160219,20.460,20.560,20.190,20.410,261893.000
20160222,20.550,20.820,20.340,20.390,484842.000
20160223,20.270,20.580,20.210,20.390,394596.000
20160224,20.240,20.700,19.970,20.660,473807.000
20160225,20.680,20.930,20.460,20.830,570238.000
20160226,20.910,21.480,20.880,20.960,404536.000
20160229,21.050,21.050,20.550,20.595,618089.000
20160301,20.730,21.400,20.700,21.390,308949.000
20160302,21.400,21.480,20.830,21.050,471324.000
20160303,21.030,21.950,20.960,21.950,473049.000
20160304,21.860,21.970,21.430,21.450,331045.000
20160307,21.310,21.690,21.250,21.590,381999.000
20160308,21.500,21.620,20.930,21.080,278738.000
20160309,21.200,21.310,20.980,21.310,288979.000
20160310,21.390,21.710,20.980,21.410,349612.000
20160311,21.650,22.140,21.550,22.140,302168.000
20160314,22.050,22.175,21.480,21.710,330511.000
20160315,21.520,21.660,20.940,21.120,847341.000
20160316,21.110,21.430,21.060,21.380,354530.000
20160317,21.300,21.900,21.030,21.890,606129.000
20160318,21.920,22.340,21.920,22.170,471689.000
20160321,22.140,22.790,22.110,22.620,362356.000
20160322,22.420,23.190,22.230,23.080,582103.000
20160323,23.010,23.070,22.420,22.620,551652.000
20160324,22.520,22.640,22.180,22.640,278593.000
