Date,Open,High,Low,Close,Volume
20160104,31.888,31.997,31.389,31.908,8776019.920
20160105,31.938,32.147,31.489,31.798,5350001.032
20160106,31.170,31.298,30.447,30.701,8360175.158
20160107,29.853,30.132,28.896,29.095,14519036.820
20160108,29.434,29.743,28.856,28.916,11054574.880
20160111,29.135,29.305,28.167,28.656,15065023.170
20160112,28.965,29.344,28.736,29.175,10092071.650
20160113,29.035,29.384,27.384,27.649,11344107.930
20160114,27.788,28.317,26.836,28.038,8885970.030
20160115,26.911,27.449,26.462,26.951,16773741.460
20160119,27.978,28.018,26.163,26.432,12863568.790
20160120,25.823,25.823,24.302,25.225,27821143.293
20160121,25.225,25.410,24.297,24.307,25140038.100
20160122,25.016,25.828,24.706,25.755,19110283.650
20160125,25.654,25.883,25.055,25.105,12212068.120
20160126,25.325,25.674,25.075,25.375,10789884.630
20160127,25.295,25.953,24.926,25.195,9456418.550
20160128,25.464,25.644,24.587,24.746,11601283.780
20160129,25.065,25.564,24.657,25.454,12372300.180
20160201,25.365,25.424,24.906,25.205,8793235.500
20160202,24.786,24.806,23.819,24.038,9501104.390
20160203,24.267,24.517,22.856,24.317,22821785.990
20160204,24.168,25.105,24.168,24.916,13197006.460
20160205,24.876,25.405,24.198,24.268,10117125.760
20160208,23.769,23.769,23.079,23.549,17570592.260
20160209,22.831,23.779,22.791,23.290,16688363.572
20160210,23.600,24.110,22.680,22.700,16159017.000
20160211,21.890,22.395,21.510,22.220,21612236.000
20160212,22.800,23.020,22.180,22.820,9684161.000
20160216,23.550,23.770,23.040,23.580,9324125.000
20160217,23.990,24.640,23.940,24.470,12096755.000
20160218,24.500,24.600,23.840,24.160,8535283.000
20160219,23.960,24.670,23.950,24.430,8681620.000
20160222,24.710,25.100,24.330,24.540,10345238.000
20160223,24.450,24.500,23.960,24.130,9916272.000
20160224,23.650,23.830,23.000,23.685,11713702.000
20160225,23.740,24.100,23.570,24.090,7711842.000
20160226,24.430,25.710,24.370,25.460,15714536.000
20160229,25.350,25.560,25.010,25.050,9685671.000
20160301,25.370,26.530,25.270,26.385,14452306.000
20160302,26.410,26.780,26.310,26.730,9240472.000
20160303,26.570,27.175,26.285,27.110,8921901.000
20160304,27.420,27.830,26.940,27.150,9729670.000
20160307,26.920,27.590,26.590,27.510,8040491.000
20160308,27.100,27.300,26.360,26.670,10169255.000
20160309,26.920,27.030,26.320,26.550,6601864.000
20160310,26.840,26.880,25.980,26.640,13392533.000
20160311,27.020,28.260,26.950,28.190,10937316.000
20160314,28.000,28.115,27.510,27.845,5729457.000
20160315,27.480,27.740,27.290,27.740,6321964.000
20160316,27.670,28.200,26.750,26.935,15499178.000
20160317,26.660,27.915,26.650,27.680,8695507.000
20160318,27.860,28.400,27.730,28.360,9569512.000
20160321,28.340,29.040,27.840,28.295,6255470.000
20160322,27.850,28.620,27.790,28.420,6039336.000
20160323,28.440,28.570,27.900,28.020,5749901.000
20160324,27.620,28.110,27.400,28.100,5988119.000
