Date,Open,High,Low,Close,Volume
20160104,25.490,25.575,25.241,25.321,1635768.325
20160105,25.441,25.769,25.311,25.540,1062994.385
20160106,25.172,25.699,25.142,25.361,1222132.354
20160107,24.903,25.232,24.714,24.883,1274803.493
20160108,25.003,25.082,24.525,24.565,1005487.253
20160111,24.625,24.863,24.421,24.555,1440307.344
20160112,24.704,24.913,24.326,24.605,1015768.377
20160113,24.615,24.764,23.679,23.799,1529253.206
20160114,23.869,24.157,23.689,23.898,1271098.540
20160115,23.411,23.630,23.003,23.381,3378684.113
20160119,23.590,23.908,23.500,23.665,1361008.036
20160120,23.351,23.640,22.545,23.371,1483764.023
20160121,23.441,23.530,22.814,23.023,2152013.373
20160122,23.411,23.898,23.321,23.878,2431725.914
20160125,23.779,23.779,23.082,23.142,2686269.309
20160126,23.291,23.834,23.222,23.779,1333359.746
20160127,23.739,24.008,23.361,23.550,798689.560
20160128,23.829,23.958,23.152,23.351,962719.650
20160129,23.510,24.087,23.451,24.058,1341606.769
20160201,23.849,23.918,23.560,23.858,1125161.416
20160202,23.679,23.729,23.222,23.222,1177871.343
20160203,23.441,23.441,22.187,22.575,3448010.305
20160204,22.545,23.003,22.336,22.675,4347920.893
20160205,22.665,22.744,22.267,22.485,1871136.408
20160208,22.197,22.346,21.729,22.167,2848620.111
20160209,21.898,22.525,21.809,22.018,1129965.940
20160210,22.087,22.545,21.988,21.998,2006436.940
20160211,20.157,21.769,20.157,21.540,2742465.316
20160212,21.879,22.098,21.401,21.968,1914721.043
20160216,22.326,22.993,22.227,22.983,1742622.929
20160217,23.112,23.570,23.073,23.301,1500139.817
20160218,23.291,23.291,22.505,22.625,2022531.091
20160219,22.595,22.943,22.575,22.913,1146002.773
20160222,23.092,23.769,23.092,23.311,1142500.287
20160223,23.252,23.271,22.844,22.869,1095764.622
20160224,22.665,22.784,22.217,22.510,2188963.561
20160225,22.585,23.510,22.585,23.485,1295624.901
20160226,23.570,23.858,23.510,23.630,1085207.907
20160229,23.630,23.798,23.381,23.391,992187.913
20160301,23.610,24.107,23.401,24.067,1157399.397
20160302,24.008,24.157,23.779,24.028,660006.258
20160303,23.998,24.366,23.878,24.356,624463.171
20160304,24.475,24.834,24.346,24.674,926368.478
20160307,24.575,24.784,24.495,24.674,913764.639
20160308,24.475,24.605,23.719,23.789,1099293.236
20160309,23.948,23.978,23.570,23.754,782714.802
20160310,23.888,23.928,23.431,23.570,999422.580
20160311,23.950,24.040,23.800,24.010,946488.000
20160314,24.010,24.030,23.600,23.780,813451.000
20160315,23.670,23.730,23.360,23.620,653769.000
20160316,23.430,23.650,23.320,23.480,1101015.000
20160317,23.510,23.600,23.210,23.470,815214.000
20160318,23.450,24.050,23.410,23.700,1341225.000
20160321,23.650,23.850,23.530,23.750,831864.000
20160322,23.610,24.015,23.600,23.940,1046934.000
20160323,23.920,24.030,23.750,23.880,1038912.000
20160324,23.770,23.950,23.490,23.580,1140878.000
