Date,Open,High,Low,Close,Volume
20160104,20.480,20.480,19.700,19.790,483127.000
20160105,20.390,20.390,19.350,19.970,469113.000
20160106,20.070,20.080,18.970,19.020,630483.000
20160107,18.610,19.360,18.310,18.340,416986.000
20160108,18.920,19.059,17.950,18.030,455953.000
20160111,18.090,18.510,17.300,17.990,546531.000
20160112,17.930,18.760,17.860,18.760,572864.000
20160113,18.980,19.540,18.365,18.570,812835.000
20160114,18.900,19.010,17.730,17.740,764975.000
20160115,17.630,17.820,16.870,17.170,758543.000
20160119,17.210,17.600,16.750,16.850,986348.000
20160120,16.400,17.380,16.250,16.810,621662.000
20160121,16.680,17.430,16.610,17.020,407525.000
20160122,17.450,18.100,17.140,18.020,794870.000
20160125,18.100,18.400,16.790,16.900,605116.000
20160126,17.150,17.270,16.452,16.850,454381.000
20160127,16.740,17.890,16.660,17.410,591732.000
20160128,17.850,17.930,17.330,17.400,441303.000
20160129,17.300,17.880,16.590,16.950,464494.000
20160201,17.000,17.700,16.520,17.600,365084.000
20160202,17.550,17.970,16.770,16.950,461804.000
20160203,16.940,17.490,16.270,17.320,383344.000
20160204,17.330,18.330,17.120,17.680,595206.000
20160205,17.530,17.830,17.240,17.460,241207.000
20160208,17.170,17.170,16.110,16.700,480815.000
20160209,16.300,16.810,15.240,15.260,979202.000
20160210,15.310,15.630,14.980,15.030,673210.000
20160211,14.560,15.150,14.520,15.020,673730.000
20160212,15.340,16.080,15.155,15.450,425631.000
20160216,15.830,16.310,15.060,16.160,609554.000
20160217,16.190,18.180,16.110,18.000,928723.000
20160218,17.820,17.860,16.230,17.170,783111.000
20160219,16.950,17.000,16.270,16.710,311758.000
20160222,17.210,17.540,16.960,17.030,373265.000
20160223,16.800,17.580,16.800,17.490,315859.000
20160224,17.090,17.320,16.560,16.990,447710.000
20160225,16.460,17.510,16.430,17.500,675112.000
20160226,17.550,18.460,17.330,18.230,736454.000
20160229,17.940,18.430,17.460,17.480,425152.000
20160301,17.500,17.590,17.000,17.160,359836.000
20160302,17.310,17.920,17.040,17.710,490454.000
20160303,18.000,18.170,17.700,18.060,755307.000
20160304,18.390,18.720,18.000,18.060,666934.000
20160307,18.130,18.500,17.820,18.290,618627.000
20160308,18.380,18.495,17.490,18.030,497246.000
20160309,18.020,18.070,17.000,17.080,575963.000
20160310,17.180,17.360,16.510,16.830,513442.000
20160311,16.920,17.330,16.510,16.770,479446.000
20160314,16.790,17.040,16.430,16.670,444260.000
20160315,16.520,16.640,15.510,15.560,950161.000
20160316,15.550,15.730,14.890,15.070,946843.000
20160317,15.010,15.550,14.590,15.310,1120128.000
20160318,15.700,16.150,15.490,16.100,814022.000
20160321,16.090,16.105,15.200,15.260,734439.000
20160322,15.150,15.190,14.620,14.810,785291.000
20160323,15.220,15.220,14.770,14.960,803718.000
20160324,14.820,15.350,14.600,14.980,775947.000
