Date,Open,High,Low,Close,Volume
20160104,121.687,125.055,120.880,124.437,1722302.045
20160105,124.766,126.589,122.514,125.105,1607022.970
20160106,123.640,127.432,123.172,126.788,2442813.495
20160107,127.526,135.087,127.137,132.786,3322820.619
20160108,133.224,134.729,125.254,126.410,2627597.298
20160111,126.788,127.007,123.939,125.742,1683726.115
20160112,127.027,129.165,123.959,126.460,903395.983
20160113,127.027,127.446,123.311,123.560,1134650.006
20160114,123.799,125.294,121.040,124.098,1514209.210
20160115,121.139,123.650,118.260,121.040,1647601.218
20160119,121.707,124.895,119.864,121.717,1255181.027
20160120,120.422,121.657,116.058,120.153,1094658.234
20160121,120.532,121.887,117.931,119.087,1237376.083
20160122,120.412,122.649,119.705,122.096,737089.863
20160125,121.946,122.016,117.463,118.270,810438.762
20160126,118.559,119.296,116.307,118.141,1050745.358
20160127,118.799,119.768,117.023,118.410,928604.057
20160128,119.000,119.000,112.570,113.360,1860013.000
20160129,114.360,116.360,110.140,116.000,1767865.000
20160201,115.720,120.860,114.840,120.610,1532508.000
20160202,119.150,119.700,114.370,115.260,1412148.000
20160203,115.770,116.360,109.120,111.300,2316521.000
20160204,111.280,111.980,108.590,109.840,1402209.000
20160205,109.230,109.370,103.320,105.200,2600042.000
20160208,104.670,105.900,98.121,100.390,1870974.000
20160209,99.700,101.160,94.000,96.270,2396246.000
20160210,97.060,99.495,96.160,96.920,1604575.000
20160211,95.000,96.570,93.450,94.750,1187094.000
20160212,95.510,99.040,94.370,98.580,977299.000
20160216,99.500,105.510,99.500,104.180,1749838.000
20160217,105.310,107.480,104.870,105.380,1709582.000
20160218,103.300,104.970,102.060,103.930,1113254.000
20160219,104.160,104.970,102.280,103.810,989590.000
20160222,104.050,104.500,102.470,103.010,1035594.000
20160223,102.700,103.000,98.750,100.160,1970554.000
20160224,98.260,98.328,95.880,97.970,2781956.000
20160225,97.930,99.610,96.050,97.160,1482641.000
20160226,98.020,100.370,96.770,99.140,1527000.000
20160229,109.000,112.490,108.000,108.400,5906812.000
20160301,110.570,112.950,109.670,112.520,2081528.000
20160302,112.260,115.400,111.380,112.960,1539336.000
20160303,111.930,114.780,111.000,112.000,2125150.000
20160304,112.310,113.490,111.330,111.860,1206141.000
20160307,111.310,113.090,111.020,112.140,1125396.000
20160308,111.490,112.110,107.490,109.010,1094963.000
20160309,110.000,110.890,106.300,108.090,1287767.000
20160310,109.510,111.370,107.740,109.700,913562.000
20160311,110.240,112.480,109.920,111.210,916955.000
20160314,110.640,112.500,110.351,111.950,1342674.000
20160315,111.260,111.890,110.300,111.570,901419.000
20160316,111.420,114.680,111.420,113.550,1117871.000
20160317,113.500,116.880,113.150,116.070,1292494.000
20160318,116.820,118.800,116.170,117.400,1347102.000
20160321,117.270,118.230,116.220,117.990,964460.000
20160322,116.920,119.040,116.520,118.260,903753.000
20160323,118.290,118.440,115.710,118.060,1347070.000
20160324,124.760,125.470,120.020,121.420,3265395.000
