Date,Open,High,Low,Close,Volume
20160104,111.540,111.810,109.190,110.170,382034.000
20160105,110.500,111.140,109.800,110.920,452537.000
20160106,109.870,110.210,108.455,109.260,1064875.000
20160107,108.530,108.530,106.200,106.390,925756.000
20160108,106.740,107.340,104.090,104.280,700986.000
20160111,104.710,106.040,104.410,104.710,767834.000
20160112,104.970,105.540,102.490,103.020,781011.000
20160113,103.200,103.520,101.770,102.120,744913.000
20160114,102.300,102.770,101.110,101.770,666953.000
20160115,100.470,100.550,98.550,100.150,1034162.000
20160119,100.830,101.290,99.560,100.070,682696.000
20160120,98.890,99.240,94.218,96.630,1259806.000
20160121,97.120,97.690,96.070,96.720,874818.000
20160122,98.160,102.990,98.160,102.120,1420869.000
20160125,102.290,103.240,101.280,101.670,991528.000
20160126,101.870,103.170,101.870,103.140,905402.000
20160127,102.710,102.870,100.815,101.650,849111.000
20160128,105.000,105.240,92.000,92.980,2908020.000
20160129,94.350,97.410,92.880,96.590,3089312.000
20160201,95.780,96.450,92.840,92.920,1871526.000
20160202,93.400,93.570,88.240,89.880,2389363.000
20160203,90.280,90.530,87.150,89.090,1333157.000
20160204,89.210,92.360,88.050,91.060,1388838.000
20160205,92.420,92.420,87.630,87.710,1633037.000
20160208,87.360,87.850,82.090,83.870,1626022.000
20160209,82.450,83.470,80.300,81.170,1803516.000
20160210,82.050,84.120,81.530,82.710,1102260.000
20160211,81.490,81.890,80.120,80.530,1731754.000
20160212,81.730,82.000,80.550,81.010,1241553.000
20160216,82.500,84.000,82.040,82.710,879448.000
20160217,83.490,85.640,83.450,83.700,1665112.000
20160218,83.760,85.980,83.240,85.170,1364699.000
20160219,84.760,87.690,84.300,87.100,1765906.000
20160222,88.190,90.300,88.090,90.100,1323746.000
20160223,89.330,91.250,88.110,88.650,1024107.000
20160224,88.000,88.770,87.070,88.490,526369.000
20160225,89.200,90.300,89.200,90.040,752140.000
20160226,89.620,90.620,89.310,89.340,816408.000
20160229,89.440,89.980,87.980,88.170,1070300.000
20160301,89.010,93.390,88.360,93.370,1028773.000
20160302,93.060,94.330,92.440,94.300,754979.000
20160303,94.420,95.440,93.840,95.320,1085646.000
20160304,95.280,95.620,94.330,94.970,1564676.000
20160307,94.420,94.680,93.240,93.770,890241.000
20160308,93.510,93.770,90.790,91.080,857654.000
20160309,91.530,93.480,91.030,92.670,843004.000
20160310,93.500,93.500,91.490,92.530,606017.000
20160311,94.360,95.030,92.900,94.860,672050.000
20160314,94.400,95.470,93.610,94.300,462060.000
20160315,93.500,93.970,92.250,92.750,820520.000
20160316,92.140,95.460,92.080,95.250,1021547.000
20160317,95.460,97.080,94.695,96.500,741012.000
20160318,96.480,97.010,94.730,94.760,664271.000
20160321,95.370,96.230,94.650,96.090,926128.000
20160322,95.250,96.690,95.100,96.160,752528.000
20160323,95.890,96.480,94.510,94.530,797798.000
20160324,93.820,94.380,92.510,94.270,900874.000
