Date,Open,High,Low,Close,Volume
20160104,168.091,168.659,165.781,167.862,331209.824
20160105,168.241,169.247,166.349,167.554,333939.009
20160106,165.602,167.959,165.313,167.046,415631.205
20160107,164.317,165.671,162.933,163.560,314465.509
20160108,164.018,165.681,161.350,161.798,383571.472
20160111,162.455,163.232,159.965,162.315,371217.364
20160112,163.570,164.875,161.847,164.148,367292.163
20160113,164.317,164.934,160.712,160.842,457442.156
20160114,161.230,163.411,158.850,162.335,384916.143
20160115,158.372,160.314,154.448,156.539,645554.670
20160119,157.346,157.665,155.095,155.324,770139.203
20160120,153.173,153.623,146.900,152.178,889298.512
20160121,151.889,153.502,148.911,149.857,762771.872
20160122,151.510,153.612,149.967,152.466,556355.568
20160125,152.367,153.960,151.931,152.795,669163.537
20160126,153.990,158.521,153.532,158.362,433534.206
20160127,157.794,161.270,156.669,157.446,376447.059
20160128,158.073,158.939,154.854,156.520,450760.480
20160129,157.525,160.881,157.456,160.832,485903.059
20160201,157.794,161.379,156.181,160.423,446881.589
20160202,159.338,159.338,152.785,153.910,845312.441
20160203,155.195,155.429,149.210,152.506,868738.391
20160204,151.162,153.970,142.857,144.579,2023384.585
20160205,144.121,144.121,137.847,139.271,1205733.004
20160208,137.558,138.176,132.539,134.899,1568567.562
20160209,133.804,136.991,133.455,135.248,829074.343
20160210,136.264,142.757,136.264,140.775,1141550.746
20160211,137.967,140.068,135.288,137.508,627862.582
20160212,139.042,140.516,138.106,139.421,660756.703
20160216,141.890,143.155,140.282,141.293,430466.568
20160217,142.587,143.434,141.113,142.886,457937.257
20160218,143.055,144.499,142.488,144.300,592793.467
20160219,143.633,145.406,143.364,144.529,382496.009
20160222,146.123,147.248,145.645,146.780,377453.156
20160223,146.120,147.680,144.270,144.500,319951.000
20160224,143.470,146.020,142.550,145.660,461879.000
20160225,146.250,146.250,143.310,144.540,483492.000
20160226,145.310,147.870,144.700,147.270,365947.000
20160229,146.670,147.930,144.610,144.610,302726.000
20160301,146.140,151.050,144.920,150.550,661736.000
20160302,149.740,151.610,149.580,150.800,547700.000
20160303,150.810,154.520,149.810,154.090,601127.000
20160304,153.900,156.000,152.850,154.010,628724.000
20160307,153.480,154.930,152.806,153.820,386179.000
20160308,152.030,153.130,150.220,151.990,422785.000
20160309,152.370,152.870,150.500,151.360,380169.000
20160310,152.160,152.300,148.450,150.370,507320.000
20160311,152.580,153.420,150.975,152.760,267823.000
20160314,152.260,154.450,152.250,154.090,331553.000
20160315,152.670,155.250,152.340,154.970,292614.000
20160316,154.290,156.520,153.840,155.910,278678.000
20160317,155.810,156.330,155.230,156.030,605354.000
20160318,156.260,157.040,155.330,155.350,538083.000
20160321,155.640,158.590,154.900,158.020,333934.000
20160322,157.900,158.220,156.220,156.890,416248.000
20160323,156.720,157.090,155.265,155.850,235897.000
20160324,155.020,158.100,154.150,157.870,336025.000
