Date,Open,High,Low,Close,Volume
20160104,190.591,191.176,188.550,190.780,1077798.863
20160105,191.275,195.002,190.909,194.506,1068237.319
20160106,192.970,194.784,192.841,194.040,827742.150
20160107,191.325,192.108,189.680,189.858,1124696.896
20160108,190.036,191.127,183.932,184.338,1227511.708
20160111,184.764,186.260,184.090,185.061,957982.021
20160112,185.785,186.003,182.921,183.961,1056436.980
20160113,184.130,187.688,182.207,182.613,1155850.322
20160114,183.059,186.260,181.850,183.991,1175675.505
20160115,180.710,183.446,179.254,182.534,2195679.349
20160119,183.872,185.664,183.079,184.685,1003055.901
20160120,182.841,183.486,176.449,179.184,1756775.737
20160121,181.127,182.475,178.500,180.998,1356469.113
20160122,183.347,186.459,182.802,185.616,1027912.880
20160125,185.695,187.380,183.396,183.535,935744.413
20160126,183.961,188.421,183.367,188.272,1174371.725
20160127,187.807,187.807,183.188,184.338,1394976.376
20160128,185.438,186.905,183.753,185.428,1171166.231
20160129,187.539,187.915,175.963,184.377,2897360.337
20160201,183.922,187.807,183.733,186.270,1376744.239
20160202,186.409,186.761,183.277,184.486,1260807.434
20160203,185.210,187.103,182.732,186.627,1305086.905
20160204,186.280,187.033,184.377,185.953,1028114.978
20160205,184.566,185.636,181.204,182.445,1148029.516
20160208,182.197,182.901,177.044,180.948,1712344.312
20160209,178.342,179.878,174.516,177.440,1998913.776
20160210,177.730,182.960,177.730,181.270,1317213.000
20160211,178.530,182.250,178.090,181.400,1711863.000
20160212,183.420,184.670,181.440,183.460,1450624.000
20160216,184.190,187.050,183.550,186.340,1265458.000
20160217,187.970,189.490,187.040,187.140,1118786.000
20160218,188.270,189.980,186.410,189.240,766522.000
20160219,187.980,190.050,186.400,189.460,1160063.000
20160222,191.590,192.430,188.950,189.500,888139.000
20160223,189.360,191.710,189.060,189.690,721894.000
20160224,188.960,190.360,186.940,189.090,655996.000
20160225,190.670,192.150,189.910,191.960,735263.000
20160226,192.030,192.980,190.340,190.400,759468.000
20160229,190.790,192.820,189.030,189.690,1076931.000
20160301,190.470,194.660,190.310,194.500,1043084.000
20160302,194.380,195.730,193.640,195.240,942014.000
20160303,196.160,197.550,193.350,197.400,1257417.000
20160304,197.270,198.590,195.330,198.460,1391613.000
20160307,198.060,200.120,197.210,199.660,1078613.000
20160308,198.320,199.470,197.000,197.700,875071.000
20160309,198.140,199.480,197.340,197.740,931833.000
20160310,198.870,199.880,195.991,198.040,917483.000
20160311,200.260,201.300,198.180,201.230,1221376.000
20160314,200.520,201.650,197.640,198.990,1267169.000
20160315,198.380,199.942,198.050,199.650,766992.000
20160316,198.760,201.270,197.170,200.590,835932.000
20160317,201.870,206.000,200.040,205.171,1434741.000
20160318,205.050,206.880,203.230,205.090,1695201.000
20160321,205.770,205.780,202.363,203.020,986781.000
20160322,202.560,203.800,201.390,202.320,795398.000
20160323,201.080,203.180,200.850,201.530,916735.000
20160324,200.370,201.740,199.770,201.450,568599.000
