Date,Open,High,Low,Close,Volume
20160104,9.234,9.412,9.136,9.397,6926731.302
20160105,9.412,9.610,9.323,9.590,8020348.986
20160106,9.461,9.679,9.308,9.442,8905194.333
20160107,9.274,9.738,9.226,9.718,12532207.956
20160108,9.689,9.758,9.343,9.392,12077740.469
20160111,9.471,9.531,9.136,9.333,7153709.306
20160112,9.333,9.600,9.145,9.333,6905017.078
20160113,9.323,9.461,9.140,9.185,8583522.448
20160114,9.155,9.224,8.879,9.027,7364122.279
20160115,8.849,9.007,8.721,8.918,6797327.238
20160119,9.066,9.076,8.592,8.691,9805640.665
20160120,8.592,8.760,8.187,8.711,9961975.920
20160121,8.731,9.027,8.671,8.859,8416871.084
20160122,8.987,9.086,8.671,8.795,5385962.381
20160125,8.790,8.918,8.543,8.573,4460187.156
20160126,8.573,8.839,8.563,8.711,6134316.355
20160127,8.741,8.958,8.612,8.790,4387660.028
20160128,8.829,8.879,8.563,8.627,6572522.824
20160129,8.642,8.859,8.602,8.815,8214751.066
20160201,8.760,8.780,8.612,8.711,5423915.629
20160202,8.612,8.671,8.385,8.449,5234714.920
20160203,8.513,8.582,8.227,8.563,6764526.618
20160204,8.592,8.849,8.513,8.632,8311940.632
20160205,8.622,8.928,8.602,8.800,6049834.724
20160208,8.731,8.790,8.375,8.454,5970571.106
20160209,8.405,8.494,8.247,8.296,6848536.166
20160210,8.573,8.622,8.276,8.301,7392500.549
20160211,8.237,8.267,7.936,8.089,4960871.660
20160212,8.128,8.306,8.000,8.227,5607652.672
20160216,8.316,8.760,8.276,8.741,7521478.205
20160217,8.948,9.234,8.908,9.037,7566125.353
20160218,9.047,9.432,9.017,9.412,8124128.247
20160219,9.402,9.471,9.254,9.363,10863276.982
20160222,9.461,9.580,9.234,9.373,4374635.215
20160223,9.343,9.461,9.116,9.165,5939342.991
20160224,9.155,9.195,8.869,9.066,9007943.658
20160225,9.066,9.338,8.958,9.294,6318853.135
20160226,9.422,9.442,9.220,9.363,6478457.050
20160229,9.373,9.481,9.234,9.338,4643944.495
20160301,9.422,9.629,9.313,9.531,4442827.362
20160302,9.501,9.679,9.461,9.585,4852999.071
20160303,9.560,9.787,9.511,9.738,5708803.004
20160304,9.323,9.758,9.165,9.481,8013991.236
20160307,9.402,9.689,9.383,9.501,7344351.353
20160308,9.531,9.718,9.373,9.383,10177582.296
20160309,9.422,9.620,9.363,9.457,5892426.299
20160310,9.481,9.531,9.205,9.397,4644822.364
20160311,9.491,9.629,9.422,9.629,5419118.786
20160314,9.748,9.748,9.501,9.531,5166546.146
20160315,9.521,9.649,9.392,9.471,4948002.869
20160316,9.550,9.585,9.383,9.570,5988462.065
20160317,9.689,10.005,9.659,9.748,15219209.813
20160318,9.797,9.945,9.704,9.876,10582859.401
20160321,9.876,10.005,9.560,9.580,9078955.729
20160322,9.520,10.390,9.510,10.310,12165594.000
20160323,10.200,10.430,9.850,10.060,8728575.000
20160324,10.660,11.060,10.520,10.750,18159620.000
