Date,Open,High,Low,Close,Volume
20160104,92.447,92.913,91.692,92.526,1355862.295
20160105,92.149,93.737,91.434,93.608,1115440.793
20160106,92.824,93.161,91.176,91.335,1784199.378
20160107,90.104,90.124,86.089,86.362,4534776.085
20160108,86.491,88.287,86.183,87.146,2604506.858
20160111,87.384,89.210,87.176,89.012,2156104.516
20160112,90.154,90.183,87.751,88.267,1864957.940
20160113,88.883,91.126,88.486,89.568,1871002.065
20160114,89.558,92.883,89.374,92.238,2145751.374
20160115,91.474,91.613,89.618,91.325,1733416.319
20160119,91.523,92.466,91.345,91.831,2066920.779
20160120,91.434,91.653,88.486,89.399,1933835.270
20160121,89.439,90.670,88.794,90.352,1103971.862
20160122,91.007,93.161,90.630,92.923,1218670.651
20160125,92.546,93.161,91.154,91.404,848544.529
20160126,91.682,92.635,91.067,91.513,1039729.549
20160127,91.265,91.623,89.925,90.670,995641.949
20160128,91.097,92.367,90.819,92.109,1039407.990
20160129,92.943,94.582,92.943,93.985,1488326.120
20160201,94.055,95.494,93.598,94.948,1278651.598
20160202,94.243,94.948,93.340,94.869,1612035.011
20160203,95.246,96.129,94.482,94.928,1636961.852
20160204,94.779,96.258,94.491,94.621,1761612.586
20160205,94.283,94.928,93.390,94.372,1198519.623
20160208,94.174,94.591,92.347,94.412,1230856.888
20160209,94.055,95.901,93.904,95.206,1232982.634
20160210,94.740,97.013,94.650,96.397,1629147.903
20160211,95.693,96.199,93.350,93.727,1303480.922
20160212,94.253,94.422,92.556,92.764,1629244.380
20160216,93.380,94.075,92.605,93.727,1028839.721
20160217,94.144,94.978,93.385,94.809,1023641.388
20160218,94.621,96.685,94.452,96.169,840299.093
20160219,95.951,96.586,95.032,96.536,1350754.091
20160222,97.013,98.750,96.953,98.015,1385353.560
20160223,97.360,98.512,97.062,98.115,1041344.323
20160224,97.599,98.393,97.296,98.144,1344329.552
20160225,98.164,98.710,97.390,98.184,1600371.484
20160226,97.350,97.618,94.442,94.958,2430198.434
20160229,94.700,96.904,94.343,95.802,1804082.726
20160301,96.507,96.636,95.434,95.841,1146733.588
20160302,95.355,96.735,93.677,96.715,1554068.684
20160303,96.804,98.154,95.653,97.827,953395.049
20160304,97.698,98.144,96.586,97.172,985264.698
20160307,96.516,97.172,95.554,96.685,1751689.731
20160308,96.834,97.867,96.308,97.609,1048646.984
20160309,97.728,99.008,97.211,98.125,949244.369
20160310,98.025,98.571,96.437,97.509,1111676.223
20160311,98.214,98.959,98.045,98.691,984647.108
20160314,98.700,99.584,97.986,99.375,824715.749
20160315,98.641,99.653,98.641,99.475,978884.002
20160316,99.246,100.259,98.135,99.911,1114944.415
20160317,100.070,102.492,99.544,102.284,980308.286
20160318,102.343,103.197,101.503,102.522,1730091.190
20160321,102.473,102.621,101.400,102.135,1008346.045
20160322,102.240,103.150,101.640,102.740,1238522.000
20160323,102.300,102.589,101.390,101.820,1282956.000
20160324,101.940,102.770,101.030,102.550,735638.000
