Date,Open,High,Low,Close,Volume
20160104,41.563,41.742,40.818,41.295,4378618.740
20160105,41.364,41.682,41.166,41.474,4158350.667
20160106,40.312,41.136,40.312,40.898,4583797.507
20160107,39.974,40.421,39.150,39.200,5350640.220
20160108,39.935,39.944,38.544,38.614,4078917.237
20160111,39.021,39.170,38.088,38.445,4715742.397
20160112,39.180,39.230,38.336,39.120,4086632.870
20160113,39.408,39.468,37.706,37.830,6564225.100
20160114,38.118,38.505,37.482,37.989,5405056.260
20160115,36.837,37.313,36.380,37.184,5017102.570
20160119,37.720,37.770,36.519,36.876,3464246.688
20160120,35.814,36.738,35.020,36.291,5959685.990
20160121,36.241,36.737,35.655,35.804,6222787.700
20160122,36.380,36.499,34.861,35.030,9443518.017
20160125,34.891,34.975,33.808,33.888,9992271.700
20160126,34.066,34.811,33.957,34.761,5244199.516
20160127,34.563,35.794,34.483,35.059,9459147.400
20160128,35.208,36.310,35.099,36.062,7661365.190
20160129,36.172,36.335,35.467,36.310,5986995.353
20160201,36.032,36.261,35.635,35.844,4500693.472
20160202,35.248,35.248,33.947,34.126,7012218.920
20160203,34.493,34.533,32.984,34.206,6356450.600
20160204,34.206,35.079,34.027,34.613,4218119.960
20160205,34.702,35.109,33.928,34.057,4133371.161
20160208,33.620,33.620,31.902,32.359,7903423.070
20160209,31.674,33.213,31.594,32.915,5812735.150
20160210,33.292,33.620,32.607,32.617,4314894.330
20160211,31.535,32.091,30.840,31.137,6271126.068
20160212,31.981,33.322,31.912,33.282,4997019.267
20160216,33.918,34.563,33.421,34.047,4447909.669
20160217,34.543,34.881,34.086,34.196,3438198.418
20160218,34.344,34.553,33.371,33.669,4539303.793
20160219,33.550,33.987,33.312,33.898,3410069.824
20160222,34.285,34.682,34.235,34.623,3185125.760
20160223,34.414,34.513,33.371,33.580,3603237.247
20160224,33.060,33.480,32.445,33.420,4509880.000
20160225,33.620,34.060,33.410,33.780,3670341.000
20160226,34.180,35.010,33.980,34.540,3648127.000
20160229,34.400,34.520,33.180,33.190,5641635.000
20160301,33.540,35.010,33.450,34.990,4810946.000
20160302,35.060,36.080,34.970,35.970,4555281.000
20160303,35.880,36.560,35.870,36.550,3272291.000
20160304,36.960,37.540,36.730,37.040,3386115.000
20160307,36.770,36.910,36.430,36.730,2684198.000
20160308,36.400,36.440,35.340,35.420,6217548.000
20160309,35.790,35.852,34.790,35.040,5687678.000
20160310,35.400,35.790,34.890,35.680,4878569.000
20160311,36.070,37.030,35.990,36.980,3322842.000
20160314,36.070,37.120,36.070,36.890,2409582.000
20160315,36.440,36.890,36.295,36.840,2131527.000
20160316,36.690,37.250,36.040,36.410,3211077.000
20160317,36.540,36.790,35.750,36.650,2926057.000
20160318,36.870,37.490,36.770,37.220,3604870.000
20160321,37.010,37.560,36.800,37.110,2172761.000
20160322,36.860,37.170,36.613,36.990,2273091.000
20160323,36.950,37.060,36.590,36.620,2478768.000
20160324,36.000,36.690,35.760,36.610,2980541.000
