Date,Open,High,Low,Close,Volume
20160104,19.209,19.378,19.130,19.239,1438736.229
20160105,19.209,19.437,18.972,19.368,1564702.749
20160106,19.200,19.338,19.041,19.190,1360546.873
20160107,18.942,19.160,18.833,18.922,1367269.740
20160108,18.991,19.229,18.853,19.011,1010632.659
20160111,19.041,19.200,18.882,19.021,1574939.558
20160112,19.130,19.140,18.555,18.739,1497645.313
20160113,18.823,18.942,18.488,18.565,1130370.265
20160114,18.615,19.200,18.516,19.100,1671881.671
20160115,18.803,18.853,18.416,18.714,1661751.387
20160119,18.843,18.952,18.595,18.863,1644976.868
20160120,18.773,18.833,18.208,18.545,1649109.131
20160121,18.664,18.858,18.407,18.595,1472998.580
20160122,18.783,19.388,18.526,19.348,2976861.226
20160125,19.289,19.323,18.664,18.783,1540495.017
20160126,18.833,19.120,18.783,19.006,1426545.402
20160127,18.982,19.150,18.783,18.972,1023896.230
20160128,19.140,19.556,19.031,19.537,1030934.283
20160129,19.636,20.250,19.636,20.221,2203821.148
20160201,24.265,24.859,24.225,24.780,20399225.730
20160202,24.681,24.810,24.602,24.760,7455295.397
20160203,24.780,25.127,24.711,24.730,8999362.028
20160204,24.730,24.849,24.691,24.730,7593637.890
20160205,24.730,24.770,24.691,24.711,5995726.566
20160208,24.691,24.899,24.661,24.790,5253597.695
20160209,24.730,24.820,24.522,24.691,5176759.691
20160210,24.691,24.750,24.631,24.701,3769786.495
20160211,24.611,24.760,24.587,24.676,4331597.977
20160212,24.691,24.740,24.582,24.711,2798455.003
20160216,24.701,24.750,24.631,24.730,2584319.954
20160217,24.730,24.730,24.671,24.721,2176468.132
20160218,24.721,24.780,24.691,24.754,2396677.531
20160219,24.721,24.770,24.711,24.730,2561808.849
20160222,24.750,24.770,24.721,24.721,2645304.104
20160223,24.721,24.834,24.691,24.780,4293403.345
20160224,24.850,24.875,24.710,24.710,3430648.000
20160225,24.710,24.780,24.510,24.520,3296090.000
20160226,24.540,24.670,24.500,24.630,3650168.000
20160229,24.620,24.900,24.620,24.770,2006534.000
20160301,24.820,24.870,24.500,24.545,2100930.000
20160302,24.560,24.800,24.460,24.790,1749707.000
20160303,24.700,24.820,24.590,24.740,1818699.000
20160304,24.700,24.950,24.670,24.950,2141278.000
20160307,24.890,24.960,24.870,24.950,1962929.000
20160308,24.940,24.950,24.860,24.910,1247575.000
20160309,24.920,24.980,24.900,24.940,2395279.000
20160310,24.940,24.980,24.850,24.950,2255490.000
20160311,24.950,24.960,24.880,24.900,1769704.000
20160314,24.910,24.940,24.810,24.930,1589888.000
20160315,24.920,24.950,24.845,24.950,994469.000
20160316,24.900,25.000,24.860,24.920,4167283.000
20160317,24.910,24.920,24.760,24.820,2123387.000
20160318,24.800,24.865,24.690,24.700,2002207.000
20160321,24.730,24.775,24.580,24.590,2070087.000
20160322,24.580,24.720,24.510,24.520,1379957.000
20160323,24.530,24.750,24.480,24.670,1406232.000
20160324,24.600,24.810,24.547,24.800,1371378.000
