Date,Open,High,Low,Close,Volume
20160104,140.732,140.812,138.138,140.423,1598986.416
20160105,141.261,143.656,141.051,143.347,1484324.005
20160106,142.688,144.105,141.710,142.848,2023413.495
20160107,149.184,153.984,146.789,149.224,4379502.008
20160108,149.564,150.681,146.281,146.660,1559371.728
20160111,147.408,148.286,144.484,146.740,1412637.016
20160112,147.877,148.156,144.355,146.700,1229075.348
20160113,146.819,146.919,143.337,143.806,1069400.304
20160114,143.696,144.335,140.902,143.037,1730953.922
20160115,140.902,144.404,140.902,142.449,1917947.654
20160119,144.514,145.891,142.798,145.372,1964534.425
20160120,143.417,146.350,141.811,144.833,2134303.515
20160121,144.664,145.994,142.049,143.137,1535168.658
20160122,144.963,148.915,144.754,148.451,1987367.365
20160125,147.747,149.184,146.849,147.947,1488528.233
20160126,147.937,150.651,147.288,148.176,1334493.680
20160127,148.626,149.364,144.494,145.801,1638449.884
20160128,146.450,152.148,146.330,151.509,2233567.417
20160129,151.949,152.607,150.941,152.068,1434711.485
20160201,152.577,155.361,152.318,154.044,1479598.265
20160202,153.266,154.264,151.539,152.218,1138441.861
20160203,152.208,152.916,147.827,150.023,1724278.198
20160204,149.184,149.833,145.123,146.500,2885878.659
20160205,147.290,147.492,137.810,137.950,4541679.000
20160208,135.540,136.420,130.222,134.950,4490169.000
20160209,134.080,138.810,133.370,136.090,2045063.000
20160210,137.550,140.140,137.040,138.830,1613727.000
20160211,137.330,137.740,134.390,135.640,1662227.000
20160212,136.870,138.450,135.810,138.010,1117407.000
20160216,139.730,141.220,137.960,139.340,1266780.000
20160217,140.490,142.530,140.000,141.990,1718310.000
20160218,142.170,142.510,139.560,140.330,1102249.000
20160219,140.100,140.600,138.270,139.530,1208129.000
20160222,139.870,142.330,139.440,140.590,1262780.000
20160223,140.000,140.600,138.500,139.490,1309350.000
20160224,138.720,139.890,137.250,139.080,1385964.000
20160225,139.660,143.690,137.570,143.640,1809570.000
20160226,143.910,144.410,140.940,142.030,1249338.000
20160229,141.690,143.560,141.390,141.390,863657.000
20160301,142.420,145.000,142.070,144.500,1138512.000
20160302,143.680,144.360,142.160,143.760,1119831.000
20160303,143.570,144.540,141.080,144.440,1080788.000
20160304,143.940,144.930,142.830,143.881,1086990.000
20160307,142.590,143.370,137.910,138.770,2051249.000
20160308,138.450,141.930,137.845,139.970,1356103.000
20160309,140.270,141.200,139.110,140.240,1153550.000
20160310,141.580,141.810,139.730,140.500,1036969.000
20160311,141.650,142.310,140.570,142.050,1202284.000
20160314,143.130,143.720,140.980,141.900,2017441.000
20160315,141.600,144.870,141.500,144.110,1148121.000
20160316,143.300,145.000,142.400,144.580,861024.000
20160317,144.540,147.160,144.020,146.880,1143948.000
20160318,147.110,149.490,146.350,147.040,1986855.000
20160321,146.370,147.700,146.340,147.180,1045334.000
20160322,147.090,149.560,146.450,149.420,1414524.000
20160323,149.420,150.770,149.080,150.110,1728372.000
20160324,149.290,150.260,149.020,149.950,1292909.000
