Date,Open,High,Low,Close,Volume
20160104,4.890,5.880,4.830,5.770,48486720.000
20160105,5.960,5.990,5.530,5.660,41496292.000
20160106,5.450,5.780,5.400,5.500,25633775.000
20160107,4.910,5.000,2.950,3.340,155749744.000
20160108,3.760,3.760,3.310,3.404,84445572.000
20160111,3.520,3.580,3.210,3.324,32843386.000
20160112,3.290,3.380,2.351,3.040,73621481.000
20160113,2.990,3.280,2.500,2.830,52174294.000
20160114,2.850,2.950,2.650,2.815,31083472.000
20160115,2.600,2.810,2.580,2.750,24335214.000
20160119,2.800,2.860,2.460,2.470,23087996.000
20160120,2.350,2.450,2.020,2.350,33941382.000
20160121,2.420,2.680,2.360,2.560,27424477.000
20160122,2.710,2.800,2.560,2.645,27821369.000
20160125,2.890,2.930,2.710,2.730,23253857.000
20160126,2.770,3.190,2.760,3.050,32265526.000
20160127,3.220,3.490,3.150,3.320,40300063.000
20160128,3.440,3.480,2.880,3.040,33843177.000
20160129,3.010,3.230,3.010,3.130,17084248.000
20160201,2.990,3.080,2.810,3.000,16511003.000
20160202,2.950,2.980,2.760,2.790,12392803.000
20160203,2.800,2.820,2.520,2.790,20659552.000
20160204,2.700,3.000,2.670,2.860,15904500.000
20160205,2.740,2.820,2.680,2.685,11246928.000
20160208,2.600,2.629,2.360,2.470,16823437.000
20160209,2.410,2.670,2.370,2.625,12303602.000
20160210,2.580,2.600,2.350,2.355,16276504.000
20160211,2.240,2.300,2.000,2.030,29043979.000
20160212,2.110,2.130,1.370,1.420,100290540.000
20160216,1.510,1.725,1.370,1.610,48372967.000
20160217,1.680,1.798,1.630,1.670,29310725.000
20160218,1.440,1.640,1.370,1.500,40724475.000
20160219,1.470,1.530,1.410,1.430,15848604.000
20160222,1.500,1.510,1.420,1.430,14698113.000
20160223,1.470,1.480,1.330,1.340,22285244.000
20160224,1.360,1.360,1.210,1.250,20739009.000
20160225,1.340,1.760,1.250,1.720,69137576.000
20160226,2.390,2.770,2.170,2.260,102093902.000
20160229,2.480,2.499,1.900,1.970,65121203.000
20160301,1.380,1.690,1.360,1.520,59897543.000
20160302,1.500,1.890,1.485,1.790,56277826.000
20160303,1.550,1.700,1.510,1.510,40426300.000
20160304,1.900,1.960,1.700,1.780,52034501.000
20160307,1.900,1.958,1.700,1.890,36965854.000
20160308,2.460,2.530,1.960,2.000,89764813.000
20160309,2.080,2.105,1.900,1.920,31371964.000
20160310,1.920,1.925,1.720,1.790,26546827.000
20160311,1.820,1.940,1.730,1.920,34564856.000
20160314,1.990,2.250,1.930,2.130,51938269.000
20160315,2.190,2.210,2.010,2.067,29048601.000
20160316,1.730,2.100,1.720,2.075,37594166.000
20160317,2.020,2.140,1.950,2.070,17199839.000
20160318,2.100,2.140,2.010,2.125,21103132.000
20160321,2.110,2.120,1.970,2.020,19398738.000
20160322,1.980,2.020,1.480,1.500,92024457.000
20160323,1.305,1.430,1.240,1.270,62524510.000
20160324,1.285,1.295,1.150,1.210,37696172.000
