Date,Open,High,Low,Close,Volume
20160104,7.030,7.790,6.890,7.700,24000388.000
20160105,7.650,7.835,7.440,7.650,23004054.000
20160106,7.350,7.380,6.360,6.690,27828187.000
20160107,6.470,6.850,6.285,6.850,21082315.000
20160108,6.830,7.130,6.520,6.950,15393359.000
20160111,6.540,6.630,6.330,6.550,16007752.000
20160112,6.560,6.630,5.560,5.940,26276696.000
20160113,6.010,6.465,5.900,6.450,21914207.000
20160114,6.510,6.850,6.435,6.610,23323534.000
20160115,6.300,6.750,6.120,6.700,17099789.000
20160119,6.740,7.090,6.310,6.530,18050069.000
20160120,6.390,7.520,5.900,7.390,20475253.000
20160121,7.720,8.930,7.670,8.760,26244108.000
20160122,9.110,9.290,8.380,8.760,24368087.000
20160125,8.500,9.000,7.880,7.930,14847065.000
20160126,8.180,8.680,7.770,8.600,9909218.000
20160127,8.560,9.525,8.500,8.810,19018219.000
20160128,9.500,9.620,8.400,8.540,13861758.000
20160129,8.860,9.100,8.490,8.900,18740244.000
20160201,8.490,8.720,7.960,8.500,13517357.000
20160202,8.110,8.460,7.745,8.170,17186224.000
20160203,8.280,8.990,7.830,8.970,16683855.000
20160204,8.860,9.230,8.420,8.850,16703698.000
20160205,8.850,9.650,8.520,9.340,20739333.000
20160208,9.200,9.900,8.920,9.340,28850271.000
20160209,9.170,9.400,7.950,8.370,15929649.000
20160210,8.590,8.720,8.120,8.580,10128693.000
20160211,8.350,8.410,7.720,8.150,15133940.000
20160212,8.210,9.000,7.880,8.930,12839950.000
20160216,8.810,8.840,7.940,7.970,17656760.000
20160217,8.220,9.090,7.940,8.875,19265589.000
20160218,9.100,9.150,8.300,8.480,16630867.000
20160219,8.360,8.361,6.960,7.050,29443508.000
20160222,7.340,7.410,7.120,7.240,10659921.000
20160223,7.080,7.100,6.570,6.640,15519603.000
20160224,6.420,6.890,6.120,6.820,23028878.000
20160225,6.540,7.100,6.410,6.760,16440281.000
20160226,5.800,6.490,5.300,6.375,55679866.000
20160229,6.220,6.240,5.640,5.770,24771757.000
20160301,5.910,5.940,5.410,5.620,21020270.000
20160302,5.590,6.220,5.490,6.210,33269403.000
20160303,5.990,7.635,5.980,7.340,42699760.000
20160304,7.560,8.790,7.270,7.840,44083620.000
20160307,7.970,9.090,7.935,8.580,36922691.000
20160308,8.360,8.400,7.030,7.340,26354092.000
20160309,7.660,7.820,7.070,7.110,21629645.000
20160310,7.010,7.490,6.621,7.260,21452644.000
20160311,7.360,8.335,7.270,8.000,18819080.000
20160314,7.640,7.760,7.200,7.460,14043589.000
20160315,7.380,7.830,6.970,7.220,15761094.000
20160316,7.320,7.920,7.080,7.910,14352907.000
20160317,8.190,8.220,7.750,8.110,18364185.000
20160318,8.200,8.240,7.670,7.950,18801453.000
20160321,7.940,8.050,7.690,7.870,10793820.000
20160322,7.760,8.190,7.730,8.080,12237218.000
20160323,7.930,8.040,7.270,7.350,9569549.000
20160324,7.120,7.560,7.020,7.380,9685400.000
