Date,Open,High,Low,Close,Volume
20160104,29.980,30.010,29.380,29.950,7420836.000
20160105,29.850,30.280,29.450,30.100,7014575.000
20160106,29.830,30.030,29.480,29.900,8707099.000
20160107,29.470,29.830,29.000,29.130,10022245.000
20160108,29.360,29.525,28.780,28.840,8509070.000
20160111,29.000,29.030,28.300,28.710,11051964.000
20160112,29.060,29.190,28.500,28.900,7718286.000
20160113,29.900,29.900,27.520,27.570,14705904.000
20160114,27.600,28.280,26.280,28.170,18619019.000
20160115,27.440,27.720,26.990,27.630,12851177.000
20160119,27.800,28.170,27.560,28.020,9281598.000
20160120,27.400,27.920,26.820,27.620,9364931.000
20160121,27.620,28.250,27.300,27.700,8618111.000
20160122,29.300,29.480,28.750,29.050,14124886.000
20160125,29.080,29.250,28.390,28.490,8058747.000
20160126,28.510,28.920,28.320,28.670,7003636.000
20160127,28.550,29.020,28.280,28.440,8096156.000
20160128,28.500,28.850,27.590,27.980,12046181.000
20160129,28.130,28.430,27.290,28.410,13376801.000
20160201,28.430,28.600,27.930,28.450,5850971.000
20160202,28.230,28.290,26.970,27.020,14131833.000
20160203,27.040,27.290,25.340,26.330,23433199.000
20160204,26.260,26.560,26.000,26.310,16123523.000
20160205,26.440,26.540,25.000,25.220,14877909.000
20160208,24.970,25.090,24.095,24.490,15268411.000
20160209,24.280,25.320,24.090,25.080,12880735.000
20160210,25.190,25.850,24.960,25.020,6543193.000
20160211,24.290,24.850,23.740,24.500,10737243.000
20160212,24.900,25.380,24.800,25.360,6173927.000
20160216,25.750,26.210,25.470,26.130,9214585.000
20160217,26.390,26.910,26.150,26.260,9562234.000
20160218,26.230,26.730,26.045,26.610,7901639.000
20160219,26.500,26.960,26.270,26.730,7193380.000
20160222,27.940,28.000,27.380,27.700,10233897.000
20160223,27.780,27.780,27.050,27.505,10994922.000
20160224,27.170,27.770,26.680,27.730,8269649.000
20160225,27.700,27.890,27.405,27.785,6283971.000
20160226,27.960,28.235,27.350,27.920,7897897.000
20160229,27.850,27.960,26.900,26.960,9760695.000
20160301,27.250,27.530,26.780,27.510,10024717.000
20160302,27.700,28.370,27.600,28.260,9091195.000
20160303,28.260,28.670,28.025,28.560,7916526.000
20160304,28.740,28.990,28.370,28.590,5784822.000
20160307,28.440,28.565,27.909,28.500,5978388.000
20160308,28.290,28.430,27.640,27.710,5747926.000
20160309,27.840,28.060,27.540,27.670,6774747.000
20160310,27.800,28.000,27.300,27.810,5581932.000
20160311,28.140,28.850,28.020,28.810,7849663.000
20160314,28.630,28.750,28.225,28.440,3256808.000
20160315,28.160,28.260,27.570,27.680,5962689.000
20160316,27.650,27.825,27.410,27.620,8766355.000
20160317,27.620,28.250,27.210,28.100,8334938.000
20160318,28.270,28.640,28.150,28.445,8668707.000
20160321,28.400,28.900,28.315,28.790,6083692.000
20160322,28.410,28.640,28.250,28.620,4711295.000
20160323,28.580,28.750,28.255,28.430,4722908.000
20160324,28.200,28.550,28.067,28.460,3830099.000
