Date,Open,High,Low,Close,Volume
20160104,92.530,92.580,90.997,91.793,1999234.798
20160105,92.102,92.659,91.147,92.201,1415020.504
20160106,91.186,91.525,89.932,90.340,1960648.451
20160107,89.494,91.087,89.375,89.932,2376966.691
20160108,90.032,90.440,88.529,88.768,1497768.183
20160111,88.997,89.693,87.444,88.041,1378385.536
20160112,88.638,89.275,88.081,89.136,2084296.876
20160113,89.246,89.584,86.996,87.175,2151094.567
20160114,87.235,88.071,84.339,86.319,4047482.566
20160115,84.747,85.872,83.433,85.643,3284897.599
20160119,85.274,87.255,84.160,86.797,2034598.575
20160120,86.001,86.578,84.879,85.852,2891830.479
20160121,87.046,87.215,85.672,86.160,2417400.803
20160122,87.494,89.743,87.444,88.489,1599425.587
20160125,88.101,88.370,87.046,87.185,1238968.138
20160126,87.355,88.320,86.499,87.335,1862727.699
20160127,84.757,89.007,84.001,87.355,3525885.345
20160128,87.723,89.136,87.454,88.031,2583827.738
20160129,88.071,90.539,87.633,90.032,14561930.410
20160201,90.072,91.968,89.654,91.475,4496225.084
20160202,91.027,91.206,90.161,91.117,2455937.873
20160203,91.405,91.465,88.519,89.524,2118266.233
20160204,89.534,89.534,86.479,87.215,2942215.122
20160205,86.917,87.315,85.672,86.519,2581246.845
20160208,85.593,85.772,83.403,83.503,5112974.455
20160209,83.234,84.896,82.637,83.473,3101918.839
20160210,84.130,84.846,83.682,83.791,1781971.712
20160211,82.378,83.891,80.398,83.244,2874394.743
20160212,83.105,84.249,82.906,83.742,1826652.395
20160216,84.876,84.886,83.065,84.239,2055811.902
20160217,84.876,86.110,84.329,85.802,1811976.858
20160218,85.593,85.692,84.259,84.329,1998165.824
20160219,84.329,85.195,83.831,85.125,1313194.793
20160222,85.284,86.578,85.195,86.389,1406142.524
20160223,86.021,87.006,84.826,85.195,1599354.443
20160224,84.737,85.862,84.219,85.732,1125133.160
20160225,85.394,86.240,84.787,86.210,995531.944
20160226,86.200,86.469,84.627,84.777,1141314.840
20160229,84.747,86.031,84.528,84.856,1552559.540
20160301,85.543,86.558,85.175,86.120,1206542.907
20160302,85.842,86.250,85.026,86.200,1377599.490
20160303,86.400,88.540,86.010,88.530,1562253.000
20160304,88.990,90.346,88.810,90.220,1848896.000
20160307,89.950,90.650,89.010,89.330,1382273.000
20160308,88.800,89.160,88.030,88.420,892932.000
20160309,88.600,90.530,88.240,90.350,1215910.000
20160310,90.780,91.920,90.310,91.820,1616087.000
20160311,91.990,92.760,91.120,92.450,1881420.000
20160314,92.170,92.780,91.300,92.440,1136825.000
20160315,92.350,92.950,92.010,92.810,970716.000
20160316,92.250,93.380,91.900,93.180,1190224.000
20160317,92.820,94.610,92.820,94.420,1027179.000
20160318,94.250,94.650,93.120,93.480,1589447.000
20160321,93.710,93.760,92.610,93.510,1009987.000
20160322,93.560,94.920,93.080,94.870,1349627.000
20160323,94.920,95.710,94.320,95.540,1583092.000
20160324,95.370,95.370,94.560,95.280,1131270.000
